Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 26.5208 North,83.7708 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,20,24.1,11.3,40,-1
1958,2,3,25.9,12.4,27,-1.3
1958,3,3,33.1,16.3,15,-1.6
1958,4,6,38.7,23.3,12,-1.6
1958,5,5,39.4,26.5,10,-2
1958,6,93,38.6,28,92,-2.9
1958,7,264,33.1,26.1,141,-3.4
1958,8,487,31.6,26.2,105,-2
1958,9,152,32.4,25.1,111,-2.5
1958,10,106,32.2,21.4,105,-1.6
1958,11,0,29.3,13.4,48,-1.2
1958,12,1,24.9,10.4,34,-0.8
1959,1,75,22.4,10.3,63,2.9
1959,2,3,25.1,11.2,38,3.3
1959,3,15,32.9,16.5,36,3.4
1959,4,6,37.6,22.7,17,3.3
1959,5,19,38.5,25.8,25,3.1
1959,6,129,36.7,26.9,127,2.4
1959,7,199,32.5,26.2,152,0.8
1959,8,373,32.2,26.4,130,-2.7
1959,9,195,31.6,24.9,118,-2.7
1959,10,124,30.4,22.9,110,-1.4
1959,11,2,28.1,14,52,-1
1959,12,0,24.4,10.1,32,-0.7
1960,1,0,22.3,8.9,28,-1.1
1960,2,1,28.4,13,22,-1.3
1960,3,38,31.2,15.5,47,1.1
1960,4,2,37.4,21.2,8,0.7
1960,5,17,39.1,25.4,21,0.6
1960,6,119,37.3,27.3,117,-0.7
1960,7,330,31.9,26.1,128,-1.1
1960,8,274,32.1,26.7,128,-1.8
1960,9,192,31.3,25.6,103,-1.7
1960,10,58,30.9,21,94,-1.8
1960,11,0,27.7,12.3,41,-1.7
1960,12,0,24.5,9.1,26,-1.7
1961,1,27,22.7,10.5,38,-1.3
1961,2,23,24.7,10.6,40,-0.8
1961,3,12,32.3,17.2,21,-0.8
1961,4,3,37.8,22,9,-1
1961,5,8,38.7,25.9,11,-1.3
1961,6,200,36.1,26.1,144,0.7
1961,7,247,32.9,26.1,151,-0.7
1961,8,440,32.2,26.5,132,0.6
1961,9,157,31.5,25.5,122,-0.8
1961,10,138,31.1,20.5,109,1.2
1961,11,3,25.9,12.8,51,1.4
1961,12,5,21.1,7.4,32,1.7
1962,1,54,22,8,58,2.8
1962,2,21,25.2,11.5,45,3.6
1962,3,13,32,15,36,3.7
1962,4,9,37,21.8,20,3.7
1962,5,15,37.7,25.5,21,3.3
1962,6,200,36.7,27.8,135,3.8
1962,7,260,33.4,26.4,143,3
1962,8,507,31.3,26,118,4.4
1962,9,189,31,24.8,113,3.7
1962,10,20,30.9,19.7,77,2.5
1962,11,0,28.6,12.9,38,1.7
1962,12,2,23.5,9.6,24,1.2
1963,1,8,22.6,7.7,24,0.6
1963,2,2,27.7,11.4,12,-2.3
1963,3,19,30.7,15.8,24,-2
1963,4,6,35.5,21.6,10,-1.9
1963,5,14,36.7,24.6,16,-1.9
1963,6,166,35.6,26,152,-1.5
1963,7,297,32.3,25.9,121,-1.7
1963,8,446,31.9,26.3,124,-0.6
1963,9,185,31.6,24.3,121,-0.9
1963,10,53,31.3,21.7,90,-1.1
1963,11,24,27.5,15.4,55,0.6
1963,12,1,24.5,9.7,30,0
1964,1,4,22.6,8.8,27,-0.6
1964,2,1,25.8,11.8,15,-1
1964,3,5,33.6,17.3,13,-1.3
1964,4,6,37.4,23.4,11,-1.3
1964,5,17,37,24,20,-1.2
1964,6,119,37.3,26.3,116,-1.9
1964,7,327,31.2,25.3,129,-1.9
1964,8,263,32.1,26.4,133,-2.8
1964,9,189,31.2,25.2,112,-2.7
1964,10,60,33,21.4,95,-2.7
1964,11,0,27.8,13.2,42,-2.6
1964,12,0,24.1,9.2,28,-2.5
1965,1,1,24.3,9.2,24,-2.9
1965,2,3,26,11.1,14,-3.2
1965,3,13,30.5,15.1,20,-3
1965,4,4,36.1,20.9,8,-2.9
1965,5,8,38.8,25.1,11,-3.1
1965,6,125,38.3,27.4,121,-3.4
1965,7,598,32.3,25.8,139,-0.9
1965,8,462,32.4,25.6,111,3.3
1965,9,130,32,24,118,1.9
1965,10,49,31.2,20.5,86,1.4
1965,11,17,27.8,14,53,1.6
1965,12,0,24,7.7,29,1.3
1966,1,35,22.9,9.7,44,1.6
1966,2,9,27.6,13.4,28,1.4
1966,3,0,32.9,16.4,10,0.7
1966,4,1,37.9,22.3,7,-1.1
1966,5,12,39.8,25.6,15,-1.3
1966,6,102,36.7,27,100,-2.1
1966,7,527,33.3,26.3,150,1.4
1966,8,358,31.7,26.2,113,1.5
1966,9,125,32,24.8,124,-1.3
1966,10,21,31.7,20.1,80,-2
1966,11,8,29.5,13.8,44,-2.1
1966,12,2,23.4,9.2,25,-2.3
1967,1,6,22.7,9.1,20,-2.7
1967,2,1,28.1,12.2,10,-3.1
1967,3,26,30.3,15.3,30,-2.4
1967,4,8,36,20.9,11,-2.3
1967,5,7,38.5,24.9,10,-2.6
1967,6,118,37.4,27.2,114,-3.1
1967,7,255,33.1,25.6,141,-3.7
1967,8,386,31.6,25.7,133,-3.7
1967,9,234,31.6,24.4,116,-3.1
1967,10,7,31.1,19.7,74,-3.8
1967,11,0,26.2,13.1,36,-4.1
1967,12,0,24.2,10,21,-4.1
1968,1,45,20.8,9.4,48,-3.1
1968,2,4,24.7,10.6,17,-3.1
1968,3,15,31.6,16.3,21,-2.9
1968,4,2,36.3,21.4,7,-2.8
1968,5,10,38.4,25.1,13,-2.9
1968,6,231,34.6,26.3,152,-1.6
1968,7,251,31.8,25.8,129,-1.7
1968,8,355,32.6,25.8,129,-1.5
1968,9,248,32.9,25.4,115,-0.9
1968,10,103,30.1,20.6,104,1.5
1968,11,2,27.8,14.1,47,1.6
1968,12,1,23.9,10,32,1.7
1969,1,4,22.6,9.2,30,1.2
1969,2,2,27.5,11.9,25,1
1969,3,33,34.4,17.6,43,1.6
