Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 25.9375 North,80.8125 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,25,24.8,10.8,29,0
1958,2,3,27.5,11.6,6,-0.6
1958,3,34,34,17.3,35,0.9
1958,4,1,40.2,23.7,3,-0.2
1958,5,0,43.3,28.2,2,-0.3
1958,6,22,42.5,29.6,22,-1.3
1958,7,313,32.8,27.4,141,-1.3
1958,8,380,32.2,25.9,108,0.8
1958,9,125,31.2,26.1,123,-0.5
1958,10,59,31.5,20,96,0
1958,11,0,28.4,12.8,26,0.5
1958,12,5,24.3,10.3,14,-0.2
1959,1,57,23.6,9.4,58,1.3
1959,2,6,26.5,10.6,9,1
1959,3,3,35,16.6,6,0.6
1959,4,1,38.9,22.6,3,-0.1
1959,5,13,42.2,27.7,13,0.8
1959,6,22,40.6,29.4,22,-0.7
1959,7,247,33.2,27.1,152,-1.4
1959,8,376,31.7,26.4,125,-0.7
1959,9,104,31.9,25.9,116,-1.4
1959,10,163,31.6,21,125,2.1
1959,11,1,28.4,12.4,55,3
1959,12,0,25.1,9.3,18,2.9
1960,1,22,23,8.5,29,2.7
1960,2,0,30.6,12.5,5,2
1960,3,17,32.4,16.2,19,2.1
1960,4,2,38,21.7,4,1.8
1960,5,2,43.1,27.4,3,1.4
1960,6,31,41.4,29.8,30,0.7
1960,7,438,33.6,26.7,140,1.7
1960,8,489,31.4,26.3,117,3.2
1960,9,69,33.1,25.2,98,2
1960,10,90,31.8,19.2,107,2.2
1960,11,1,28.5,10.4,20,2.1
1960,12,3,24.3,8.5,11,1.6
1961,1,44,23.4,9.8,47,2.1
1961,2,13,24.8,10.2,15,1.9
1961,3,0,34,17.3,2,1.3
1961,4,2,38.6,22.1,3,1
1961,5,2,42.4,27.9,3,0.7
1961,6,59,39.5,28.3,57,0.7
1961,7,303,33.4,27,146,-0.2
1961,8,491,31.4,26,116,1.7
1961,9,162,31.5,25.9,120,1.5
1961,10,117,31.1,19.1,118,2.8
1961,11,2,26.2,12,50,3.6
1961,12,7,21.7,6.6,24,3.9
1962,1,34,22.4,7.2,40,4
1962,2,11,26.7,11.7,15,3.8
1962,3,11,32.8,16.3,13,3.5
1962,4,11,38.5,22.3,13,3.6
1962,5,2,42.1,27.6,3,3.1
1962,6,28,41.8,29.6,28,2.1
1962,7,441,34.6,27.6,148,3
1962,8,360,31.9,25.7,112,3.3
1962,9,271,31.1,24.9,117,4.5
1962,10,1,31.6,17.8,66,3.4
1962,11,0,28.7,11.8,12,2.5
1962,12,5,23.8,9.4,10,1.8
1963,1,25,23.6,6.9,27,1.7
1963,2,9,29,11.8,11,1.5
1963,3,10,32.3,15.8,12,1.4
1963,4,6,36.8,21.6,8,1.4
1963,5,6,40.6,26.6,7,1.3
1963,6,48,39,27.9,47,1
1963,7,516,34.1,26.5,129,2.8
1963,8,379,31.4,26.1,111,3.3
1963,9,209,32.2,24.1,123,3.6
1963,10,15,32.7,20.1,79,2.8
1963,11,3,28.8,14.9,15,2.1
1963,12,7,25,8.2,12,1.6
1964,1,2,22.9,7.7,5,0.7
1964,2,4,27,11.5,7,-1.8
1964,3,8,35.5,17.8,9,-1.7
1964,4,3,39.3,23.5,4,-1.6
1964,5,5,41.4,26.1,6,-1.4
1964,6,33,40.8,28.6,32,-1.8
1964,7,453,32.5,26.2,134,1.3
1964,8,296,32.1,26.3,125,1.1
1964,9,202,31.6,25,119,1.6
1964,10,14,33.4,19.5,78,1
1964,11,0,28.4,10.9,12,-0.4
1964,12,5,24.6,8.8,11,-1.2
1965,1,8,25,9.6,11,-1.7
1965,2,4,27,11.5,6,-1.8
1965,3,24,32.3,15.7,25,-1.1
1965,4,13,36.5,21.2,14,0.5
1965,5,1,42,27.3,2,-0.2
1965,6,17,42.3,29.9,17,-1.3
1965,7,250,34.1,27.2,161,-1.9
1965,8,195,33.2,25.6,134,-2.8
1965,9,120,33,24.1,127,-3.2
1965,10,49,32.7,20.1,95,-2.8
1965,11,0,29.3,13,14,-2.8
1965,12,5,24.9,7.4,11,-2.8
1966,1,4,24.6,8.8,7,-3.1
1966,2,7,29.3,13.5,10,-3
1966,3,0,33.9,16.6,2,-3.1
1966,4,0,39.1,22.7,2,-3
1966,5,3,43,27.3,4,-2.9
1966,6,129,39.7,28.5,124,-1
1966,7,185,35.9,27.3,168,-1.9
1966,8,196,31.9,25.9,119,-3.1
1966,9,24,33.5,25.1,71,-4.4
1966,10,4,34,19.8,15,-5.9
1966,11,17,29,13.6,22,-5.6
1966,12,11,24.3,7.6,14,-5.4
1967,1,9,23.5,7.8,11,-5.3
1967,2,2,29.7,12.2,4,-5.2
1967,3,36,31.4,15.7,36,-3.7
1967,4,3,37.4,21.3,4,-3.4
1967,5,1,42.6,27.3,2,-3.3
1967,6,29,41.4,29.2,28,-3.7
1967,7,309,33.9,26.5,152,-3.6
1967,8,545,30.9,25.7,115,-1
1967,9,205,31.9,24.4,123,2.5
1967,10,5,33.1,19,70,1.7
1967,11,0,27.9,12.7,12,1
1967,12,35,24.5,9.3,39,1.6
1968,1,40,21.9,8.8,42,2
1968,2,5,25.7,10.1,7,1.6
1968,3,9,33.3,15.9,11,1.4
1968,4,1,37.7,21,3,1.1
1968,5,0,41.9,26.7,1,0.7
1968,6,51,39.2,28.3,50,-0.1
1968,7,285,33.5,26.2,133,-0.9
1968,8,191,32.4,25.7,143,-1.9
1968,9,71,34.5,24.7,112,-2.8
1968,10,52,32.2,19.4,75,-2.8
1968,11,0,29.9,11.5,10,-3
1968,12,6,24.5,8.9,11,-3
1969,1,5,23.3,8.9,8,-3.4
1969,2,4,28.3,11.7,6,-3.4
1969,3,3,36.1,17.9,5,-3.3
1969,4,2,37.8,22.9,3,-3.1
1969,5,10,41.1,26.4,10,-2.5
1969,6,21,41.4,29,21,-3
1969,7,501,33.6,26.1,130,-0.9
1969,8,247,31.9,25.3,123,-1.3
1969,9,129,32,24.8,114,-1.5
1969,10,3,33.6,19.9,67,-2
1969,11,7,30.4,13.5,18,-2.2
1969,12,2,25.6,8.2,8,-2.3
1970,1,51,23.7,9.4,52,-1.3
1970,2,39,25.7,10.8,40,1.9
1970,3,8,32.2,16.3,9,1.6
1970,4,0,39.9,22.9,1,1.2
1970,5,15,42.5,27.8,15,1.6
1970,6,63,38.2,27.1,60,1.7
1970,7,293,34.8,26.2,146,1.2
1970,8,302,32.2,26.2,131,1
1970,9,438,31.9,25,120,4.7
1970,10,47,33.3,20,91,4.5
1970,11,0,28.9,11.3,24,4.3
1970,12,0,25.3,8.2,9,3.4
1971,1,19,22.7,8.3,23,3
1971,2,10,27,10.2,12,2.7
1971,3,5,33.2,15.4,7,2.3
1971,4,16,38.2,21.5,16,2.7
1971,5,15,39.7,25.3,15,3
1971,6,131,36.2,26.8,125,4.5
1971,7,249,31.9,25.5,138,3.3
1971,8,409,31,25,117,4
1971,9,159,33,24,130,3.4
1971,10,138,31.6,19.5,128,4.9
1971,11,1,28.2,11.5,56,5.5
1971,12,0,25,7.9,18,5.1
1972,1,21,23.9,8.4,27,4.6
1972,2,23,24.9,9.3,26,4.7
1972,3,1,33.6,16.1,4,3.9
1972,4,1,38,21.1,3,3.3
1972,5,1,43.9,27.3,2,2.7
1972,6,14,42.4,29.4,15,1.3
1972,7,144,35.5,26.9,137,-2.8
1972,8,311,32,25.5,137,-3.5
1972,9,164,32.8,23.2,136,-3.3
1972,10,114,32.2,18.8,115,-1.5
1972,11,7,28.7,12.1,51,2.5
1972,12,2,24.7,9.2,22,2.7
1973,1,24,23.7,9.5,31,2.5
1973,2,6,28.2,12.7,11,2.2
1973,3,3,33.5,16,6,1.8
1973,4,0,41.3,23.4,2,1.4
1973,5,2,43.6,28.3,3,1.1
1973,6,32,39.5,29.6,31,-0.4
1973,7,427,34.9,26.6,158,0.8
1973,8,470,31.7,26,123,2.2
1973,9,147,32.1,25,113,1.9
1973,10,133,31,20.1,116,3.5
1973,11,1,28.1,11.5,46,4.1
1973,12,3,23,7.6,27,4.3
1974,1,5,23,7.6,14,3.5
1974,2,2,26.3,10.3,6,2.9
1974,3,2,34.8,17.5,5,2.4
1974,4,1,40.3,23.1,3,2
1974,5,2,42,27.2,4,1.7
1974,6,28,40.2,28.7,28,1
1974,7,342,33.4,26.3,155,1
1974,8,261,32.1,25.6,122,-1.3
1974,9,55,34,24.8,92,-2.2
1974,10,45,33.1,20.7,72,-2.4
1974,11,0,28.6,11,10,-2.7
1974,12,2,22.9,7.8,7,-2.8
1975,1,17,21.9,8.2,19,-2.7
1975,2,7,26.1,10.8,9,-2.6
1975,3,17,33,16,18,-2
1975,4,2,39.9,22.1,4,-2
