Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 27.1458 North,78.3958 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,12,23.7,9.3,16,-0.3
1958,2,4,26.3,10.3,7,-0.5
1958,3,8,33.3,16.7,10,-0.8
1958,4,1,39.9,23.3,2,-0.9
1958,5,1,42.1,27,2,-1.3
1958,6,14,42.5,29.5,14,-2.1
1958,7,408,33.5,27.3,137,2.1
1958,8,334,33,25.8,111,3.2
1958,9,300,31.4,25.6,128,4.7
1958,10,54,32.3,19,91,5
1958,11,1,29.1,12.1,30,5.2
1958,12,5,24.1,9.3,15,4.6
1959,1,29,22.1,7.6,33,4.5
1959,2,2,25.4,9.5,6,3.8
1959,3,3,34.4,15.9,5,3
1959,4,1,38.5,21.7,3,2.5
1959,5,31,41.1,26.6,31,3.1
1959,6,34,40.9,30.1,34,2.5
1959,7,246,33.6,26.9,144,2.2
1959,8,248,32.3,26.1,123,2
1959,9,123,32.1,25.9,122,1.3
1959,10,27,33.1,20.2,81,1.4
1959,11,4,29.2,11.5,19,1.4
1959,12,0,24.9,8.1,7,1
1960,1,8,21.7,6.7,12,0.6
1960,2,0,30.1,11.5,3,-1
1960,3,52,31.4,15.6,51,1.3
1960,4,2,37.5,20.9,3,1
1960,5,9,42.3,26.6,9,0.7
1960,6,21,41.9,30.1,21,-0.7
1960,7,268,34.7,26.6,140,0.3
1960,8,440,31.9,26,113,2.9
1960,9,89,34.1,25,114,1.8
1960,10,125,33.1,18.3,119,3.2
1960,11,0,29.5,9.6,38,3.9
1960,12,8,24.3,7.9,19,3.8
1961,1,50,22.2,7.8,51,4.6
1961,2,24,23.6,8.9,27,4.8
1961,3,0,32.9,16.3,3,3.8
1961,4,4,37.9,21,5,3.4
1961,5,4,41.5,26.7,5,2.8
1961,6,54,40.1,28.7,52,2.6
1961,7,186,34.1,27,141,1.8
1961,8,520,32,25.8,116,4.6
1961,9,122,32.3,25.7,118,3.6
1961,10,84,32,18.5,107,4.5
1961,11,3,26.6,11.2,40,5.1
1961,12,3,21.5,5.3,14,4.8
1962,1,39,21.4,5.6,43,5.1
1962,2,3,26,10.8,7,4.5
1962,3,20,31.9,15.6,22,4.3
1962,4,3,38.7,21.9,4,3.8
1962,5,2,41.6,26.5,3,3.1
1962,6,22,42.2,29.4,22,2
1962,7,256,35.4,27.7,139,1.9
1962,8,248,33.1,25.8,118,2
1962,9,242,31.7,24.8,125,2.8
1962,10,0,32.7,17.3,65,2.3
1962,11,1,29.2,11.4,12,1.6
1962,12,4,23.3,8.2,9,1.3
1963,1,18,22.7,5.4,21,1.2
1963,2,3,28.5,11.2,6,0.8
1963,3,13,32,15.2,14,0.6
1963,4,5,36.8,21.1,6,0.6
1963,5,9,40.2,25.5,9,-0.1
1963,6,42,40,28.9,41,-0.9
1963,7,183,36,27.4,133,-1.3
1963,8,295,32,25.8,111,-0.9
1963,9,351,32.4,24.1,124,2.8
1963,10,5,34.2,19.5,70,2.3
1963,11,5,29.6,14.1,16,1.7
1963,12,12,24.4,7,17,1.7
1964,1,1,21,5.8,5,0.9
1964,2,1,26,10.3,3,-1.2
1964,3,4,34.6,17,6,-1.5
1964,4,1,39.2,22.6,2,-1.6
1964,5,15,40.4,24.8,16,-1.2
1964,6,14,41,29.5,14,-2
1964,7,428,33.5,26.4,136,2.3
1964,8,319,33,26.2,125,3.1
1964,9,302,31.9,24.7,121,4.7
1964,10,1,33.8,18.7,66,3.9
1964,11,0,29.2,9.7,12,3.1
1964,12,6,23.9,7.6,11,2.6
1965,1,4,24.1,8.8,8,1.7
1965,2,10,26,10.3,12,1.5
1965,3,7,31.8,14.9,9,1
1965,4,10,35.7,20.4,11,1.2
1965,5,2,40.4,26,3,0.8
1965,6,11,42.3,30.5,11,-2.2
1965,7,287,35.1,27.2,164,-1.8
1965,8,160,33.7,25.6,145,-2.8
1965,9,156,33.2,24.2,141,-2.8
1965,10,50,33.6,19.6,97,-1.8
1965,11,0,30.3,12.3,21,-1.4
1965,12,1,23.9,6.4,9,-1.5
1966,1,2,23.9,7.2,6,-1.9
1966,2,6,28.7,12.7,9,-1.9
1966,3,0,32.9,15.1,3,-2.2
1966,4,0,38.3,22,2,-2.2
1966,5,24,42,26.2,24,-1.5
1966,6,79,39.8,28.4,76,-0.6
1966,7,169,37.1,27.4,161,-1.4
1966,8,335,32.6,25.6,132,-1.2
1966,9,40,33.6,24.5,103,-2.4
1966,10,13,34.9,19.2,24,-3.5
1966,11,15,28.7,13,20,-3.3
1966,12,1,24.3,5.8,4,-3.4
1967,1,2,22.2,5.4,4,-3.6
1967,2,1,29.3,11.2,3,-3.7
1967,3,50,30.7,14.9,49,-2.1
1967,4,1,37.1,20.7,2,-2.1
1967,5,1,41.7,26.1,2,-2.3
1967,6,35,41.7,29.3,34,-2.5
1967,7,256,34.8,26.7,144,-2.2
1967,8,500,31.6,25.4,112,3.4
1967,9,173,32.3,24,125,3.2
1967,10,8,34,18.3,72,2.8
1967,11,1,28.7,12,13,2.3
1967,12,29,23.9,7.8,34,3
1968,1,42,20.8,6.8,43,3.5
1968,2,4,24.6,8.7,6,3
1968,3,12,32.7,14.9,14,2.6
1968,4,1,37.8,20.4,2,2.2
1968,5,1,41,25.5,2,1.6
1968,6,29,40.9,28.8,29,0.9
1968,7,290,34.6,26,132,1.5
1968,8,217,33.1,25.7,140,0.9
1968,9,62,35.5,24.4,113,-1.8
1968,10,44,33.7,18.5,61,-1.9
1968,11,0,30.6,10.8,8,-2
1968,12,1,24.2,7.8,6,-2.2
1969,1,11,22.2,7.5,13,-2.3
1969,2,9,26.2,11.6,11,-2.1
1969,3,5,36.8,15.8,6,-2.2
1969,4,1,37.4,22,2,-2.2
1969,5,15,40.1,25.4,15,-1.7
1969,6,23,41.8,29.9,23,-2.2
1969,7,324,35.1,26.2,140,-1
1969,8,235,33,25.6,122,-0.9
1969,9,183,32.8,24.8,118,1.1
1969,10,1,35,19.5,66,0.8
1969,11,2,31.6,12.2,14,-0.3
1969,12,0,25.3,7.1,6,-0.7
1970,1,44,22.5,7.8,46,0.8
1970,2,31,24.9,9.8,32,1.7
1970,3,18,31.3,15.6,19,1.7
1970,4,0,39.8,22.5,1,1.4
1970,5,22,41.9,27.1,22,1.7
1970,6,74,38.8,27.6,71,2.2
1970,7,136,36.1,26.7,130,0.9
1970,8,347,32.9,26.1,129,0.9
1970,9,199,32.8,25.2,125,1.4
1970,10,12,34.5,19.2,77,1.2
1970,11,0,30,10.2,12,0.8
1970,12,0,25.1,7.3,6,-0.3
1971,1,24,21.4,6.6,26,0.3
1971,2,9,26.8,9.6,11,0
1971,3,3,32.9,14.9,5,-0.7
1971,4,5,38.7,21.6,6,0.1
1971,5,14,39.2,24.8,14,0.2
1971,6,131,37.1,27.5,125,2.3
1971,7,301,32.9,25.9,127,2.9
1971,8,245,31.7,24.9,117,2.8
1971,9,186,33.2,24.1,126,2.8
1971,10,76,33,18.9,104,3.6
1971,11,2,29.4,11.1,37,4.2
1971,12,0,25.1,7,10,3.6
1972,1,6,23,7.3,11,2.9
1972,2,16,23.6,8.2,19,2.9
1972,3,1,33.1,15.6,4,2.2
1972,4,1,37.4,20.6,3,1.8
1972,5,0,43.1,26.9,2,1.1
1972,6,29,42.5,29.7,28,-1.5
1972,7,140,36.4,27.3,134,-2.6
1972,8,280,32.5,25.6,135,-3.1
1972,9,155,33.4,22.9,138,-3
1972,10,21,33.6,18.4,76,-2.6
