Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 28.6875 North,77.4375 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,25,22.1,9.3,29,0.7
1958,2,2,24,9.6,6,-0.4
1958,3,14,31.1,16.1,16,-0.6
1958,4,1,38.5,23,3,-0.8
1958,5,2,40.7,26.1,3,-1
1958,6,11,41.3,28.6,12,-1.9
1958,7,436,33.9,27.7,138,1.7
1958,8,297,33.8,26.6,103,2.2
1958,9,340,32.3,25.5,125,4.1
1958,10,55,32,19.2,89,4.2
1958,11,3,28.3,12.3,35,4.4
1958,12,10,23.1,9.1,19,4
1959,1,42,20.7,7.5,44,4.3
1959,2,4,23.3,9.1,8,3.6
1959,3,6,31.7,15.2,9,2.8
1959,4,1,36.6,21.3,3,2.3
1959,5,11,39.6,26,12,2.2
1959,6,21,40.3,29.2,21,1.6
1959,7,235,34,27.4,155,1.1
1959,8,252,33.4,26.9,124,0.7
1959,9,163,33,26,123,0.6
1959,10,30,32.8,20.4,81,0.7
1959,11,7,28.2,11.4,28,0.9
1959,12,0,23.7,8,9,-0.4
1960,1,19,20.3,6.9,23,-0.8
1960,2,0,28,11.7,3,-1.3
1960,3,31,29,14.6,32,-0.6
1960,4,3,35.4,20,5,-0.7
1960,5,2,41.1,26.1,3,-0.9
1960,6,21,41,28.9,21,-1.3
1960,7,279,34.9,27.1,133,-1
1960,8,374,33.2,27,115,1.4
1960,9,64,34.7,25.4,104,-0.9
1960,10,155,32.5,18.5,112,2.1
1960,11,0,28.7,9.7,51,2.8
1960,12,6,23.4,8,22,2.9
1961,1,32,20.9,7.9,37,3.1
1961,2,25,21.7,8.6,29,3.4
1961,3,1,30.5,15.5,4,2.6
1961,4,3,36.1,20.4,5,2.2
1961,5,6,40.1,25.8,7,1.9
1961,6,41,39.7,28.2,40,1.9
1961,7,235,34.7,27.6,144,1.5
1961,8,514,33,26.5,114,3.7
1961,9,119,33.2,25.9,120,2.8
1961,10,145,32,19,117,4.8
1961,11,2,25.7,11.4,48,5.2
1961,12,9,20.5,5.5,26,5.3
1962,1,45,20,6.1,48,5.9
1962,2,8,24.4,10.7,19,5.8
1962,3,15,29.6,15,20,5.3
1962,4,1,37.2,21.5,5,4.8
1962,5,2,40.1,25.8,4,4.1
1962,6,22,40.8,28.1,22,3.1
1962,7,264,35.6,28.1,143,2.7
1962,8,169,34.2,26.7,116,1.7
1962,9,294,32.5,24.9,126,3.1
1962,10,0,32.5,18.2,67,2.4
1962,11,5,28.3,11.6,16,1.7
1962,12,15,21.9,7.7,20,1.6
1963,1,6,21.2,5.8,9,1
1963,2,7,26.5,11,9,0.6
1963,3,15,29.7,14.6,17,-1.1
1963,4,4,35.4,20.8,6,-1
1963,5,6,38.8,24.7,7,-1
1963,6,46,39.7,28.3,44,-0.7
1963,7,138,36.7,28.3,132,-1.6
1963,8,333,32.8,26.4,120,-1.5
1963,9,312,33.1,24.3,125,1.8
1963,10,6,33.8,19.9,72,1.3
1963,11,6,28.5,13.8,18,0.9
1963,12,18,23.4,7.1,24,1.1
1964,1,4,19.3,5.9,7,-0.7
1964,2,1,23.9,9.9,4,-1.2
1964,3,3,32,16.1,5,-1.6
1964,4,2,37.2,21.7,4,-1.6
1964,5,9,38.8,23.6,10,-1.4
1964,6,14,40,28.5,14,-2
1964,7,537,33.5,26.4,144,2.7
1964,8,396,33.8,26.6,133,3.7
1964,9,247,32.6,24.8,120,4.4
1964,10,0,32.8,18.7,67,3.5
1964,11,1,28.3,9.9,13,2.7
1964,12,11,22.7,7.6,17,2.3
1965,1,11,22.9,8.9,14,1.5
1965,2,12,23.7,9.7,14,1.3
1965,3,8,29.4,14,10,0.8
1965,4,9,33.8,19.4,10,0.9
1965,5,4,38.7,24.8,5,0.6
1965,6,5,41.1,29.2,6,-2.2
1965,7,235,35.1,27.1,163,-2.4
1965,8,186,34.1,25.8,142,-3.3
1965,9,170,33.9,24.4,140,-3.1
1965,10,22,33.2,19.6,81,-2.8
1965,11,1,29.5,12.6,16,-2.7
1965,12,0,22.9,6.3,7,-2.8
1966,1,3,22.8,7.2,7,-3.1
1966,2,14,26.6,12.1,16,-2.8
1966,3,3,30.6,14.5,5,-3
1966,4,1,36.3,21.2,2,-3
1966,5,16,40.6,25.1,17,-2.3
1966,6,71,39.1,27.3,68,-1
1966,7,155,36.9,27,148,-1.7
1966,8,311,33.6,26.3,134,-2
1966,9,97,33.7,24,125,-2.5
1966,10,54,33.5,18.6,83,-2.2
1966,11,6,27.4,12.1,19,-1.9
1966,12,2,23,5.9,8,-2.1
1967,1,3,20.6,5.7,6,-2.5
1967,2,3,27.1,10.9,5,-2.6
1967,3,51,28.6,14.1,50,-1.1
1967,4,1,35.5,20,2,-1.3
1967,5,1,39.9,24.7,2,-1.5
1967,6,21,41,28.5,21,-1.9
1967,7,276,35.3,27,141,-1.6
1967,8,489,32.6,26,117,2.4
1967,9,165,33.2,24.2,125,2.1
1967,10,42,32.8,17.8,83,2.3
1967,11,7,27.5,11.5,33,2.6
1967,12,49,22.7,7.5,48,4.1
1968,1,27,19.5,6.8,33,4.3
1968,2,7,22.4,8.1,13,4
1968,3,11,30.2,14.1,14,3.6
1968,4,1,36.1,20.1,4,3.1
