Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 25.6042 North,83.5625 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,27,24.4,11.3,48,-1
1958,2,3,27.1,13,40,-1.1
1958,3,21,34.5,17.6,48,-0.9
1958,4,3,40.5,24.4,17,-1
1958,5,2,42.4,28.2,11,-1.5
1958,6,63,40.8,29.2,66,-2.4
1958,7,276,33.9,26.7,136,-2.6
1958,8,384,32.1,26.6,109,-2.1
1958,9,170,32.6,25.4,112,-2.2
1958,10,65,32.5,21.4,94,-1.4
1958,11,0,29.9,13.9,49,-1.3
1958,12,1,25.3,10.7,38,-1.1
1959,1,76,22.7,10.1,69,2.3
1959,2,2,26.3,11.8,41,2.3
1959,3,7,34.2,17.5,49,2.4
1959,4,4,39.4,23.8,22,2.3
1959,5,20,41.5,27.3,30,2.4
1959,6,64,38.8,28,68,1.3
1959,7,208,33.2,26.9,149,-2
1959,8,347,32.5,26.7,128,-2.5
1959,9,149,31.8,25.5,118,-2.8
1959,10,119,31.1,22.7,114,-0.8
1959,11,0,29,14,57,1.8
1959,12,0,25,10.1,39,1.9
1960,1,5,22.5,9,38,1.4
1960,2,0,29.3,13.3,38,1.1
1960,3,30,32.4,16.8,63,1.8
1960,4,1,39.5,22.5,18,1.4
1960,5,6,41.9,27.2,16,1
1960,6,83,39.4,28.6,86,-1.2
1960,7,356,32.6,26.7,129,-0.6
1960,8,363,32.3,26.9,125,0.6
1960,9,171,31.7,26.1,107,-0.2
1960,10,37,31.6,21,91,-0.2
1960,11,0,28.5,12.5,45,-0.7
1960,12,0,24.9,8.8,31,-0.8
1961,1,33,22.9,10.5,47,0.4
1961,2,17,25.2,11.3,46,0.7
1961,3,4,33.5,18.6,33,-0.3
1961,4,1,39.7,23.2,15,-0.2
1961,5,4,41.6,27.6,13,-0.8
1961,6,143,37.7,27.2,139,0.4
1961,7,207,33.4,26.4,145,-1.5
1961,8,374,32.5,26.7,126,-1.7
1961,9,160,32,25.8,120,-2.1
