Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 26.1458 North,79.3125 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,13,24.4,10.1,40,0.3
1958,2,2,27.4,10.9,24,-0.3
1958,3,14,34.2,17.3,24,0.1
1958,4,0,40.3,23.4,7,-0.1
1958,5,0,43.4,27.9,5,-0.6
1958,6,21,43,29.7,23,-1.5
1958,7,382,33,26.4,138,1.7
1958,8,398,32.5,25,111,2.7
1958,9,255,31.4,25.5,125,3.6
1958,10,112,31.7,19.4,115,4.4
1958,11,1,28.6,12.2,49,4.6
1958,12,5,24.5,9.9,36,4.6
1959,1,36,23,8.5,50,5.1
1959,2,2,26.6,10,31,5.3
1959,3,1,35.3,16.5,14,4.6
1959,4,1,39.1,21.9,9,4.2
1959,5,18,42.4,27.4,22,4.5
1959,6,35,41,30,37,3.6
1959,7,244,33.1,26,140,3.2
1959,8,387,31.7,25.3,119,3.3
1959,9,152,31.9,25.6,123,2.8
1959,10,95,32.4,20.5,110,3.3
1959,11,2,28.8,11.7,50,3.7
1959,12,0,25.4,8.7,33,3.4
1960,1,22,22.5,7.5,40,3.4
1960,2,0,30.9,11.7,19,3.1
1960,3,24,32.4,16.3,33,3.4
1960,4,1,38.2,21.1,7,3.1
1960,5,4,43.5,27.2,8,2.6
1960,6,28,42.1,30,30,1.7
1960,7,301,34.2,25.7,141,2.2
1960,8,600,31.3,25.1,111,4.6
1960,9,79,33.8,24.6,107,3.1
1960,10,170,32.5,18.6,124,4.7
1960,11,0,29,9.7,55,5
1960,12,6,24.8,8.6,34,5
1961,1,50,23,8.7,57,5.8
1961,2,8,24.7,9.5,42,6.4
1961,3,0,34.1,17.1,17,5.7
1961,4,2,38.5,21.3,11,5.3
1961,5,2,42.6,27.4,8,4.7
1961,6,52,40.2,28.5,53,4.1
1961,7,226,33.5,26,138,3.4
1961,8,577,31.6,25,114,5
1961,9,186,31.9,25.3,113,4.9
1961,10,151,31.3,18.8,123,6.2
1961,11,2,26.4,11.5,50,6.3
1961,12,4,22.2,6,34,6.1
1962,1,32,22.1,6.3,50,6.4
1962,2,3,26.7,11,32,6.6
1962,3,11,32.7,16.1,27,6.4
1962,4,4,38.9,21.7,13,6.1
1962,5,1,42.6,27.1,7,5.4
1962,6,21,42.6,29.5,24,4
1962,7,283,34.8,26.8,139,4
1962,8,392,32.4,24.8,117,4.4
1962,9,287,31.5,24.4,120,5.6
1962,10,0,32.1,17.5,75,4.3
1962,11,0,28.9,11.4,41,3.7
1962,12,5,24.1,9,25,3
1963,1,23,23.3,6,33,2.7
1963,2,3,29.2,11.3,10,2.2
1963,3,6,32.8,15.6,11,1.7
1963,4,3,37,20.9,6,1.5
1963,5,5,41.2,26.2,8,1.3
1963,6,46,39.8,28.3,46,0.8
1963,7,271,34.8,25.7,127,1.2
1963,8,377,31.4,24.9,109,1.7
1963,9,314,32.3,23.9,123,3.6
1963,10,7,33.4,19.6,83,2.6
1963,11,3,29.2,14.3,43,2.1
1963,12,9,24.9,7.7,26,1.8
1964,1,1,22.1,7,13,0.8
1964,2,1,27.1,10.8,8,-1.8
1964,3,8,35.6,17.7,13,-1.9
1964,4,0,39.8,22.8,4,-1.9
1964,5,10,41.7,25.8,12,-1.5
1964,6,26,41.2,29.4,27,-2
1964,7,371,33,25.5,134,1.6
1964,8,377,32.4,25.3,120,2.3
1964,9,257,31.9,24.6,121,3.4
1964,10,6,33.5,19.3,83,2.3
1964,11,0,28.9,10,35,1.9
1964,12,4,24.7,8.4,27,1.3
1965,1,4,24.6,9.4,16,-1.8
1965,2,3,27,10.8,10,-2
