Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 25.7292 North,82.6875 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,23,24.5,10.6,41,-0.7
1958,2,4,27.2,12.7,21,-1.1
1958,3,33,34.5,17.2,41,0.8
1958,4,1,40.6,23.9,7,-0.1
1958,5,1,42.1,27.5,5,-0.6
1958,6,34,41.1,29.1,35,-1.7
1958,7,292,33.8,27.1,139,-1.9
1958,8,325,32.3,26.6,109,-1.3
1958,9,147,32.2,25.3,114,-1.8
1958,10,46,32.6,20.7,89,-1.3
1958,11,0,29.9,13.5,44,-1.3
1958,12,1,25.1,10.1,32,-1.2
1959,1,59,22.9,9.3,61,1.4
1959,2,4,26.3,11.3,29,1.3
1959,3,5,34.5,17,17,1
1959,4,1,39.5,23.1,9,0.9
1959,5,23,41.1,26.5,27,1.3
1959,6,30,39,28.1,32,-1
1959,7,228,33.4,27.2,154,-1.9
1959,8,328,32.5,26.7,131,-2.2
1959,9,128,32.1,25.5,120,-2.8
1959,10,132,31.5,22,118,2.2
1959,11,0,29.3,13.8,56,2.4
1959,12,0,24.9,9.5,37,2.4
1960,1,8,22.6,8.2,36,2
1960,2,0,29.9,13.2,27,1.7
1960,3,22,32.5,16.5,34,2.1
1960,4,1,39.2,21.5,9,1.8
1960,5,4,41.7,26.4,9,1.3
1960,6,52,39.7,28.6,54,-0.6
1960,7,449,33.1,26.9,135,1.1
1960,8,368,32.2,26.9,125,2
1960,9,135,32.4,25.7,107,1.1
1960,10,43,31.9,20.2,94,1.1
1960,11,1,28.9,12,43,0.8
1960,12,0,24.6,8.1,27,0.6
1961,1,29,23,9.6,42,0.9
1961,2,16,25.1,10.8,34,0.9
1961,3,3,33.8,17.8,13,-0.3
1961,4,0,39.6,22.3,7,-0.5
1961,5,4,41.2,26.8,8,-0.8
1961,6,90,38,27.2,89,0.2
1961,7,294,33.7,26.9,151,-0.5
1961,8,389,32.4,26.7,126,0.3
1961,9,175,31.9,25.6,120,-0.1
1961,10,70,31.7,19.8,98,0.8
1961,11,2,27.3,12.7,48,0.9
1961,12,5,21.8,6.7,33,1.1
1962,1,29,22.2,6.9,47,1.4
1962,2,12,26.5,11.8,35,1.7
1962,3,9,33.5,15.7,22,1.5
1962,4,4,38.9,22.3,12,1.5
1962,5,4,40.6,26.4,10,1.2
1962,6,59,39.6,28.9,60,0.7
1962,7,345,34.6,27.5,149,0.6
1962,8,331,31.9,26.2,114,1.3
1962,9,284,31.4,24.7,114,2.1
1962,10,6,31.8,18.7,75,1.2
1962,11,0,29.6,12.5,40,0.6
1962,12,3,24.3,9.1,28,-1.2
1963,1,14,22.9,6.6,31,-1.3
1963,2,5,29.2,11.8,17,-1.6
1963,3,13,32.1,16.3,19,-1.4
1963,4,3,37.4,22,7,-1.3
1963,5,15,39.2,25.4,18,-1
1963,6,82,37.6,26.9,81,-0.9
1963,7,485,33.4,26.6,127,1.5
1963,8,372,32.1,26.6,115,2.6
1963,9,192,32.2,24.4,124,2.1
1963,10,30,32.4,21,86,1.7
1963,11,15,29.3,15.7,53,1.8
1963,12,1,24.9,9,30,1.4
1964,1,3,22.8,7.7,28,0.7
1964,2,4,26.9,11.9,17,-1.2
1964,3,4,35.1,18,12,-1.4
1964,4,2,39.3,23.8,7,-1.4
1964,5,9,39.7,25,13,-1.3
1964,6,65,39.3,27.5,65,-1.7
1964,7,360,32.3,26.1,133,-1.3
1964,8,250,32.6,26.8,129,-1.2
1964,9,213,31.7,25.1,115,-1
1964,10,31,33.5,20.7,88,-1.1
1964,11,4,28.9,12.9,41,-1.1
1964,12,1,24.8,8.8,31,-1.2
1965,1,2,24.6,8.7,26,-1.7
1965,2,1,27.4,11.7,14,-2.1
1965,3,23,32.2,15.8,30,-1.5
1965,4,5,37.6,21.2,10,-1.3
1965,5,3,41,26,6,-1.5
1965,6,31,40.6,28.7,32,-2.5
1965,7,363,33.7,27.1,151,-2.2
1965,8,232,33,26.3,123,-2.2
1965,9,143,32.5,24.2,123,-2.7
1965,10,33,32.6,20.3,86,-2.5
1965,11,9,29.6,14.2,51,-2.2
1965,12,2,24.2,7.6,30,-2.1
1966,1,17,23.4,9.1,34,-2
1966,2,7,28.9,13.8,22,-2
1966,3,0,34.1,17.1,9,-2.4
1966,4,0,39.8,22.7,6,-2.3
1966,5,3,42,26.6,7,-2.4
1966,6,178,38.5,27.8,172,-0.6
1966,7,272,34.9,27.4,161,-1.3
1966,8,194,32.2,26.5,115,-2.4
1966,9,56,33,25.1,102,-3.6
1966,10,5,33.3,20.1,66,-4.5
1966,11,34,30.2,14.3,52,-4.3
1966,12,7,24,8.5,21,-4.5
1967,1,3,22.8,8.1,11,-5
1967,2,1,29.4,12.5,7,-5.3
1967,3,36,31.5,16,38,-3.9
1967,4,2,37.9,21.2,5,-3.7
1967,5,3,41.2,26.1,5,-3.8
1967,6,49,39.8,28.3,49,-4.2
1967,7,280,34,26.7,150,-4.4
1967,8,468,31.8,26.1,125,-2.6
1967,9,268,32,24.6,117,-1.7
1967,10,3,32.6,19.5,76,-2.3
1967,11,0,28.3,13.3,38,-2.5
1967,12,12,24.8,9.7,32,-2.2
1968,1,34,21.3,8.7,43,-1.5
1968,2,5,25.8,10.7,21,-1.6
1968,3,6,33,16.9,15,-1.6
1968,4,0,38.2,21.7,6,-1.5
1968,5,2,40.9,26,6,-1.8
1968,6,80,37,27.2,80,-1.6
1968,7,220,33,26.6,133,-2.4
1968,8,203,32.9,26.2,137,-3.5
1968,9,136,33.6,25.4,128,-4.1
1968,10,31,31.6,20.1,76,-4
1968,11,1,29.3,13.9,32,-4.1
1968,12,3,24.6,9.7,25,-3.9
1969,1,3,23,8.4,17,-4.3
1969,2,3,28.5,12.1,11,-4.4
1969,3,11,35.6,18.6,16,-4.1
1969,4,1,39.1,22.7,5,-3.8
1969,5,20,39.8,25.2,22,-3
1969,6,48,39.4,28.1,48,-3.3
1969,7,501,33.2,26.5,133,-1.5
1969,8,216,32.2,25.7,120,-1.6
1969,9,159,31.8,24.9,114,-1.9
1969,10,3,33.4,20.8,75,-2.5
1969,11,15,30.8,14.9,46,-2.2
1969,12,1,25.1,9,24,-2.2
1970,1,37,22.9,9.4,46,-1.4
1970,2,32,25.9,11.6,42,1.4
1970,3,7,32.7,16.7,20,1.3
1970,4,0,40.3,23.2,8,1.2
1970,5,31,41.5,26.7,35,2
1970,6,90,37.2,26.4,90,2
1970,7,368,33.6,26.9,135,2.1
1970,8,228,32.6,26.9,134,1.5
1970,9,566,31.8,25.2,112,5.3
1970,10,36,33.2,20.9,84,4.8
1970,11,0,29.2,13.1,42,4.2
1970,12,0,25.6,8.3,28,3.6
1971,1,19,22.4,8.3,35,3.3
1971,2,9,26.4,10.3,27,3
1971,3,5,33.3,16,16,2.6
1971,4,8,37.5,21.6,15,2.7
1971,5,35,38.2,24.5,38,3.6
1971,6,179,35.1,26,148,5.1
1971,7,289,31.9,25.4,137,4.4
1971,8,423,31.4,25.4,114,5.5
1971,9,194,32.8,24.4,119,4.7
1971,10,108,31.6,20.7,111,5.9
1971,11,0,28.5,13.1,52,5.7
1971,12,0,25,8.3,36,5.4
1972,1,19,23.4,8.1,39,5.1
1972,2,29,25,9.9,50,5.7
1972,3,3,33.7,16.7,20,5.1
1972,4,1,38.7,21,11,4.7
1972,5,2,42.6,26.2,8,3.8
1972,6,23,40.9,28.3,26,2
1972,7,204,35.1,27,162,-2.9
1972,8,236,32.7,25.9,139,-3.9
1972,9,182,32.5,23.8,126,-4.2
1972,10,87,32.1,19.2,102,-2.5
1972,11,18,28.7,13.3,52,-1.4
1972,12,0,24.6,9.1,37,-0.9
1973,1,23,23.1,9.2,43,2.3
1973,2,8,27.6,13.1,32,2.5
1973,3,4,33.2,15.9,17,2.2
1973,4,0,41.2,23.3,8,2
1973,5,6,41.4,26.8,11,1.6
1973,6,68,37.8,28.1,69,1.3
1973,7,353,34.8,26.8,158,1.1
1973,8,401,32.2,26.3,122,2.4
1973,9,224,31.8,25.5,108,2.4
1973,10,111,30.8,21.4,110,3.9
1973,11,4,27.8,13.7,48,4
1973,12,0,23.2,8.4,36,4
1974,1,3,22.1,8,34,3.4
1974,2,1,26.4,10.7,29,3.3
1974,3,4,34.2,18.1,19,2.9
1974,4,0,40.1,23.6,9,2.6
1974,5,4,40.7,26.3,10,2.1
1974,6,49,39,27.8,51,1.4
1974,7,438,32.8,26.6,154,2
1974,8,262,32.2,26.3,120,1.9
1974,9,135,33.1,25.1,109,1
1974,10,16,33.6,21.6,80,-1.1
1974,11,1,29.4,12.4,40,-1.3
1974,12,2,23.1,7.9,24,-1.3
1975,1,18,21.7,8.2,33,-1.2
1975,2,7,26,11.6,22,-1.2
1975,3,19,33.3,16.3,28,-0.8
1975,4,1,40.5,22.2,7,-0.8
1975,5,4,42.3,26.8,8,-1.1
1975,6,135,38.5,27.2,131,0.7
1975,7,351,32.6,25.8,129,0.8
1975,8,200,32.5,25.9,121,-0.5
1975,9,232,31,25.6,127,0.2
1975,10,48,33.1,21.8,93,0.6
1975,11,0,29.2,12.2,46,-0.1
1975,12,0,24.4,8.1,31,-0.2
1976,1,22,23.4,8.8,39,0.1
1976,2,2,26.9,13,19,-0.6
1976,3,0,33.3,17.3,9,-1
1976,4,2,38.5,21.5,8,-0.9
1976,5,8,40.1,25.9,12,-1
1976,6,43,38.1,27.5,44,-1.7
1976,7,266,34,26.5,135,-2.2
1976,8,200,31.9,25.8,125,-3
1976,9,304,31.8,24.7,118,-1.7
1976,10,10,33.3,20,75,-2.1
1976,11,1,31.6,14.7,45,-2.3
1976,12,0,25,8.3,27,-2.4
1977,1,18,22.5,8.2,33,-2.3
1977,2,9,27.7,11.6,21,-2.5
1977,3,0,35.4,18,8,-2.8
1977,4,4,38.3,22.7,9,-2.6
1977,5,13,38.6,24.6,16,-2.2
1977,6,70,37.6,26.9,69,-2.4
1977,7,419,32.7,26.2,144,-1.5
1977,8,258,32.6,26.5,120,-1.2
1977,9,134,32.1,24.6,123,-2
1977,10,76,32.1,20.6,104,-0.9
1977,11,14,30.6,15.9,52,1.4
1977,12,7,23.9,9.9,38,1.7
1978,1,30,21.7,7.6,46,2.1
1978,2,34,25.3,11.3,49,3.2
1978,3,22,31,14.9,41,3.7
1978,4,2,38.3,21.8,13,3.6
1978,5,6,41.9,27.9,12,3.1
1978,6,156,38,27.6,152,4
1978,7,241,33.2,26.1,132,2.8
1978,8,273,32.1,26.2,127,1.9
1978,9,300,31.3,25.1,126,2.7
1978,10,29,31.9,20.8,84,2.2
1978,11,3,29.6,15.1,45,1.8
1978,12,5,24.3,9.2,33,1.6
1979,1,24,23.7,9.3,36,1.6
1979,2,9,25,11.5,25,1.4
1979,3,1,32.2,16.2,11,0.9
1979,4,3,39.6,23,9,0.8
1979,5,2,41.7,24.9,6,-0.4
1979,6,99,38.9,27.3,97,0.1
1979,7,334,34.1,26.9,147,-0.8
1979,8,185,33.4,27,151,-1.7
1979,9,74,33.8,25.2,118,-3
1979,10,19,33.2,21.7,74,-3.5
1979,11,43,31.4,17.1,58,-2.5
1979,12,8,23.7,11.7,30,-2.4
1980,1,3,22.9,8.8,19,-2.9
1980,2,4,27.4,12.7,13,-3.1
1980,3,5,32.5,17.2,11,-3.1
1980,4,0,40.8,23.8,5,-3.1
1980,5,6,41.5,28,9,-3
1980,6,118,37,26.9,115,-2
1980,7,473,32.6,26.3,118,2
1980,8,422,32.6,25.9,107,3.5
1980,9,215,32.7,25.4,122,3.2
1980,10,16,32.3,21,82,2.4
1980,11,0,30,13.5,43,1.7
1980,12,6,25,9.7,30,1.4
1981,1,23,21.5,9.3,34,1.4
1981,2,1,27.6,12.2,16,0.8
1981,3,15,32.2,16.9,23,0.9
1981,4,1,38.5,22.3,7,0.7
1981,5,9,39.7,25.8,13,0.6
1981,6,90,39.1,28,89,0.6
1981,7,456,32.5,26.7,133,1.6
1981,8,335,33.1,26.5,122,2.2
1981,9,203,32.9,25.3,119,1.9
1981,10,0,33.4,19.5,80,0.9
1981,11,18,28.8,13,48,0.8
1981,12,3,24,8.6,28,-0.3
1982,1,42,23.6,9.5,48,0.8
1982,2,8,25.3,12,24,0.6
1982,3,35,30.8,15,42,1.5
1982,4,2,37.8,21.7,8,1.4
1982,5,22,39.8,24.5,25,1.7
1982,6,74,38,26.9,74,1.5
1982,7,226,35.9,28,154,-1.1
1982,8,309,33,26.1,125,-1.6
1982,9,329,33.4,24.3,130,1.2
1982,10,9,32.6,20.8,76,-0.6
1982,11,30,28.8,14.6,55,1
1982,12,4,24.5,9.5,33,0.9
1983,1,17,21.7,8.1,32,0.8
