Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 37.0208 North,-95.6042 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,28,8.2,-4.9,27,-1.4
1958,2,24,5.6,-5.9,7,-1.2
1958,3,142,8.8,-0.9,58,0.9
1958,4,73,19.7,7.3,94,1
1958,5,85,26.5,14,113,0.6
1958,6,115,31,17.4,124,-0.2
1958,7,165,31.7,20.1,162,1.3
1958,8,60,32.7,18.6,62,0.7
1958,9,119,28.7,16.3,116,0.7
1958,10,6,23.4,7.6,8,-1.5
1958,11,47,18.3,2.7,46,-1.9
1958,12,17,8.1,-5.2,18,-2.2
1959,1,18,5.3,-6.7,3,-2.2
1959,2,44,9.8,-3.4,47,-2.1
1959,3,70,16.6,1.5,70,-2.3
1959,4,63,21.9,7.5,62,-2.8
1959,5,140,26.5,15.6,134,-2.5
1959,6,82,30.6,17.5,79,-2.9
1959,7,161,30.6,18.4,154,-1.6
1959,8,43,33.3,20,42,-2.4
1959,9,146,29.7,15.4,139,-2
1959,10,232,20.7,7.2,91,1.8
1959,11,27,12.9,-2.2,53,1.3
1959,12,56,11.6,-0.3,52,1.2
1960,1,32,6.4,-3.6,21,1
1960,2,51,6.2,-5.3,13,1.4
1960,3,36,8.4,-3.6,57,0.9
1960,4,73,22.6,8.6,108,0.7
1960,5,171,25.4,11.5,150,1
1960,6,67,30.3,18,98,-0.5
1960,7,100,31.8,19.2,105,0.3
1960,8,125,32.2,19.3,124,0.7
1960,9,25,31.1,15.5,27,-1.2
1960,10,106,25.1,10,101,-1
1960,11,27,17.3,2.2,28,-1.7
1960,12,63,7.8,-3.9,40,-1.4
1961,1,9,8.2,-8,10,-1.6
1961,2,33,11.3,-1.5,38,-1.7
1961,3,91,16.6,2.9,86,-1.5
1961,4,86,20,5.8,87,-1.5
1961,5,250,24,11.9,136,1.3
1961,6,110,29,16.5,138,1.6
1961,7,141,31.7,19.2,159,2.7
1961,8,127,30.9,18.2,134,3.2
1961,9,216,26.8,14.3,124,4
1961,10,86,23.4,9.1,98,3.8
1961,11,92,13.1,1.9,59,3.8
1961,12,40,6.5,-3.9,21,3.7
1962,1,24,4.3,-8.3,0,3.4
1962,2,22,12,-1.9,52,2.8
1962,3,51,14.3,-0.2,74,2.1
1962,4,56,20.1,6.4,85,1.4
1962,5,37,30,16.7,50,-2.5
1962,6,115,29.3,17.5,116,-2.4
1962,7,60,33.2,20.1,61,-2.4
1962,8,53,34.5,18.4,53,-3
1962,9,249,26.8,15,111,-1.1
1962,10,58,24,11.1,83,-1.1
1962,11,40,15.1,2.3,51,-1.2
1962,12,21,9.1,-3.1,31,-1.6
1963,1,27,3.8,-10.1,0,-1.4
1963,2,1,10.2,-5.5,35,-1.9
1963,3,66,18.8,3.1,74,-2.2
1963,4,25,23.8,10.4,30,-3.3
1963,5,74,26.5,13.9,74,-3.7
1963,6,67,32.8,19.1,66,-4.3
1963,7,68,34.9,20.8,66,-4.2
1963,8,74,34.8,19.6,71,-4.2
1963,9,43,31.1,16.1,42,-4.7
1963,10,20,29.4,11.1,20,-5.5
1963,11,43,17.9,1.5,42,-5.5
1963,12,14,4.5,-8.5,0,-5.1
1964,1,13,11.1,-4.8,26,-5.6
1964,2,35,9.7,-4.2,34,-5.5
1964,3,59,14.8,-1.4,57,-5.4
1964,4,133,23.4,10,127,-4.6
1964,5,104,26.9,14.9,100,-4.7
1964,6,147,29.9,18,140,-4.2
1964,7,17,35.5,20.6,16,-4.7
1964,8,191,32.3,18.5,180,-2.9
1964,9,64,28.1,15.5,61,-3.1
1964,10,23,22.9,6.1,22,-3.8
1964,11,115,16.7,4.3,69,-3.2
1964,12,24,8.4,-4.1,28,-3.2
1965,1,48,9.9,-3.9,46,-3
1965,2,25,10.4,-5,33,-3.1
1965,3,37,9.8,-3.6,44,-3.3
1965,4,130,24.5,9.8,124,-2.7
1965,5,106,27,15,105,-2.9
1965,6,136,29.9,17.8,132,-2.6
1965,7,64,33.4,20.2,63,-2.6
1965,8,105,33.7,17.9,101,-2.3
1965,9,154,28.7,15.8,131,-1.7
1965,10,6,24.2,7.2,12,-2.6
1965,11,5,19.2,4,8,-3.3
1965,12,74,13.1,0.9,60,-3
1966,1,13,5,-6.7,3,-2.9
1966,2,50,8.9,-4.8,34,-2.4
1966,3,23,17.9,2.4,43,-3.2
1966,4,69,20.6,5.9,73,-3.3
1966,5,83,26,11.3,83,-3.7
1966,6,91,30.4,16.8,89,-3.9
1966,7,66,35.7,22.4,65,-3.8
1966,8,108,31,17.9,104,-3.1
1966,9,71,27.1,13.5,69,-3.3
1966,10,33,22.8,6,33,-3.8
1966,11,11,17.9,3.8,11,-4.4
1966,12,40,8.6,-5.1,32,-4.1
1967,1,38,9.9,-4.6,40,-4
1967,2,19,9.7,-4.7,19,-4.3
1967,3,31,18.5,3.9,30,-4.7
1967,4,108,22.8,11.1,103,-4.2
1967,5,117,24.1,11.1,111,-3.9
1967,6,200,29.4,18.2,150,-2.8
1967,7,122,30.7,18.2,135,-1.6
1967,8,31,30.8,15.9,37,-2.3
1967,9,147,26.2,13.4,110,-1.6
1967,10,110,22.8,8,105,-1.2
1967,11,20,14.5,0.6,35,-1.5
1967,12,35,8.8,-2.1,36,-1.7
1968,1,47,6.2,-4.3,15,-1.4
1968,2,17,7.9,-4.7,31,-1.5
1968,3,92,16,2.2,88,-1.3
1968,4,81,21.7,6.8,94,-1.4
1968,5,115,23.9,11.3,112,-1.2
1968,6,100,30.2,17.9,102,-1.5
1968,7,90,32.2,19.6,89,-1.2
1968,8,122,32,19.8,118,-0.6
1968,9,59,28.8,12.9,58,-1.3
1968,10,89,23.5,8.2,86,-1.4
1968,11,129,12.6,1.3,53,-0.7
1968,12,53,7.7,-4.8,28,0.3
1969,1,43,5.8,-4.4,12,1.1
1969,2,30,10.1,-1.8,49,0.8
1969,3,79,11,-2.3,72,0.8
1969,4,93,22.1,8.5,107,1
1969,5,84,26.2,13.6,111,0.7
1969,6,206,28.9,17,152,1.5
1969,7,32,34.8,21.9,87,1.5
1969,8,70,33.3,18.9,78,1
1969,9,123,29.5,15.7,120,1
1969,10,165,20.5,7.7,86,1.8
1969,11,8,16.2,-0.2,44,1
1969,12,35,8.3,-2.3,36,0.7
1970,1,9,4.1,-8.5,0,-0.3
1970,2,8,11.4,-3,32,-1.6
1970,3,74,11.9,0.1,68,-1.4
1970,4,148,21.7,7.7,116,0.8
1970,5,93,27.3,14.3,120,-0.4
1970,6,131,29.7,17.8,134,0
1970,7,34,34.2,19.2,38,-0.9
1970,8,44,36,20.2,45,-1.7
1970,9,205,29.4,16.7,126,-0.6
1970,10,107,20.1,8.4,87,1.4
1970,11,14,13.5,0.8,44,0.8
1970,12,32,11.8,-1.7,39,-0.4
1971,1,45,6.8,-6,12,0.6
1971,2,57,7.8,-4.7,29,1
1971,3,11,15.2,0.2,67,-1
1971,4,46,22.6,7.7,69,-1.8
1971,5,99,25.1,11.6,103,-2.1
1971,6,113,31.9,19.5,113,-2.2
1971,7,135,32,18.8,131,-1.3
1971,8,29,32.5,17.6,30,-2.1
1971,9,170,28.5,16,136,-1.4
1971,10,134,24.4,11,100,-0.7
1971,11,38,15.6,2.7,52,-0.9
1971,12,99,10.5,0.9,48,1.3
1972,1,6,6.8,-5.6,11,0.7
1972,2,17,11,-3.3,41,-0.4
1972,3,27,18.1,2.8,59,-1.7
1972,4,84,23.5,8.6,90,-2
1972,5,61,25.7,12.2,64,-2.6
1972,6,50,32.4,17.2,51,-3.4
1972,7,127,31.9,19.5,123,-2.6
1972,8,90,33.5,18.8,87,-2.4
1972,9,133,28.7,17.7,127,-2
1972,10,140,20.3,9.1,88,-1.2
1972,11,120,10.1,1.2,40,1.8
1972,12,46,5.2,-4.9,7,2.1
1973,1,104,5.5,-5.4,6,3.6
1973,2,25,9,-3,41,3.1
1973,3,244,16.7,6,79,5.2
1973,4,137,19.1,7.3,109,5.7
1973,5,109,25.4,11,130,5.4
1973,6,104,30.6,17.6,131,4.8
1973,7,93,33.1,20.2,101,4.6
1973,8,43,33.4,18.5,47,3.4
1973,9,216,27,16.9,118,4.2
1973,10,113,24.8,10.8,101,4.3
1973,11,112,17,5,72,4.6
1973,12,82,8.7,-3,45,4.8
1974,1,31,5.3,-6.1,4,4.5
1974,2,48,12.6,-2.4,61,4.2
1974,3,163,18.3,4.6,98,4.7
1974,4,77,22.6,8.5,110,4.3
1974,5,141,26.9,15.1,139,4.1
1974,6,113,28.8,15.7,128,3.7
1974,7,17,36.4,20.4,26,2.6
1974,8,168,31.2,18.3,163,3.5
1974,9,151,24,11.2,107,3.7
1974,10,151,22.5,9.9,99,4.1
1974,11,126,14.4,2.5,60,4.7
1974,12,63,8.8,-2.5,42,4.6
1975,1,81,9.3,-3.5,39,4.9
1975,2,60,6.7,-4.1,26,5
1975,3,104,12.1,0.3,74,4.9
1975,4,51,21.7,7.6,100,4.1
1975,5,132,26.3,13.6,131,3.7
1975,6,135,30.1,17.9,141,3.4
1975,7,37,33.5,19.3,42,2.5
1975,8,146,33.7,19.8,143,3.1
1975,9,72,26.6,12.3,71,2.3
1975,10,45,24.4,8.1,45,1.4
1975,11,56,16.2,3.1,54,1
1975,12,39,10,-2.1,38,-1.5
1976,1,3,8.8,-6.4,4,-2.2
1976,2,19,17.5,1,19,-3.2
1976,3,88,18,3.1,85,-3.1
1976,4,129,22.3,8.5,123,-2.5
1976,5,106,23.3,10.2,101,-2.5
1976,6,103,29.5,15.8,98,-2.6
1976,7,169,32.5,19.1,161,-1.4
1976,8,63,32.5,17.5,60,-1.7
1976,9,71,28.9,14.3,68,-2.2
1976,10,87,19.4,5.1,83,-2.1
1976,11,5,12.3,-2.8,5,-2.9
1976,12,7,9.6,-5.9,7,-3.5
1977,1,21,1.4,-10.9,0,-3.3
1977,2,41,13.1,-2.7,59,-3.4
1977,3,70,18.2,3.8,67,-3.5
1977,4,64,23.5,10,61,-3.9
1977,5,180,27.6,15.6,143,-3
1977,6,165,32.1,18.9,166,-2.5
1977,7,61,34.5,21.4,63,-2.6
1977,8,187,32.3,20,178,-1.1
1977,9,175,28.9,17.4,129,1.9
1977,10,61,22.9,8.6,77,1.5
1977,11,76,15.1,4.2,59,1.4
1977,12,12,9.5,-3.6,26,0.6
1978,1,21,-0.2,-10.3,0,-0.1
1978,2,50,1.7,-7.6,0,0.6
1978,3,70,14.4,0.1,85,0.3
1978,4,87,22.8,9.5,107,0
1978,5,149,24.8,13.1,135,0.4
1978,6,142,30.4,18.4,147,0.7
1978,7,30,36.4,21.5,51,-0.5
1978,8,76,34.6,19.2,80,-0.7
1978,9,29,32.2,18,33,-1.8
1978,10,11,25.2,6.1,13,-2.8
1978,11,116,15.3,3,64,-2.2
1978,12,23,8.8,-4.6,31,-2.3
1979,1,65,-1.3,-12.1,0,-1.4
1979,2,22,3.9,-9.4,0,-1.1
1979,3,79,16,2.3,81,-1.1
1979,4,76,21,7.3,97,-0.8
1979,5,92,25.3,12,116,-0.9
1979,6,142,30,17.6,146,-0.7
1979,7,106,32.7,20.5,111,0.4
1979,8,92,32.3,18.9,92,0.8
1979,9,25,30.1,13.7,27,-1.1
1979,10,73,25.4,8.5,72,-1.5
1979,11,164,13.3,-0.3,52,1
1979,12,13,11.6,-2.5,35,-0.6
1980,1,29,7.6,-3.8,30,-0.8
1980,2,38,7.3,-6.3,13,0.3
1980,3,111,14.5,0.2,84,0.6
1980,4,83,21.3,5.9,104,0.8
1980,5,90,26.6,12.7,113,-0.2
1980,6,59,32.6,19.8,73,-1.1
1980,7,7,39.1,22.8,14,-2.2
1980,8,83,36.9,21.4,83,-2.5
