Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 26.5208 North,79.8125 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,24,24.4,10.2,40,-0.1
1958,2,2,26.9,11,11,-0.3
1958,3,16,33.7,17.2,21,0.2
1958,4,0,40.4,23.6,4,-0.1
1958,5,1,43,27.5,3,-0.6
1958,6,19,42.7,29.8,20,-1.5
1958,7,317,33.2,27,142,1.1
1958,8,377,32.4,25.5,107,2.4
1958,9,181,31.4,25.7,128,2.7
1958,10,98,31.9,19.5,109,3.1
1958,11,0,28.6,12.5,46,3.4
1958,12,8,24.4,10,35,3.5
1959,1,49,23.1,8.7,54,4.2
1959,2,3,25.9,10.1,16,4
1959,3,4,34.7,16.3,11,3.5
1959,4,1,39.2,22.2,5,3.2
1959,5,15,42,27.1,17,3.3
1959,6,30,40.8,29.9,31,2.5
1959,7,226,33.3,26.6,148,2.1
1959,8,306,31.9,25.9,123,1.9
1959,9,97,32,25.9,113,1
1959,10,132,32.3,20.5,124,2.1
1959,11,2,28.6,11.8,49,2.6
1959,12,0,25.3,8.9,30,2.5
1960,1,20,22.5,7.7,31,2.2
1960,2,0,30.3,11.9,7,1.7
1960,3,23,32,16.2,26,2.1
1960,4,1,38.3,21.4,4,1.9
1960,5,3,43.1,26.9,6,1.5
1960,6,24,41.9,30.1,25,0.7
1960,7,307,34.2,26.2,142,1.5
1960,8,448,31.5,25.7,113,3.5
1960,9,72,33.7,24.8,102,2.1
1960,10,179,32.4,18.7,124,3.7
1960,11,0,28.9,9.9,56,4.1
1960,12,6,24.6,8.5,33,4.1
1961,1,52,23.2,8.9,56,4.9
1961,2,12,24.2,9.6,28,5.1
1961,3,0,33.5,17,9,4.4
1961,4,1,38.8,21.7,6,4
1961,5,2,42.3,27.2,6,3.5
1961,6,58,40.1,28.5,58,3.3
1961,7,209,33.7,26.6,144,2.6
1961,8,509,31.6,25.5,113,4.3
1961,9,113,32,25.5,114,3.5
1961,10,160,31.4,19,120,4.8
1961,11,1,26.1,11.7,50,5
1961,12,6,21.9,6.1,33,5
1962,1,45,22.1,6.6,54,5.6
1962,2,5,26.2,11.1,22,5.6
1962,3,11,32.3,16.1,19,5.3
1962,4,3,39.1,22,8,5.1
1962,5,2,42.3,26.9,5,4.4
1962,6,29,42.3,29.6,30,3.4
1962,7,261,34.9,27.4,147,3.3
1962,8,322,32.5,25.3,114,3.6
1962,9,232,31.6,24.7,120,4.7
1962,10,0,32.1,17.7,72,3.4
1962,11,0,28.6,11.8,28,2.6
1962,12,5,23.9,9.1,16,1.9
1963,1,24,23.5,6.2,29,1.6
1963,2,4,28.7,11.4,8,1.3
1963,3,10,32.2,15.5,13,1.1
1963,4,2,37.3,21.3,4,1
1963,5,6,40.8,25.8,7,0.9
1963,6,45,39.6,28.4,44,0.6
1963,7,284,34.8,26.4,127,1.3
1963,8,341,31.6,25.4,112,2.2
1963,9,256,32.3,24.2,121,3.9
1963,10,16,33.3,19.6,83,2.9
1963,11,3,29,14.3,34,2.4
1963,12,12,24.9,7.8,24,2
1964,1,3,22,7.3,10,1
1964,2,2,26.5,11,6,-1.7
1964,3,5,35.1,17.6,8,-1.8
1964,4,1,39.8,23,3,-1.8
1964,5,7,41.2,25.3,8,-1.6
1964,6,24,41,29.4,24,-2.1
1964,7,373,32.9,25.9,135,1.9
1964,8,314,32.6,25.7,126,2.4
1964,9,223,32,24.7,120,3.4
1964,10,9,33.7,19.4,82,2.4
1964,11,0,28.7,10.3,26,1.8
1964,12,7,24.3,8.5,18,1.2
1965,1,8,24.5,9.3,14,-2
1965,2,5,26.3,10.8,9,-2
1965,3,13,32.1,15.3,15,-1.7
