Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 24.6875 North,78.3958 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,12,25.3,10.7,35,-0.3
1958,2,1,27.7,11.4,18,-0.6
1958,3,5,34,17.3,14,-0.8
1958,4,1,40.1,24,7,-0.8
1958,5,1,43.2,28.4,5,-1
1958,6,44,41.8,28.4,45,-1.5
1958,7,593,30.8,25.1,124,1.8
1958,8,367,30.9,24.2,110,1.8
1958,9,266,29.6,24.4,115,2.6
1958,10,104,31.1,18.9,112,4.1
1958,11,8,28.8,13.5,57,4.7
1958,12,1,24.8,10.9,36,4.5
1959,1,42,24,9.3,54,4.9
1959,2,2,27.1,10.6,25,4.8
1959,3,0,35.4,16.6,11,4.1
1959,4,4,39,22.5,10,3.9
1959,5,14,42.3,27.8,18,4.1
1959,6,69,39.4,28.6,69,3.6
1959,7,432,30.9,24.6,129,3.7
1959,8,474,29.8,24.2,108,4.4
1959,9,309,30.2,24.4,112,5.3
1959,10,43,31.9,20.1,86,5.3
1959,11,3,28.9,12.9,45,5
1959,12,0,25.9,9.7,30,4.5
1960,1,75,23.2,7.9,71,5.5
1960,2,0,31.1,11.7,19,5.2
1960,3,15,32.1,16.4,24,5
1960,4,3,38.3,22,9,4.6
1960,5,4,43.2,27.6,8,4.1
1960,6,55,40.3,28.6,55,3.2
1960,7,374,32.2,24.5,132,2.9
1960,8,644,29.2,23.8,108,5
1960,9,73,32.4,23.5,104,3.5
1960,10,94,32,18.2,107,4.4
1960,11,0,29.2,11,43,4.2
1960,12,3,25.8,9.9,28,3.7
1961,1,70,24,9.7,68,4.6
1961,2,3,24.8,10,20,4.3
1961,3,2,34.2,17.3,11,3.6
1961,4,5,38.6,22.1,10,3.5
1961,5,4,42.4,27.8,8,3.1
1961,6,59,38.6,27.4,59,2.5
1961,7,433,31.1,24.6,124,2.7
1961,8,436,29.7,24,115,3.2
1961,9,396,29.8,24.1,101,5.3
1961,10,108,30.8,18.2,115,6.7
1961,11,10,26.9,12.9,54,7
1961,12,9,22.9,7,38,7
1962,1,23,23.2,6.7,43,6.7
1962,2,5,27,11.3,31,6.8
1962,3,12,32.5,16.1,24,6.5
1962,4,11,38.7,22.1,17,6.4
1962,5,3,42.4,27.4,7,5.7
1962,6,22,41,27.8,24,4
1962,7,450,32.4,25.2,127,4.2
1962,8,521,30.6,23.8,114,5.2
1962,9,369,29.9,23.6,116,6.7
1962,10,1,31.5,16.6,78,5.4
