Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 27.4792 North,77.6875 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,9,23.3,9.1,12,-0.2
1958,2,3,25.7,10.1,5,-0.2
1958,3,5,32.6,16.6,6,-0.7
1958,4,0,39.4,23.3,1,-0.8
1958,5,1,41.8,27,2,-1.1
1958,6,7,42.2,29.3,8,-1.8
1958,7,352,33.9,27.5,134,2.4
1958,8,288,33.6,26.1,116,3.4
1958,9,249,31.6,25.6,127,5.2
1958,10,31,32.3,19,81,5.4
1958,11,4,28.8,12.2,15,5.2
1958,12,4,23.8,9.5,9,4.6
1959,1,21,21.7,7.3,23,4.5
1959,2,1,24.9,9.3,3,3.8
1959,3,1,33.6,15.7,3,3
1959,4,0,37.8,21.5,2,2.6
1959,5,22,40.8,26.6,22,3
1959,6,19,40.6,30,19,2.5
1959,7,198,34,27.1,147,2.2
1959,8,237,32.7,26.2,123,1.9
1959,9,107,32.4,25.8,115,1.6
1959,10,14,33.2,20.4,55,1.6
1959,11,8,28.9,11.6,17,1.3
1959,12,0,24.5,8.3,5,0.8
1960,1,5,21.4,6.6,8,-0.3
1960,2,0,29.6,11.3,2,-1.1
1960,3,37,30.7,15.5,37,1.1
1960,4,1,36.7,20.5,2,0.9
1960,5,6,42,26.6,7,0.7
1960,6,13,41.6,29.9,14,-0.6
1960,7,209,35.1,26.8,143,0.2
1960,8,406,32.4,26.2,116,2.8
1960,9,60,34.4,25,105,1.7
1960,10,96,33.1,18.4,100,2.4
1960,11,0,29.2,9.7,9,2.2
1960,12,6,24.1,8.2,11,2.2
1961,1,36,21.8,7.6,37,2.9
1961,2,19,23,8.8,20,3.2
1961,3,0,32.2,16.2,2,2.4
1961,4,1,37.1,20.6,2,2.1
1961,5,3,41.1,26.6,4,1.7
1961,6,31,39.9,28.7,30,1.6
1961,7,154,34.4,27.1,142,1
1961,8,494,32.4,25.9,118,4.1
1961,9,106,32.6,25.8,113,3.6
1961,10,69,32.1,18.6,100,4.4
1961,11,5,26.4,11.3,19,4.6
1961,12,3,21.3,5.5,9,4.2
1962,1,27,21,5.3,30,4.4
1962,2,2,25.6,10.7,5,3.8
1962,3,15,31.2,15.5,16,3.6
1962,4,1,38.1,21.7,2,3.2
1962,5,1,41.4,26.6,2,2.5
1962,6,10,41.8,29,11,1.5
1962,7,217,35.7,27.9,138,1.7
1962,8,195,33.7,26.1,124,1.1
1962,9,182,32,24.7,125,2.1
1962,10,0,32.8,17.3,54,1.9
1962,11,2,29,11.4,11,1.3
1962,12,4,22.9,8.2,9,1.1
1963,1,11,22.3,5.2,13,0.9
1963,2,2,27.9,11.1,4,-0.2
1963,3,8,31.5,15.2,9,-0.8
1963,4,2,36.4,21,3,-0.7
1963,5,5,40,25.6,6,-0.7
1963,6,26,39.9,28.9,25,-0.9
1963,7,135,36.7,27.8,129,-1.5
1963,8,276,32.5,26,112,-1.4
1963,9,265,32.7,24,125,2.5
1963,10,2,34.3,19.6,56,2.4
1963,11,7,29.2,14.1,16,1.8
1963,12,9,23.9,7.1,14,1.8
1964,1,1,20.4,5.3,4,1
1964,2,0,25.4,10,2,0.6
1964,3,1,33.8,16.8,3,-1.3
1964,4,0,38.5,22.3,1,-1.3
1964,5,12,40.1,24.8,12,-1
1964,6,7,40.7,29.3,8,-1.7
1964,7,367,33.8,26.5,138,2.5
1964,8,327,33.4,26.3,126,3.9
1964,9,220,32.1,24.6,121,5.3
1964,10,0,33.6,18.6,54,4.8
1964,11,0,28.8,9.7,10,3.9
1964,12,4,23.5,7.6,9,3.3
1965,1,3,23.8,8.7,6,2.4
1965,2,9,25.4,10,11,2.2
1965,3,5,31,14.7,6,1.7
1965,4,4,34.9,20,5,1.6
1965,5,2,40,25.9,3,1.2
1965,6,5,41.9,30.2,6,-2
1965,7,226,35.4,27.4,167,-1.7
1965,8,138,34,25.6,140,-2.8
1965,9,128,33.5,24.1,129,-2.5
1965,10,36,33.7,19.7,47,-2.7
1965,11,0,30,12.5,6,-2.8
1965,12,0,23.4,6.4,4,-2.8
1966,1,2,23.5,7.1,4,-3.1
1966,2,6,28.1,12.5,7,-2.9
1966,3,0,32.2,14.9,2,-3.1
1966,4,0,37.7,21.7,1,-2.9
1966,5,19,41.7,26.2,19,-2.1
1966,6,50,39.5,28.2,48,-1.1
1966,7,124,37.4,27.5,118,-2.2
1966,8,307,33,25.6,135,-1.9
1966,9,38,33.6,24.3,90,-3
1966,10,15,34.8,19.2,24,-3.9
1966,11,21,28.1,13,25,-3.2
1966,12,0,23.9,5.9,3,-3.3
1967,1,1,21.6,5.1,3,-3.5
1967,2,1,28.7,11,2,-3.5
1967,3,41,29.9,14.9,40,-1.9
1967,4,0,36.5,20.5,1,-1.8
1967,5,1,41.2,25.9,2,-2
1967,6,19,41.4,29.2,19,-2.2
1967,7,210,35.2,26.9,146,-1.9
1967,8,462,32.1,25.6,111,3.6
1967,9,146,32.4,24,124,3.7
1967,10,11,33.9,18.2,65,3.7
1967,11,3,28.4,12.2,13,3.2
1967,12,24,23.6,8,28,3.9
1968,1,28,20.5,6.8,29,4.1
1968,2,3,23.9,8.4,5,3.6
1968,3,9,31.9,14.8,10,3.1
1968,4,0,37.2,20.2,1,2.8
1968,5,1,40.7,25.5,2,2.1
1968,6,13,40.8,28.8,13,1.4
1968,7,247,35,26.3,135,2
1968,8,202,33.6,25.9,142,1.4
1968,9,32,35.8,24.5,85,-1.8
1968,10,29,33.8,18.5,38,-2.3
1968,11,0,30.3,11,5,-2.5
1968,12,0,23.9,8,4,-2.6
1969,1,8,21.9,7.4,10,-2.7
1969,2,7,25.5,11.3,8,-2.4
1969,3,5,36.1,15.7,6,-2.5
1969,4,0,36.8,21.8,1,-2.4
1969,5,11,39.9,25.5,11,-1.9
1969,6,15,41.7,29.9,15,-2.2
1969,7,258,35.6,26.5,146,-1.3
1969,8,200,33.7,26,126,-1.3
1969,9,131,33.2,25,124,-1
1969,10,0,35.1,19.6,55,-0.8
1969,11,2,31.2,12.3,11,-1.1
1969,12,0,25,7.3,5,-1.2
1970,1,32,22.2,7.8,34,0.7
1970,2,24,24.3,9.7,25,1.5
1970,3,17,30.5,15.4,18,1.6
1970,4,0,39.1,22.3,1,1.4
1970,5,15,41.8,27.3,15,1.6
1970,6,43,38.6,27.6,41,2
1970,7,106,36.6,27,101,-1.4
1970,8,311,33.3,26.3,130,-1.1
1970,9,151,33.1,25.2,128,0.5
1970,10,7,34.6,19.3,61,0.8
1970,11,0,29.7,10.3,10,-0.4
1970,12,0,24.7,7.5,5,-0.7
1971,1,17,21,6.5,19,0.2
1971,2,6,26.4,9.5,8,0
1971,3,1,32.3,14.8,3,-0.7
1971,4,2,38.4,21.7,3,-0.6
1971,5,11,39.1,25,12,0.2
1971,6,76,37.1,27.6,73,2.1
1971,7,257,33.4,26.2,128,2.8
1971,8,232,32.1,25.1,120,2.9
1971,9,148,33.3,24,124,3.1
1971,10,45,33.1,19.1,90,3.8
1971,11,2,29.2,11.3,16,3.8
1971,12,0,24.8,7.4,6,3.2
1972,1,4,22.7,7.2,8,2.6
1972,2,12,23.1,8,14,2.6
1972,3,1,32.4,15.6,2,1.9
