Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 25.1458 North,82.5625 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,28,25.5,10.7,50,0.1
1958,2,3,27.7,13,37,-0.2
1958,3,41,34.9,17.1,58,0.8
1958,4,1,40.9,24.2,12,0.6
1958,5,0,42.8,28.2,8,-0.5
1958,6,28,41.8,29.8,32,-1.6
1958,7,279,34.1,27.3,136,-1.6
1958,8,380,32.4,26.6,115,-1.3
1958,9,147,32.4,25.4,114,-1.7
1958,10,42,32.6,20.9,89,-1.2
1958,11,0,30,14.2,49,-1.1
1958,12,1,25.7,11,37,-1
1959,1,69,23.8,9.7,70,1.8
1959,2,3,26.8,11.7,37,1.7
1959,3,4,34.7,17.1,31,1.4
1959,4,1,39.6,23.3,15,1.3
1959,5,18,41.9,27.2,26,1.7
1959,6,20,39.5,28.8,25,-1
1959,7,215,33.6,27.4,150,-1.8
1959,8,399,32.4,26.8,127,-1.9
1959,9,106,32.3,25.4,112,-2.7
1959,10,124,31.8,22.2,115,2.4
1959,11,0,29.6,14.1,58,2.6
1959,12,0,25.7,10.3,41,2.8
1960,1,11,23.5,8.6,42,2.4
1960,2,0,30.2,13.5,37,2.2
1960,3,24,32.6,16.4,49,2.5
1960,4,1,39.6,22,14,2.2
1960,5,2,42.1,27,11,1.7
1960,6,39,40.1,29.2,43,0.9
1960,7,412,33.2,27,133,1.9
1960,8,490,32.2,26.9,120,3
1960,9,118,32.5,25.7,109,1.9
1960,10,37,32.2,20.4,93,1.9
1960,11,0,29.1,12.4,47,1.5
1960,12,0,25.5,8.9,31,1.2
1961,1,37,23.9,10.1,51,1.6
1961,2,12,25.4,11.2,42,1.7
1961,3,2,33.9,18.1,24,1.2
1961,4,0,39.9,22.7,13,0.9
1961,5,2,41.9,27.4,10,-0.3
1961,6,67,38.3,27.7,70,0.1
1961,7,253,33.7,26.9,141,-1
1961,8,465,32.4,26.7,118,0.5
1961,9,173,32,25.5,115,-0.6
1961,10,63,31.9,20,96,1.1
1961,11,2,27.8,13,51,1.2
1961,12,4,22.8,7.5,36,1.3
1962,1,26,23,7.4,49,1.5
1962,2,8,27,12.1,37,1.6
1962,3,9,33.8,15.6,37,1.5
1962,4,4,39.1,22.6,19,1.7
1962,5,3,41.3,26.9,12,1.3
1962,6,40,40.2,29.4,44,0.7
1962,7,303,34.9,27.6,145,0.6
1962,8,381,32.1,26.3,112,0.8
1962,9,277,31.8,24.7,114,1.8
1962,10,5,31.9,19,75,1
1962,11,0,30.1,13,46,0.6
1962,12,3,25.3,9.9,34,-0.1
1963,1,18,23.7,7.1,38,-1
1963,2,5,29.7,12.2,30,-1.1
1963,3,15,32.3,16.1,31,-1
1963,4,3,37.7,22,13,-0.9
1963,5,13,39.9,26,19,-0.7
1963,6,63,38,27.4,65,-0.7
1963,7,452,33.5,26.8,128,1.5
1963,8,464,32.2,26.6,111,2.6
1963,9,188,32.5,24.6,124,2.2
1963,10,34,32.7,21.1,89,2.1
1963,11,9,29.9,16,56,2.1
1963,12,1,25.8,9.9,35,1.8
1964,1,3,23.6,8.4,34,0.9
1964,2,4,27.4,12.4,32,-0.3
1964,3,4,35.2,18.1,20,-1.3
1964,4,2,39.6,24.3,12,-1.4
1964,5,7,40.5,25.7,13,-1.3
1964,6,56,39.6,27.9,58,-1.5
1964,7,324,32.4,26.2,130,-1.1
1964,8,330,32.6,26.9,120,-0.9
1964,9,205,32.1,25.3,118,-0.7
1964,10,27,33.6,21.1,87,-0.7
1964,11,7,29.2,13.4,46,-0.6
1964,12,0,25.7,9.7,38,-0.6
1965,1,2,25.2,9.3,32,-1.2
1965,2,1,27.9,12.1,30,-1.5
1965,3,27,32.6,15.7,42,-0.9
1965,4,6,38,21.6,15,-0.8
1965,5,2,41.9,26.8,8,-1
1965,6,17,41.1,29.5,21,-2.1
1965,7,296,34,27.4,151,-2.1
1965,8,254,33.1,26.6,133,-2.6
1965,9,150,32.7,24.4,125,-2.9
