Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 28.8542 North,78.7708 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,33,22.1,9.8,44,0.6
1958,2,6,24.5,10.1,44,-0.3
1958,3,12,31.5,16.4,59,-0.6
1958,4,1,38.8,22.6,21,-0.7
1958,5,3,40.7,25.6,14,-1.1
1958,6,32,40.4,27.7,38,-2
1958,7,460,32.8,26.9,135,-0.6
1958,8,391,32.9,26.1,101,2.4
1958,9,279,31.6,25.3,124,3.1
1958,10,140,30.9,19.2,104,3.8
1958,11,1,27.8,12.9,48,3.8
1958,12,11,22.8,9.6,37,3.8
1959,1,47,20.9,8.3,50,4.1
1959,2,13,23.7,9.6,46,3.7
1959,3,10,32.1,15.7,61,3.6
1959,4,2,37,21.3,24,3.2
1959,5,18,39.6,25.6,29,3
1959,6,48,39.5,28.2,54,2.4
1959,7,349,32.7,26.5,151,2.3
1959,8,239,32.7,26.7,123,1.8
1959,9,167,32.1,25.8,122,1.4
1959,10,87,31.7,20.3,101,1.5
1959,11,6,27.7,12,52,1.8
1959,12,0,23.6,8.8,32,1.5
1960,1,26,20.3,7.5,39,1.4
1960,2,0,28.5,12.4,36,0.7
1960,3,31,29.4,14.9,57,1
1960,4,2,35.9,20,20,0.7
1960,5,6,41.1,25.8,16,-0.3
1960,6,39,40.4,28,44,-1.3
1960,7,357,33.7,26.3,131,-0.8
1960,8,355,32.5,26.7,114,1.2
1960,9,120,33.5,25.1,119,-0.8
1960,10,254,31.5,18.7,116,2.8
1960,11,0,28.1,10.2,56,2.9
1960,12,5,23.3,8.8,35,2.7
1961,1,53,21.1,8.4,50,3.2
1961,2,44,22.2,8.8,59,3.9
1961,3,1,31,16.1,55,3.9
1961,4,2,36.8,20.6,29,3.6
1961,5,7,40,25.4,21,3.1
1961,6,77,39.2,27.2,81,3.1
1961,7,293,33.7,26.8,142,2.6
1961,8,479,32.4,26.2,113,3.6
1961,9,126,32.4,25.5,120,2.6
1961,10,222,31,19.3,103,4.5
1961,11,1,25.1,12,42,4.4
1961,12,10,20.2,6.1,30,4.3
1962,1,61,20.2,6.9,51,5
1962,2,17,24.7,10.9,44,5
1962,3,18,30.1,15.4,61,5.6
1962,4,2,37.5,21.3,47,6.3
1962,5,6,40.1,25.3,25,5.7
1962,6,63,40.3,27.6,70,5
1962,7,294,34.6,27.4,142,4.3
1962,8,269,33.5,26.2,114,3.6
1962,9,294,31.7,24.6,123,4.4
1962,10,1,31.7,18.6,63,3.2
1962,11,2,27.6,12.6,44,2.7
1962,12,8,21.8,8.4,26,2.3
1963,1,14,21.6,6.5,31,1.6
1963,2,11,27,11.2,35,1
1963,3,27,30.1,14.9,48,0.7
1963,4,4,35.8,20.5,16,-1.6
1963,5,12,39,24.2,19,-1.5
1963,6,75,38.9,27.2,77,-1.3
1963,7,220,35.5,27.4,134,-1.9
1963,8,377,32.2,26.1,122,-1.7
1963,9,339,32.1,24.2,121,1.7
1963,10,27,32.9,19.9,81,1
1963,11,8,27.9,14.2,48,1
1963,12,14,23.3,7.6,33,1
1964,1,9,19.6,7.2,30,-0.6
1964,2,4,24.3,10.4,29,-1.2
1964,3,7,32.5,16.5,30,-1.9
1964,4,1,37.6,21.7,14,-2
1964,5,15,38.7,23.1,22,-1.8
1964,6,31,39.5,27.7,35,-2.6
1964,7,551,32.4,25.6,135,2
1964,8,322,33.4,26.4,131,2.3
1964,9,288,31.9,24.6,119,3.2
1964,10,1,32.5,19.2,71,2
1964,11,1,28,10.8,40,1.5
1964,12,9,22.5,8.5,32,1.1
1965,1,15,23.1,9.4,32,-1.6
1965,2,26,23.9,10.1,43,-1.5
1965,3,14,29.8,14.1,33,-2
1965,4,6,34.5,19.4,17,-1.9
1965,5,4,38.9,24.5,11,-2.2
1965,6,20,40.7,28.6,24,-3.4
1965,7,319,34.1,26.3,149,-3.1
1965,8,235,33.3,25.5,125,-3.3
1965,9,151,32.9,24.3,131,-3.5
1965,10,52,32.3,19.7,89,-3.3
1965,11,1,28.7,13,47,-2.9
1965,12,0,22.8,7.1,28,-2.9
1966,1,4,23.2,7.4,25,-3.3
1966,2,20,27.1,12.4,42,-3.1
1966,3,2,31.1,15.2,28,-3.6
1966,4,0,36.9,21.5,14,-3.6
1966,5,20,40.9,24.6,28,-3.1
1966,6,97,38.7,26.4,98,-2.1
1966,7,264,35.9,26.4,154,-2.5
1966,8,358,33,26,127,-2.2
1966,9,95,32.8,24,120,-3
1966,10,59,32.7,18.9,90,-2.8
1966,11,7,27.4,12.3,43,-2.5
1966,12,3,22.9,6.7,30,-2.6
1967,1,10,21,6.6,26,-2.8
1967,2,7,27.6,11.3,31,-3.1
1967,3,37,29.1,14,56,-2.5
1967,4,1,36,19.8,13,-2.6
1967,5,2,40.1,24.3,9,-2.8
1967,6,54,40.5,27.5,56,-3
1967,7,328,34.2,26.1,132,-2.6
1967,8,482,31.9,25.5,119,-0.7
1967,9,163,32.6,23.8,121,-0.9
1967,10,33,31.9,18.1,78,-1.2
1967,11,3,26.8,11.6,40,-1
1967,12,28,22.4,8.1,38,1.4
1968,1,53,19.5,7.1,51,2.1
1968,2,13,22.7,8.3,39,2
1968,3,12,30.6,14.3,52,2.3
1968,4,2,36.5,20,25,2.3
1968,5,2,39.9,24.5,14,1.7
1968,6,68,39.5,26.8,72,1.5
1968,7,353,33.7,25.5,137,1.7
1968,8,266,33.1,25.7,127,1.5
1968,9,104,35.1,24.2,119,-0.9
1968,10,47,31.8,18.4,81,-1
1968,11,1,28.8,10.9,41,-1
1968,12,5,22.8,8.4,29,-1.1
1969,1,20,20.9,8.1,34,-1.3
1969,2,12,24.8,11.5,34,-1.4
1969,3,12,35.2,15.6,37,-1.8
1969,4,3,36.3,21.2,16,-1.7
1969,5,12,38.8,23.9,20,-1.5
1969,6,47,40.1,27.8,50,-2
1969,7,354,34.3,25.6,144,-1.5
1969,8,283,33.5,25.9,113,-1.2
1969,9,335,32.2,24.4,117,2
1969,10,6,33.1,19.7,71,1
1969,11,0,29.8,12.5,43,0.7
1969,12,0,24.1,7.7,22,-1.2
1970,1,56,21.3,8.1,51,0.8
1970,2,33,23.8,9.4,45,1.2
1970,3,22,29.6,15,51,1.4
1970,4,0,38.7,21.5,20,1.2
1970,5,24,40.7,25.6,34,1.6
1970,6,98,37.7,25.7,101,2.3
1970,7,187,35.5,26.2,132,1.1
1970,8,322,33.3,26.1,126,-1.5
1970,9,176,33.2,25.1,120,-1.5
