Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 29.4792 North,77.7292 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,39,21.5,9.3,43,0.5
1958,2,4,23.8,9.2,33,0.1
1958,3,18,30.6,15.6,28,-0.3
1958,4,1,38,21.7,8,-0.1
1958,5,2,40.3,24.9,6,-0.7
1958,6,20,40.5,27.5,22,-1.5
1958,7,475,33.1,27,132,1.5
1958,8,315,32.8,26.1,103,1.9
1958,9,404,31.7,24.7,119,3.7
1958,10,108,30.6,18.2,102,4.4
1958,11,2,27,11.4,45,4.4
1958,12,21,22.5,8.6,36,4.5
1959,1,66,20,7.4,53,5
1959,2,10,22.7,8.6,40,5
1959,3,13,31,14.9,32,4.5
1959,4,1,36.1,20.4,10,4.2
1959,5,12,39.2,25.1,17,3.9
1959,6,30,40,28,32,3.1
1959,7,339,33,26.5,146,2.9
1959,8,260,32.5,26.4,118,2.5
1959,9,216,32.2,25.3,116,2.4
1959,10,63,31.5,19.3,90,2.5
1959,11,8,26.8,10.5,44,2.7
1959,12,0,23.1,7.8,23,2
1960,1,44,19.5,6.8,45,2.1
1960,2,0,27.4,11.5,13,1.2
1960,3,39,28.5,13.9,44,1.5
1960,4,1,34.8,18.9,6,1.3
1960,5,2,40.9,25.3,5,0.8
1960,6,31,40.7,27.6,32,-1
1960,7,353,33.8,26.3,129,0.4
1960,8,353,32.4,26.6,113,1.2
1960,9,106,33.5,24.8,116,-0.8
1960,10,165,31.1,17.6,114,2.2
1960,11,0,27.4,8.9,51,2.5
1960,12,12,22.8,7.8,31,2.3
1961,1,63,20.4,7.8,47,3
1961,2,39,21.5,8,52,3.9
1961,3,3,30.1,15.3,27,3.4
1961,4,2,35.7,19.4,12,3.2
1961,5,5,39.8,24.8,11,2.9
1961,6,54,39.5,27.1,56,2.9
1961,7,293,33.8,26.7,135,2.4
1961,8,457,32.2,26.1,113,4.1
1961,9,157,32.5,25.1,119,3.3
1961,10,166,30.7,18.1,103,5
1961,11,2,24.3,10.6,42,5
1961,12,19,19.9,5.4,31,5
1962,1,80,19.4,6.3,48,5.9
1962,2,15,24.2,10.2,42,6.2
1962,3,22,29.2,14.6,60,6.8
1962,4,1,36.6,20.4,14,6.4
1962,5,3,39.7,24.7,10,5.7
1962,6,37,40.2,27.1,39,4.7
1962,7,321,34.6,27.2,139,4.3
1962,8,205,33.4,26.2,112,3.3
1962,9,422,31.8,24.2,121,5
1962,10,1,31.1,17.6,66,3.8
1962,11,7,26.7,11,36,3.2
1962,12,19,21.3,7.3,26,3
1963,1,11,20.6,6,18,2
1963,2,11,26.1,10.5,15,1.3
1963,3,32,29.3,14.2,34,1.2
1963,4,2,35,19.6,5,0.9
1963,5,7,38.6,23.6,9,0.7
1963,6,52,39.5,27.3,51,0.6
1963,7,204,35.7,27.5,148,-2
1963,8,345,32.1,26,119,-1.7
1963,9,347,32.3,23.8,121,1.5
1963,10,11,32.4,18.9,76,0.8
1963,11,10,27.1,12.8,38,0.6
1963,12,25,22.8,6.7,32,0.7
1964,1,12,18.8,6.2,19,-1
1964,2,4,23.5,9.4,9,-1.6
1964,3,7,31.5,15.7,11,-2.2
1964,4,1,36.7,20.6,4,-2.2
1964,5,11,38.6,22.5,13,-1.9
1964,6,20,39.7,27.4,20,-2.6
1964,7,587,32.6,25.6,142,2.4
1964,8,363,33.1,26.1,127,3
1964,9,300,31.9,24.3,120,3.7
1964,10,0,31.5,18,70,2.5
1964,11,1,27,9.1,28,1.9
1964,12,15,22.1,7.5,25,1.4
1965,1,19,22.5,8.8,24,0.6
1965,2,22,23.2,9.3,25,-1.8
1965,3,16,29.2,13.5,18,-2.1
1965,4,5,33.5,18.2,7,-1.9
1965,5,7,38.5,23.7,8,-1.9
1965,6,9,40.7,28.1,10,-3
1965,7,289,34.1,26.1,151,-3.1
1965,8,187,33,25.1,133,-3.7
1965,9,153,33,23.8,133,-3.9
1965,10,37,31.9,18.6,83,-3.7
1965,11,2,28.1,11.7,38,-3.3
1965,12,0,22.3,6,18,-3.5
1966,1,4,22.5,6.8,13,-4
1966,2,20,26.4,11.4,25,-3.9
1966,3,7,30.2,14.3,10,-4.1
1966,4,0,35.7,20.2,3,-4
1966,5,15,40.6,23.9,16,-3.4
1966,6,86,39.1,26.2,84,-2
1966,7,216,35.7,25.9,154,-2.6
1966,8,352,32.8,25.8,128,-2.2
1966,9,136,32.6,23.2,133,-2.7
1966,10,69,32,17.5,94,-2.1
1966,11,6,26.5,10.6,40,-1.5
1966,12,5,22.3,5.8,26,-1.5
1967,1,7,19.9,5.9,20,-2
1967,2,7,26.6,10.4,16,-2.2
1967,3,63,28.4,13.3,65,-0.9
1967,4,1,35.2,18.8,4,-0.9
1967,5,1,39.6,23.6,4,-1.2
1967,6,32,40.7,27.3,33,-1.5
1967,7,341,34.5,26,134,-1.1
1967,8,449,31.9,25.5,117,2.1
1967,9,189,32.7,23.5,120,1.7
1967,10,53,31.3,16.8,85,1.7
1967,11,6,26.2,10.3,37,1.9
1967,12,60,22.1,7.2,47,3.3
1968,1,48,18.8,6.5,45,3.7
1968,2,13,21.8,7.4,36,4
1968,3,16,29.8,13.7,36,3.9
1968,4,1,35.6,19.2,11,3.8
1968,5,1,39.5,23.8,7,3.2
1968,6,43,40.2,26.9,45,2.8
1968,7,374,34.1,25.6,140,3
1968,8,249,33,25.5,128,2.4
1968,9,67,35.2,24,107,1.1
1968,10,53,31.3,17.1,77,0.9
1968,11,1,28.1,9.6,27,-1.4
1968,12,10,22.5,7.4,21,-1.5
1969,1,18,20.3,7.5,23,-1.9
1969,2,11,23.9,10.4,15,-2.2
1969,3,20,34.3,14.7,22,-2.3
1969,4,2,35.4,20.2,4,-2.2
1969,5,9,38.6,23.3,10,-1.9
1969,6,31,40.4,27.5,31,-2.3
1969,7,313,34.7,25.8,149,-2.2
1969,8,240,33.5,25.9,115,-2.2
1969,9,307,32.6,24,119,-1
1969,10,3,32.6,18.6,69,-1.6
1969,11,0,29.1,11.1,29,-1.8
1969,12,0,23.8,7,11,-2.1
1970,1,68,20.7,7.5,49,-1.1
1970,2,29,23.3,8.7,37,1.4
1970,3,40,29,14.3,47,1.7
1970,4,0,37.7,20.6,5,1.3
1970,5,15,40.8,25.4,18,1.5
1970,6,80,38.2,25.6,78,2.3
1970,7,197,35.7,26.1,140,1.2
1970,8,292,33.1,25.7,124,0.6
