Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 26.7708 North,83.0208 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,18,24,10.9,37,-0.1
1958,2,3,25.8,11.9,22,-0.4
1958,3,25,32.9,16.1,34,0.2
1958,4,5,38.7,22.9,11,-0.1
1958,5,4,39.8,26.5,8,-0.9
1958,6,57,38.6,27.6,57,-2
1958,7,319,32.8,26.2,141,-2.5
1958,8,451,31.6,25.9,106,-0.7
1958,9,107,31.8,24.9,108,-1.6
1958,10,79,31.9,21,96,-1.3
1958,11,0,29.1,13,44,-0.9
1958,12,2,24.7,10.2,31,-0.7
1959,1,60,22.4,9.7,60,2.1
1959,2,4,25,10.7,32,2.1
1959,3,13,33,16,26,1.8
1959,4,3,37.5,22,11,1.6
1959,5,21,38.8,25.8,25,1.7
1959,6,81,36.8,26.7,81,0.8
1959,7,266,32.4,26.1,152,-1.7
1959,8,358,32,26.1,130,-2.1
1959,9,163,31.5,24.7,116,-2.2
1959,10,173,30.4,22.5,111,1.7
1959,11,0,28.1,13.6,52,2
1959,12,0,24.4,9.7,33,2
1960,1,4,22.2,8.2,31,1.4
1960,2,2,28.5,12.5,26,1.1
1960,3,32,31.2,15.1,42,1.5
1960,4,4,37.1,20.7,11,1.2
1960,5,12,39.5,25.4,16,1
1960,6,90,37.3,27,89,-0.7
1960,7,448,32,26.1,131,0.6
1960,8,316,31.8,26.4,128,-0.2
1960,9,122,31.4,25.2,103,-1
1960,10,89,30.8,20.6,105,-0.6
1960,11,1,27.6,11.8,46,0.3
1960,12,0,24.2,8.7,29,0.6
1961,1,31,22.7,9.8,42,1
1961,2,19,24.3,9.9,42,1.5
1961,3,11,32.2,16.9,25,1.3
1961,4,2,37.6,21.5,10,0.9
1961,5,7,39,26,12,0.6
1961,6,171,36.2,25.7,153,1.3
1961,7,387,32.8,26.1,152,1.2
1961,8,498,31.9,26.2,133,3
1961,9,168,31.4,25.2,121,2.4
1961,10,157,30.9,20.2,111,3.6
1961,11,1,25.6,12.5,50,3.7
1961,12,4,20.8,7,32,3.7
1962,1,46,21.9,7.4,54,4.4
1962,2,20,25,11.2,44,4.9
1962,3,18,31.9,14.8,40,4.9
1962,4,11,37,21.4,22,4.8
1962,5,10,38.2,25.6,16,4.3
1962,6,133,37,27.6,128,4.2
1962,7,457,33.5,26.5,146,4.4
1962,8,432,31.3,25.7,117,5.2
1962,9,227,30.8,24.4,113,5.3
1962,10,10,30.9,19.2,74,3.8
1962,11,0,28.1,12.5,38,3
1962,12,1,23.4,9.4,24,2.3
1963,1,10,22.7,7.1,25,1.7
1963,2,4,27.7,11.1,14,0.9
1963,3,24,30.6,15.4,29,1
1963,4,9,35.3,21.1,13,1
1963,5,13,37.1,24.6,16,0.8
1963,6,126,35.7,25.6,122,0.8
1963,7,485,32.5,25.9,126,1.6
1963,8,395,31.7,26,123,2.3
1963,9,166,31.5,23.9,119,1.7
1963,10,38,31.2,21.3,85,1
1963,11,11,27.5,15.2,48,1.1
1963,12,2,24.4,9.1,28,0.9
1964,1,1,22.3,8.2,24,-1.2
1964,2,3,25.6,11.5,15,-1.6
1964,3,6,33.7,17,13,-1.9
1964,4,7,37.4,23,12,-1.8
1964,5,13,37.3,24.1,16,-1.7
1964,6,75,37.5,26.1,74,-2.6
1964,7,425,31.2,25.4,132,-1.9
1964,8,291,32.1,26.2,133,-2.3
1964,9,176,31.1,24.7,112,-2.1
1964,10,36,33,20.8,85,-2.5
1964,11,0,27.6,12.7,39,-2.4
1964,12,2,24,8.9,28,-2.4
1965,1,5,24.4,8.8,25,-2.8
1965,2,4,25.6,10.7,16,-3
1965,3,28,30.5,14.8,34,-2.4
1965,4,10,35.7,20.3,14,-2.2
1965,5,5,38.8,25,8,-2.4
1965,6,86,38.4,27.2,84,-3
1965,7,520,32.4,25.8,140,-1.5
1965,8,312,32.4,25.5,112,-1.4
1965,9,97,32,23.5,109,-2.4
1965,10,67,31.3,20.3,92,-2.2
1965,11,7,27.9,13.8,48,-1.8
1965,12,0,23.9,7.3,28,-1.7
1966,1,20,23.5,9.3,34,-1.6
1966,2,10,27.6,13.1,25,-1.6
1966,3,0,32.8,16.1,9,-2.2
1966,4,1,37.7,21.8,7,-2.3
1966,5,7,40.1,25.5,11,-2.4
1966,6,166,36.6,26.4,160,-1.7
1966,7,465,33.6,26.4,153,-1
1966,8,240,31.5,26,115,-1.9
1966,9,82,32,24.3,109,-3
1966,10,16,32.1,20,73,-3.6
1966,11,5,29.5,13.2,37,-4
1966,12,3,23.3,8.6,22,-4.2
1967,1,11,22.6,8.3,20,-4.4
1967,2,3,28,11.8,9,-4.7
1967,3,33,30.4,14.8,35,-3.8
1967,4,6,35.9,20.4,9,-3.7
1967,5,6,39,25.1,8,-3.7
1967,6,81,37.4,26.8,79,-4.3
1967,7,315,33.1,25.5,140,-4.6
1967,8,441,31.4,25.5,132,-3
1967,9,211,31.6,23.8,116,-2.4
1967,10,12,31.3,19.6,76,-3.1
1967,11,0,26.3,12.9,38,-3.2
1967,12,3,24,9.6,24,-3.1
1968,1,38,20.9,8.8,44,-2.3
1968,2,5,24.4,10.1,19,-2.4
1968,3,19,31.8,15.8,27,-2.1
1968,4,4,36.2,20.9,9,-2
1968,5,5,38.6,25,9,-2.3
1968,6,132,34.7,25.9,128,-1.9
1968,7,300,31.8,25.7,132,-2.5
1968,8,290,32.5,25.6,129,-3
1968,9,160,33,24.7,117,-3
1968,10,103,30.3,20.4,105,-2.1
1968,11,1,28.1,13.4,47,-1.5
1968,12,1,23.9,9.7,33,-1
1969,1,0,22.6,8.7,29,-1.4
1969,2,1,27.2,11.5,25,-1.3
1969,3,28,34.6,17.2,38,-0.9
1969,4,9,37,21.7,16,-0.7
1969,5,13,37.8,24.5,17,-0.6
1969,6,91,37.4,26.7,90,-1.1
1969,7,482,32.2,25.8,141,0.8
1969,8,236,32,25,113,-1
1969,9,109,31.3,24.4,111,-1.9
1969,10,11,32.1,21.1,74,-2.6
1969,11,2,29.8,14.4,38,-2.8
1969,12,2,24.8,9.1,21,-2.8
1970,1,33,22.7,9.4,40,-2.2
1970,2,25,25,10.7,36,-1.6
1970,3,14,31.7,15.3,21,-1.5
1970,4,2,38.8,21.8,7,-1.7
1970,5,32,39.5,25.8,34,-0.8
1970,6,142,35.4,25,137,1.2
1970,7,424,32.7,26.1,125,1.5
1970,8,284,32.3,26.2,133,0.7
1970,9,372,31.6,24.5,109,3.2
1970,10,55,32.6,21,87,2.6
1970,11,0,27.9,12.8,43,2.4
1970,12,0,25.2,8.3,26,2.1
1971,1,5,22.4,8.4,26,1.4
1971,2,9,25.3,9.7,25,1.2
1971,3,12,32,15.1,20,0.9
1971,4,26,35.9,20.7,31,1.7
1971,5,27,36.1,23.7,30,2.2
1971,6,207,33.3,24.9,130,3.6
1971,7,278,31.2,24.7,134,2.9
1971,8,382,31.2,24.5,111,3.4
1971,9,148,32.8,23.5,115,2.5
1971,10,211,30.9,20.8,106,4.7
1971,11,2,27.3,12.7,50,4.7
1971,12,0,24.8,8.4,33,4.5
1972,1,9,23.4,8.5,32,3.9
1972,2,23,24.2,9.2,44,4.3
1972,3,9,32.7,15.7,25,3.8
1972,4,5,36.9,20.1,14,3.4
1972,5,7,40.7,25.3,13,2.7
1972,6,147,38.3,26.6,144,2.4
1972,7,255,34.4,25.7,142,1.1
1972,8,230,32.5,25,138,-3.5
1972,9,190,31.3,23.4,114,-3
1972,10,110,31.1,19.5,107,-2
1972,11,5,27.1,13,50,-1.3
1972,12,0,24,9.2,34,-0.8
1973,1,44,22.6,9.9,53,2.3
1973,2,16,26.2,12.5,41,2.8
1973,3,13,32.1,14.6,33,2.8
1973,4,2,39.4,22.1,12,2.3
1973,5,14,39.2,25.7,20,2.2
1973,6,152,35.5,26.8,145,2.5
1973,7,341,33.9,25.6,150,1.8
1973,8,401,31.8,25.6,128,2.4
1973,9,222,31.5,25.1,107,2.7
1973,10,248,29.8,21.5,108,5.5
1973,11,3,26.6,13.4,50,5.4
1973,12,0,22.9,8.3,33,5.2
1974,1,13,21.8,8.4,36,4.6
1974,2,2,25.4,10.2,30,4.3
1974,3,11,32.7,17.2,25,3.7
1974,4,5,38.7,22.3,13,3.3
1974,5,9,38.6,25.5,14,2.7
1974,6,89,36.7,26.3,89,2
1974,7,420,31.8,25.7,147,2
1974,8,376,31.8,25.8,127,2.3
1974,9,158,32.4,24.3,107,1.8
1974,10,36,33.3,21.9,84,1.1
1974,11,0,28.3,11.9,41,0.8
1974,12,2,22.5,8.3,24,-0.2
1975,1,26,21.4,8.3,37,0.2
1975,2,10,24.8,11,26,-0.8
1975,3,18,31.9,15.3,26,-0.7
1975,4,4,38.6,21.3,10,-0.9
1975,5,10,40.1,25.5,14,-1
1975,6,231,36.4,25.8,181,1.4
1975,7,315,31.7,24.7,128,1.1
1975,8,321,32.2,25,118,1
1975,9,207,30.3,25,118,1.1
1975,10,77,32.8,21.9,102,1.1
1975,11,0,28.2,11.7,49,1.1
1975,12,0,23.8,8.5,30,0.9
1976,1,21,23.2,8.9,37,0.8
1976,2,4,25.8,12.2,21,-0.3
1976,3,1,32.2,16,10,-1
1976,4,6,36.7,20.6,12,-1
1976,5,15,38,25,18,-0.9
1976,6,102,35.6,26.2,100,-1.3
1976,7,313,33,25.5,129,-1.9
1976,8,283,31.4,25.1,128,-2.3
1976,9,182,31.3,24.1,113,-2.1
1976,10,21,32.3,20,76,-2.6
1976,11,0,30.6,14.3,43,-2.7
1976,12,0,24.3,8.4,24,-2.8
1977,1,14,22.2,8.8,28,-2.9
1977,2,8,27,10.7,18,-3.1
1977,3,3,34.2,16.6,10,-3.5
1977,4,13,36.3,21.5,17,-2.9
1977,5,15,36.4,23.5,18,-2.6
1977,6,80,35.3,25.7,78,-3
1977,7,332,31.7,25.4,137,-3.3
1977,8,343,32.2,25.9,117,-2.7
1977,9,85,31.5,24.2,104,-3.7
1977,10,83,30.9,21,98,-3.1
1977,11,6,29.6,15,44,-2.6
1977,12,7,23,10.2,31,-2.1
