Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 25.3125 North,82.4375 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,26,24.9,10.1,41,0
1958,2,4,27.6,12.8,12,-0.8
1958,3,44,35.3,17.5,48,1.1
1958,4,1,40.8,24.1,5,0.9
1958,5,0,42.5,27.8,3,-0.4
1958,6,26,41.6,29.4,27,-1.5
1958,7,278,34,27.3,138,-1.7
1958,8,356,32.3,26.6,114,-1.2
1958,9,131,32.1,25.3,115,-1.7
1958,10,40,32.6,20.7,89,-1.3
1958,11,0,29.7,13.7,43,-1.2
1958,12,1,25,10.3,29,-1.1
1959,1,64,23.2,9.1,64,1.6
1959,2,3,26.6,11.5,17,1.3
1959,3,4,35.1,17.4,12,1
1959,4,1,39.6,23.1,6,0.9
1959,5,16,41.5,26.9,19,1.2
1959,6,18,39.3,28.5,19,-1
1959,7,218,33.6,27.4,152,-1.8
1959,8,383,32.3,26.8,129,-1.8
1959,9,95,32.1,25.4,109,-2.6
1959,10,129,31.7,22.1,118,2.4
1959,11,0,29.3,13.7,55,2.8
1959,12,0,25.1,9.6,35,2.9
1960,1,11,22.9,8,33,2.6
1960,2,0,30.1,13.4,14,2.1
1960,3,23,33.1,16.8,30,2.5
1960,4,1,39.5,21.8,6,2.1
1960,5,2,41.9,26.6,5,1.7
1960,6,38,39.9,28.9,39,0.9
1960,7,437,33.2,27,135,2
1960,8,466,32.1,26.9,121,3.1
1960,9,108,32.3,25.5,107,2
1960,10,38,32.2,20.2,94,1.9
1960,11,0,28.9,11.9,42,1.6
1960,12,0,24.8,8.2,23,1.3
1961,1,34,23.3,9.5,43,1.6
1961,2,13,25.2,11,21,1.5
1961,3,2,34.4,18.4,8,1
1961,4,0,39.8,22.5,4,0.8
1961,5,2,41.6,27.1,5,-0.3
1961,6,63,38.1,27.4,62,0.1
1961,7,271,33.7,27,144,-1
1961,8,451,32.3,26.7,120,0.9
1961,9,164,31.8,25.4,117,-0.2
1961,10,62,31.8,19.8,96,1.3
1961,11,2,27.4,12.6,48,1.5
1961,12,4,22.1,6.8,30,1.6
1962,1,27,22.5,6.7,42,1.8
1962,2,10,26.8,12,23,1.8
1962,3,10,34.2,16,17,1.6
1962,4,4,39.1,22.4,9,1.7
1962,5,2,41,26.6,6,1.3
1962,6,38,40.1,29.1,39,0.7
1962,7,327,34.9,27.6,147,0.6
1962,8,363,32,26.3,114,1.2
1962,9,267,31.5,24.6,114,2.2
1962,10,5,31.9,18.8,76,1.4
1962,11,0,29.7,12.5,39,0.8
1962,12,3,24.6,9.2,25,-1.1
1963,1,18,23.1,6.4,28,-1.2
1963,2,5,29.5,12.1,12,-1.3
1963,3,14,32.7,16.5,18,-1.1
1963,4,3,37.6,22,6,-1
1963,5,11,39.6,25.7,13,-0.7
1963,6,61,37.8,27.1,60,-0.7
1963,7,488,33.5,26.7,129,1.8
1963,8,432,32.1,26.7,112,2.8
1963,9,175,32.3,24.4,125,2.3
1963,10,28,32.6,21,87,2
1963,11,10,29.5,15.7,50,1.9
1963,12,1,25.1,9.1,27,1.6
1964,1,3,23,7.6,16,0.7
1964,2,4,27.2,12.2,12,-1.1
1964,3,4,35.7,18.5,9,-1.3
1964,4,2,39.6,24.1,6,-1.3
1964,5,6,40.2,25.4,8,-1.2
1964,6,51,39.3,27.6,51,-1.4
1964,7,341,32.5,26.2,131,-1
1964,8,303,32.5,26.9,123,-0.8
1964,9,195,31.9,25.1,118,-0.6
1964,10,25,33.6,20.8,87,-0.7
1964,11,5,28.9,12.9,40,-0.6
1964,12,0,25,8.9,29,-0.7
1965,1,2,24.8,8.6,16,-1.4
1965,2,1,27.7,11.9,9,-1.6
1965,3,29,32.9,16.1,33,-0.8
1965,4,6,37.9,21.4,9,-0.5
1965,5,2,41.5,26.4,4,-0.8
1965,6,17,40.9,29.1,19,-1.9
1965,7,299,34,27.4,153,-2
1965,8,238,33,26.6,132,-2.5
1965,9,136,32.6,24.2,125,-2.9
1965,10,29,32.8,20.4,87,-2.6
1965,11,6,29.7,14.1,48,-2.4
1965,12,2,24.5,7.9,27,-2.3
1966,1,16,23.5,9,28,-2.3
1966,2,6,29.2,14.1,14,-2.3
1966,3,0,34.7,17.4,5,-2.5
1966,4,0,40.1,22.9,4,-2.4
1966,5,1,42.3,26.8,4,-2.5
1966,6,155,38.8,28,150,1.8
1966,7,200,35.3,27.8,162,-1.1
1966,8,193,32.2,26.6,119,-2.3
1966,9,38,33.1,25.1,82,-3.6
1966,10,3,33.5,20.3,23,-5.5
1966,11,40,30.4,14.6,48,-5.3
1966,12,6,24.1,8.5,12,-5.5
1967,1,3,23,8,7,-5.8
1967,2,0,29.7,12.7,4,-5.8
1967,3,45,32.1,16.4,45,-4.1
1967,4,2,38.1,21.3,4,-3.8
1967,5,1,41.5,26.4,3,-3.8
1967,6,35,40.2,28.7,34,-4.2
1967,7,275,34.2,26.9,152,-4.2
1967,8,577,31.7,26.2,121,-2
1967,9,237,32,24.6,117,-1.1
1967,10,3,32.9,19.7,78,-1.7
1967,11,0,28.5,13.3,37,-2
1967,12,12,25,9.8,30,-1.6
1968,1,35,21.6,8.6,42,-1
1968,2,4,26,10.9,12,-1.2
1968,3,6,33.6,17.2,11,-1.2
1968,4,0,38.4,21.7,4,-1.2
1968,5,1,41.3,26.2,4,-1.4
1968,6,57,37.2,27.4,57,-1.4
1968,7,200,33.2,26.8,134,-2.2
1968,8,204,32.8,26.3,141,-3.2
1968,9,92,33.6,25.2,110,-3.9
1968,10,23,31.8,20.1,65,-4.3
1968,11,0,29.6,13.9,18,-4.8
1968,12,3,24.8,9.8,12,-5
1969,1,4,23.4,8.1,10,-5.3
1969,2,3,28.8,12.4,7,-5.2
1969,3,9,36.1,18.9,11,-4.9
1969,4,1,39.3,22.8,3,-4.6
1969,5,15,40.2,25.5,16,-3.7
1969,6,32,39.7,28.5,32,-4
1969,7,498,33.4,26.7,129,-1.8
1969,8,252,32,25.9,125,-1.9
1969,9,141,31.9,24.9,114,-2.2
1969,10,2,33.7,20.8,76,-2.6
1969,11,15,30.9,15,45,-2.3
1969,12,0,25.2,9.1,21,-2.2
1970,1,44,23.2,9.2,49,-1.3
1970,2,30,26.1,11.7,39,1.6
1970,3,8,33.1,17.2,14,1.4
1970,4,0,40.4,23.3,5,1.2
1970,5,21,41.8,27,23,1.8
1970,6,69,37.2,26.5,68,1.8
1970,7,334,33.9,26.8,140,1.7
1970,8,264,32.5,26.8,133,1.3
1970,9,531,31.6,25.1,113,5.6
1970,10,34,33.4,21,85,5.2
1970,11,0,29.1,13,42,4.5
1970,12,0,25.5,8.2,26,4
1971,1,24,22.5,8.1,36,3.9
1971,2,8,26.6,10.6,18,3.5
1971,3,6,33.8,16.2,12,3
1971,4,9,37.7,21.8,13,3.2
1971,5,25,38.6,24.7,27,3.8
1971,6,150,35.2,26,144,5.4
1971,7,272,32,25.5,137,4.5
1971,8,511,31.3,25.6,119,5.4
1971,9,175,32.8,24.3,121,4.7
1971,10,92,31.8,20.6,107,5.8
1971,11,0,28.4,13,52,5.7
1971,12,0,25.1,8.3,34,5.4
1972,1,24,23.4,7.8,39,5.3
1972,2,27,25.2,10.1,41,5.6
1972,3,2,34.2,17,10,4.8
1972,4,1,39.1,21.3,7,4.3
1972,5,1,42.9,26.5,4,3.5
1972,6,11,41.2,28.7,14,1.7
1972,7,171,35.2,27.2,163,-3.1
1972,8,294,32.5,26,137,-4
1972,9,154,32.5,23.6,130,-4.1
1972,10,87,32.4,19.2,104,-2.2
1972,11,20,28.8,13.2,56,-0.8
1972,12,0,24.8,9.2,39,2.8
1973,1,20,23.5,9.1,40,2.9
1973,2,5,28,13.4,23,2.8
1973,3,3,33.9,16.4,12,2.4
1973,4,0,41.5,23.6,6,2.1
1973,5,3,41.9,27.2,7,1.7
1973,6,42,38.1,28.3,43,1.2
1973,7,363,34.7,27,154,1.3
1973,8,481,32.2,26.4,120,2.7
1973,9,181,31.8,25.4,110,2.5
1973,10,95,31.1,21.3,106,3.9
1973,11,3,27.9,13.7,47,4
1973,12,0,23.3,8.6,34,4.1
1974,1,2,22.3,7.8,29,3.5
1974,2,1,26.5,10.8,17,3.1
1974,3,4,34.8,18.5,12,2.7
1974,4,0,40.2,23.8,6,2.4
1974,5,3,41.1,26.6,6,2
1974,6,35,39.1,28,36,1.2
1974,7,426,33.1,26.8,152,2
1974,8,284,32.2,26.4,119,1.8
1974,9,99,33.2,25.1,105,0.7
1974,10,14,33.8,21.6,78,-1.2
1974,11,1,29.3,12.4,37,-1.5
1974,12,1,23.3,7.8,20,-1.5
1975,1,19,21.9,7.9,30,-1.4
1975,2,5,26.3,11.9,12,-1.5
1975,3,25,34,16.8,29,-0.9
1975,4,1,40.8,22.5,5,-0.9
1975,5,2,42.7,27.1,4,-1.1
1975,6,96,38.7,27.3,94,0.5
1975,7,350,32.8,26,132,0.8
1975,8,218,32.4,26,122,-0.5
1975,9,184,31.1,25.4,130,-0.6
1975,10,42,33.3,21.8,92,0.3
1975,11,0,29.1,12.2,44,-0.1
1975,12,0,24.5,8.1,28,-0.1
1976,1,26,23.7,8.7,39,0.1
1976,2,2,27.1,13.1,10,-0.5
1976,3,0,33.9,17.7,6,-0.9
1976,4,2,38.7,21.6,6,-0.9
1976,5,5,40.6,26.2,7,-0.9
1976,6,27,38.5,27.7,28,-1.7
1976,7,250,34.2,26.8,137,-2.1
1976,8,208,31.9,26,124,-3
1976,9,305,31.9,24.6,118,-1.2
1976,10,6,33.6,20.1,75,-1.6
1976,11,1,31.6,14.9,43,-1.8
1976,12,0,25.3,8.5,21,-2.1
1977,1,24,22.8,8,34,-1.9
1977,2,9,27.9,11.9,15,-1.9
1977,3,0,36,18.4,5,-2.2
1977,4,3,38.5,22.8,7,-2
1977,5,8,39,24.9,11,-1.8
1977,6,59,37.9,27.2,58,-1.9
1977,7,417,32.9,26.4,147,-0.8
1977,8,283,32.5,26.6,122,-0.8
1977,9,127,32.1,24.4,123,-1.5
1977,10,73,32.3,20.6,106,1
1977,11,13,30.6,15.9,51,1.6
1977,12,5,24,9.9,35,1.8
1978,1,33,22.1,7.5,46,2.3
1978,2,35,25.6,11.5,47,3.4
1978,3,25,31.8,15.4,33,3.7
1978,4,2,38.6,22.1,8,3.5
1978,5,3,42.3,28.1,6,3
1978,6,123,38.2,27.7,120,3.8
1978,7,201,33.3,26.3,134,2.5
1978,8,306,32,26.4,131,1.6
1978,9,277,31.3,25,126,2.5
1978,10,24,32.1,20.9,84,2.1
1978,11,2,29.8,15.2,44,1.7
1978,12,5,24.4,9.2,30,1.5
1979,1,27,23.9,9.2,36,1.6
1979,2,7,25.2,11.6,15,1.4
1979,3,1,32.8,16.6,6,0.8
1979,4,3,39.8,23.2,6,0.8
1979,5,1,42,25.2,3,-0.4
1979,6,81,39.1,27.5,79,0.3
1979,7,296,34.3,27.1,148,-0.7
1979,8,187,33.3,27.1,150,-1.8
1979,9,57,33.9,25.4,113,-3.2
1979,10,12,33.5,21.8,68,-4
1979,11,48,31.5,17,58,-3.2
1979,12,5,23.9,11.8,18,-3.3
