Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 27.8958 North,79.8958 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,33,23.4,10.5,49,0.2
1958,2,4,26,10.8,44,-0.1
1958,3,9,32.8,16.7,43,-0.6
1958,4,1,39.6,23,17,-0.7
1958,5,3,41.2,26.1,12,-1.1
1958,6,43,40.6,27.9,47,-2.1
1958,7,412,32.8,27.1,142,-1.1
1958,8,475,32.8,26,104,2.2
1958,9,216,31.6,25.7,126,2.3
1958,10,131,31,20.2,108,2.7
1958,11,0,28.2,13.3,49,2.7
1958,12,8,23.7,10.3,39,2.8
1959,1,42,22.2,8.9,50,3.2
1959,2,9,25.1,10.1,44,3.1
1959,3,13,33.6,16,54,3
1959,4,1,38.1,21.8,19,2.8
1959,5,18,40.2,25.9,27,2.7
1959,6,82,39.2,27.9,85,2.4
1959,7,345,32.9,26.7,155,2.2
1959,8,281,32.6,26.6,127,1.7
1959,9,152,32.2,25.9,123,1.1
1959,10,119,31.3,21.2,115,1.4
1959,11,4,28,12.6,53,1.8
1959,12,0,24.5,9.4,36,1.6
1960,1,17,21.5,8,39,1.3
1960,2,0,29.6,12.5,36,0.9
1960,3,35,31,15.4,63,1.5
1960,4,1,37.2,20.7,16,1.2
1960,5,9,41.5,25.9,18,0.9
1960,6,48,40.1,28.1,52,-1.1
1960,7,372,33.5,26.4,139,0.5
1960,8,366,32.2,26.6,119,1
1960,9,112,33.4,25.1,114,-0.8
1960,10,245,31.3,19.5,115,2.1
1960,11,0,28.3,10.8,56,2.3
1960,12,5,24.1,9.1,37,2.2
1961,1,56,22.2,9.1,55,3
1961,2,25,23.6,9.5,52,3.5
1961,3,1,32.5,16.6,48,3.2
1961,4,1,37.9,21.1,20,3
1961,5,5,40.5,25.9,16,2.4
1961,6,115,38.8,26.9,116,2.7
1961,7,254,33.6,26.9,152,1.8
1961,8,493,32.3,26.3,122,2.2
1961,9,127,32.4,25.7,122,1.3
1961,10,229,30.8,20.1,109,3.1
1961,11,1,25.6,12.5,48,3.1
1961,12,7,21,6.6,32,3.1
1962,1,53,21.2,7.3,56,3.8
1962,2,10,25.7,11.3,41,3.9
1962,3,23,31.6,15.7,65,4.6
1962,4,2,38.2,21.6,27,4.6
1962,5,6,40.5,25.7,18,4
1962,6,85,40.2,27.8,89,3.5
1962,7,426,34.6,27.4,154,4
1962,8,351,33.2,26.1,118,4.1
1962,9,282,31.7,24.8,121,4.8
1962,10,1,31.5,18.9,67,3.5
1962,11,1,28.1,12.9,43,2.8
1962,12,3,22.9,9.2,26,2.1
1963,1,15,22.8,6.9,31,1.5
1963,2,7,28.2,11.5,30,0.9
1963,3,32,31.3,15.3,46,0.9
1963,4,3,36.5,21,12,0.6
1963,5,12,39.2,24.6,18,-1.5
1963,6,81,38.3,26.8,82,-1.5
1963,7,315,34.7,26.9,130,-1.4
1963,8,426,32.1,26.1,122,-0.6
1963,9,310,32.1,24.2,120,2.1
1963,10,42,32.6,20.6,86,1.4
1963,11,7,28.3,14.8,49,1.4
1963,12,10,24.3,8.2,33,1.4
1964,1,8,21.2,7.8,33,0.7
1964,2,3,25.8,11.1,30,-1
1964,3,7,34.2,17.1,27,-1.6
1964,4,1,38.6,22.4,12,-1.7
1964,5,14,39.2,23.7,20,-1.4
1964,6,47,39.4,27.4,49,-2.3
1964,7,536,32.5,25.9,136,2.1
1964,8,335,33.2,26.4,137,2.2
1964,9,276,32,24.8,118,3.1
1964,10,1,33,20,73,1.8
1964,11,1,28.3,11.4,40,1.2
1964,12,7,23.6,9.1,33,0.8
1965,1,16,24.1,9.6,34,-1.8
1965,2,16,25.3,10.8,36,-2
1965,3,20,31.1,14.7,33,-2.1
1965,4,4,35.8,20.1,12,-2.1
1965,5,2,39.7,25.1,8,-2.4
1965,6,42,40.6,28.4,44,-3.5
1965,7,349,34.1,26.7,156,-3.1
1965,8,279,33.4,25.6,126,-3
1965,9,133,33.1,24.2,131,-3.5
1965,10,79,32.1,20.3,101,-3.2
1965,11,1,29,13.4,52,-2.6
1965,12,0,24,7.6,32,-2.6
