Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 27.2708 North,82.8125 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,17,23.9,10.6,40,-0.1
1958,2,2,26,11.1,34,-0.3
1958,3,7,32.5,15.5,27,-0.9
1958,4,6,38.1,22.2,17,-0.9
1958,5,6,38.5,25.7,13,-1.6
1958,6,85,37.6,27,86,-2.7
1958,7,384,32.7,26.1,145,-3.1
1958,8,519,31.5,25.5,108,-0.6
1958,9,120,31.8,24.6,113,-1.5
1958,10,85,31.4,21.1,98,-1.3
1958,11,0,29,12.8,46,-0.9
1958,12,2,24.4,9.7,34,-0.7
1959,1,57,22.3,9.1,58,2.4
1959,2,2,25.1,9.9,36,2.3
1959,3,15,32.9,15.2,46,2.3
1959,4,3,36.9,21.3,18,2.1
1959,5,19,37.5,25.3,26,1.8
1959,6,145,36,26.1,141,1.2
1959,7,351,32.2,25.9,153,-1.3
1959,8,344,32,25.7,131,-1.6
1959,9,200,31.6,24.5,114,-1.3
1959,10,151,29.9,22.5,107,1.2
1959,11,0,27.8,13.4,50,1.5
1959,12,0,24.3,9,33,1.5
1960,1,3,22.3,7.8,32,0.9
1960,2,1,28.7,11.8,34,0.6
1960,3,24,30.9,14.3,46,0.9
1960,4,5,36.3,20,17,0.6
1960,5,22,38.3,25,28,0.6
1960,6,127,36.5,26.4,126,-0.7
1960,7,466,32.1,25.9,133,-1
1960,8,262,31.8,25.9,129,-2.1
1960,9,127,31.6,24.8,102,-2.6
1960,10,85,30.2,20.6,101,-2.3
1960,11,1,27.4,11.7,45,-1.8
1960,12,0,24.1,8.4,31,-1.6
1961,1,36,22.7,9.1,45,-0.8
1961,2,13,24.4,9,41,1.2
1961,3,11,31.9,16.1,39,1.1
1961,4,2,36.8,20.8,16,0.9
1961,5,12,37.9,25.4,20,-0.3
1961,6,310,35.5,25,149,1.6
1961,7,481,32.7,25.9,151,2.2
1961,8,539,32,25.8,134,4.1
1961,9,178,31.5,24.9,120,3.4
1961,10,197,30.2,20.5,108,5
1961,11,0,25.2,12.7,49,4.8
1961,12,5,20.7,6.5,33,4.7
1962,1,50,21.8,7.1,55,5.5
1962,2,16,25,10.5,45,5.8
1962,3,16,31.3,14.2,58,6.1
1962,4,8,36.4,20.7,25,5.8
1962,5,15,37,24.9,24,5
1962,6,212,36.2,26.7,129,5.2
1962,7,805,33.4,26.3,148,6.9
1962,8,418,31.6,25.2,121,7
