Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 27.5625 North,80.6875 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,41,23.7,11,50,0.6
1958,2,3,26.3,11,27,-0.2
1958,3,18,33,16.6,29,-0.1
1958,4,2,39.3,22.6,9,-0.1
1958,5,3,39.9,25.2,8,-0.8
1958,6,50,39.7,27.2,51,-1.7
1958,7,295,32.3,26.5,146,-1.7
1958,8,477,32.8,25.5,108,1.7
1958,9,118,31.6,25.6,120,0.8
1958,10,92,30.4,20.9,102,0.9
1958,11,0,27.2,14.1,46,1.2
1958,12,6,23.2,10.8,34,1.3
1959,1,58,22.4,9.4,58,2.1
1959,2,9,25.5,10.2,37,2.3
1959,3,17,33.7,15.9,30,2.1
1959,4,2,37.9,21.5,9,1.9
1959,5,12,38.9,24.9,17,1.7
1959,6,93,38.3,27,92,1.4
1959,7,297,32.5,26,156,1.1
1959,8,286,32.6,26.2,130,0.7
1959,9,159,32.2,25.6,121,-0.2
1959,10,166,30.6,22,118,1.2
1959,11,2,27,13.5,53,1.6
1959,12,0,24,9.9,34,1.6
1960,1,18,21.9,8.7,37,1.2
1960,2,0,29.7,12.5,26,0.9
1960,3,22,31.3,15.3,32,1
1960,4,2,37,20.4,10,0.8
1960,5,10,40.1,24.8,14,-0.1
1960,6,63,39.1,27.4,64,-0.9
1960,7,352,33,25.8,143,0.4
1960,8,274,32.3,26.2,123,0
1960,9,102,33.2,24.9,108,-1.1
1960,10,151,30.6,20.2,116,1
1960,11,1,27.2,11.6,54,1.4
1960,12,2,23.6,9.4,34,1.4
1961,1,56,22.4,9.7,55,2.2
1961,2,17,23.9,9.5,45,2.7
1961,3,1,32.7,16.6,20,2.1
1961,4,1,37.6,20.9,10,1.8
1961,5,6,39.1,25,12,1.4
1961,6,146,37.6,26,143,2.1
1961,7,269,33,26.1,157,1.4
1961,8,410,32.4,25.9,130,1.9
1961,9,145,32.2,25.4,124,1.2
1961,10,220,30.2,20.7,113,3.1
1961,11,0,24.6,13.3,50,3.2
1961,12,7,20.5,7.1,33,3.3
1962,1,56,21.4,7.9,59,4
1962,2,12,25.7,11.3,40,4.3
1962,3,23,31.8,15.6,46,4.5
1962,4,5,37.8,21.2,16,4.4
1962,5,6,39,24.7,13,3.8
1962,6,103,39.2,27.2,102,3.5
1962,7,473,34.1,26.7,159,4.7
1962,8,334,33,25.4,122,4.8
1962,9,264,31.7,24.6,120,5.2
1962,10,1,30.8,19.5,68,3.8
1962,11,0,27,13.5,39,3
1962,12,2,22.5,9.8,22,2.3
1963,1,12,23,7.4,25,1.5
1963,2,7,28.3,11.4,15,0.8
1963,3,37,31.2,15,41,1.2
1963,4,4,36.2,20.6,8,1.1
1963,5,13,37.7,23.7,16,0.9
1963,6,81,37.1,25.9,79,0.6
1963,7,399,33.9,26,132,1.5
1963,8,400,32.2,25.7,126,2.5
1963,9,245,32.2,24,119,2.9
1963,10,45,31.9,21.3,87,2.2
1963,11,5,27.2,15.6,45,2.1
1963,12,7,24.1,8.8,29,1.9
1964,1,10,21.6,8.4,29,1.1
1964,2,4,26,11.2,17,0.6
1964,3,8,34.3,17,15,-1.5
1964,4,3,38.3,22.1,8,-1.5
1964,5,14,37.9,22.9,17,-1.2
1964,6,66,38.5,26.5,66,-1.7
1964,7,526,32,25.1,139,2.3
1964,8,261,33.2,25.9,141,1.8
1964,9,206,32.1,24.7,116,1.9
1964,10,10,32.5,20.6,76,0.9
1964,11,0,27.3,12.3,37,-1.1
1964,12,7,23.3,9.6,29,-1.3
1965,1,20,24.4,10,32,-1.7
1965,2,11,25.6,10.9,19,-1.9
1965,3,33,31.3,14.8,37,-1.4
