Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 24.6875 North,83.0625 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,32,24.9,10.3,53,-0.7
1958,2,9,27,12.7,43,-1
1958,3,41,34.4,16.8,66,0.5
1958,4,5,39.8,23.4,19,-0.2
1958,5,1,41.9,27.5,10,-0.8
1958,6,47,40.6,28.9,51,-1.7
1958,7,376,33,25.9,127,-1.5
1958,8,391,31.2,25.5,112,-0.9
1958,9,190,31.2,23.9,108,-1
1958,10,61,31.4,20.1,92,0.6
1958,11,0,28.3,12.9,50,0.7
1958,12,1,24.7,10,39,0.6
1959,1,83,23,9.4,73,2.3
1959,2,6,26.2,11.3,43,2.1
1959,3,5,33.8,17,48,1.8
1959,4,3,38.5,22.8,22,1.7
1959,5,22,40.9,26.3,32,1.8
1959,6,38,38.2,27.7,44,0.7
1959,7,278,32.4,26,138,-1.5
1959,8,390,31.3,25.6,120,-1.6
1959,9,135,30.7,24.1,109,-2.2
1959,10,122,30.2,21.3,108,2
1959,11,1,27.8,12.8,56,2.1
1959,12,0,24.4,9.4,40,2.1
1960,1,9,22.9,8.3,41,1.6
1960,2,0,29.2,12.9,39,1.1
1960,3,37,31.9,16.2,68,1.7
1960,4,2,38.8,21.5,20,1.3
1960,5,3,41.1,26.3,14,0.8
1960,6,63,38.9,28.2,67,-1.2
1960,7,442,31.7,25.8,124,0.7
1960,8,500,31.1,25.8,115,1.6
1960,9,145,30.7,24.8,106,0.8
1960,10,36,30.7,19.5,89,0.6
1960,11,0,27.3,11.2,46,-0.2
1960,12,0,24.6,8,30,-1
1961,1,42,23.3,9.7,54,0.5
1961,2,35,24.7,11,57,1
1961,3,2,33.2,18.2,36,0.6
1961,4,0,38.9,22.2,17,-0.2
1961,5,4,40.9,26.6,13,-0.8
1961,6,119,36.9,26.6,120,0.3
1961,7,261,32.4,25.5,129,-1.1
1961,8,456,31.3,25.5,112,-0.8
1961,9,185,30.6,24.2,108,-1
1961,10,69,30.5,19.2,94,0.8
1961,11,1,26.3,11.6,51,0.8
1961,12,6,21.9,6.7,37,1
1962,1,29,22.3,7.1,50,1.1
1962,2,17,26.3,11.7,44,1.1
