Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 48.4375 North,-123.3542 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,114,8.6,4.1,11,0
1958,2,84,10.6,5.9,22,0.1
1958,3,27,10.7,3.3,37,-0.7
1958,4,52,13.7,5.2,60,0.3
1958,5,28,19.1,9.4,69,-0.1
1958,6,19,22.1,12.9,67,-0.8
1958,7,0,25.3,13.8,22,-1.8
1958,8,15,23.5,13.3,25,-2
1958,9,26,19.2,11,31,-2
1958,10,81,14.6,7.1,37,-1.5
1958,11,169,8.4,2.8,19,1.3
1958,12,108,8.3,4,14,1.6
1959,1,135,6.7,1.9,14,1.8
1959,2,65,7.2,2.6,22,1.3
1959,3,72,9.6,3.5,39,1.6
1959,4,51,13.4,4.9,60,1.8
1959,5,30,16.5,7.2,66,1.7
1959,6,34,19.7,10.9,70,2.1
1959,7,10,23.2,12.4,48,1.7
1959,8,15,20.9,12,29,1.4
1959,9,66,17.6,10.3,60,2.4
1959,10,69,13.5,6.9,30,2.4
1959,11,132,9,2.5,19,2.7
1959,12,106,7.4,2.3,12,2.8
1960,1,119,5.9,1.5,13,2.6
1960,2,81,8.3,2.8,28,2.3
1960,3,76,9.4,2.4,38,2.6
1960,4,40,13.6,5.2,54,2.4
1960,5,39,15.4,7.7,61,2.7
1960,6,10,18.8,10.3,60,2.4
1960,7,1,23.2,12.1,36,1.6
1960,8,38,20.7,12.6,50,1.9
1960,9,17,18.8,9.4,24,1.3
1960,10,70,14.4,7.9,33,1.3
1960,11,112,9.1,3.7,19,1.2
1960,12,75,7.2,2.3,12,-0.7
1961,1,167,8.9,3.1,12,1
1961,2,158,9.3,4.8,23,2.7
1961,3,74,10.6,4,41,2.9
1961,4,39,12.3,5.4,50,2.8
1961,5,36,16.6,8.1,64,2.9
1961,6,10,21.1,11.4,66,2.4
1961,7,19,22.9,13.3,48,2
1961,8,21,23.7,13,33,1.6
1961,9,17,18.6,9,24,1
1961,10,66,13.1,5.6,36,0.9
1961,11,87,8.2,1.8,18,-1.2
1961,12,119,6.5,1.8,14,-1.5
1962,1,74,6.7,1.1,12,-2.1
1962,2,39,8.7,3.2,24,-2.9
1962,3,62,8.8,1.5,40,-2.4
1962,4,42,13.3,5.3,53,-2
1962,5,30,14.6,7.1,59,-1.5
1962,6,15,18.9,9.5,65,-1.4
1962,7,9,21,11.5,42,-1.4
1962,8,52,20.3,12.6,59,1.2
1962,9,35,19.5,10.1,41,1.2
1962,10,75,14.2,7.7,32,1.3
1962,11,168,10.4,4.9,17,2.2
1962,12,106,8.1,3.8,11,2.5
1963,1,40,4.3,-0.5,10,0.8
1963,2,91,10.9,5,20,1
1963,3,36,10,3,39,-1.4
1963,4,35,12.7,5.4,49,-1.3
1963,5,22,17.8,7.6,69,-1.5
1963,6,32,18.7,10.7,64,-1.2
1963,7,35,20.3,12.1,61,-0.6
1963,8,14,21.7,12.7,25,-0.8
1963,9,20,20.9,11.7,26,-1.1
1963,10,118,14.8,8.3,38,1.1
1963,11,135,9.6,4.1,21,1.8
1963,12,145,7.8,3.4,13,2.7
1964,1,161,7.8,3.3,15,3.2
1964,2,50,8.7,2.4,26,2.2
1964,3,71,9.2,3.3,41,2.3
1964,4,29,11.7,3.9,51,1.8
1964,5,20,15.7,6.4,62,1.3
1964,6,37,18.1,10.7,64,1.6
1964,7,30,20.3,12,57,2
1964,8,28,20.9,12.3,42,2
1964,9,49,17.8,9.4,51,2.4
1964,10,29,14.6,6.3,30,1.3
1964,11,98,7.8,2.2,15,0.6
1964,12,95,4.5,-0.6,10,-2.2
1965,1,154,5.6,1.3,9,-1.1
1965,2,110,7.8,3.2,24,1.4
1965,3,16,10.7,2.1,38,-1.2
1965,4,47,13.1,5.2,55,-1
1965,5,27,14.7,6.4,59,-1
1965,6,8,19.4,9.5,60,-1.7
1965,7,6,22.2,12.2,24,-2.3
1965,8,44,21.3,12.9,52,-1.4
1965,9,22,17.9,9.2,27,-1.6
1965,10,59,14.8,8.1,35,-1.6
1965,11,115,10.1,5.5,17,-1.6
1965,12,126,6.5,2.1,15,-1.5
1966,1,129,6.4,1.7,12,-1
1966,2,43,8.6,2.8,25,-1.8
1966,3,67,9.8,3.2,40,-1.4
1966,4,24,13.3,4.5,52,-1.7
1966,5,26,16.2,6.8,64,-1.8
1966,6,22,18.1,10.3,58,-1.7
1966,7,41,19.7,11.8,62,-0.9
1966,8,11,21.6,12.2,23,-1.2
1966,9,31,19.1,11.2,36,-1
1966,10,84,13.1,6.3,34,0.5
1966,11,99,9.5,4,17,-0.1
1966,12,150,8.5,4.1,14,1.1
1967,1,206,7.2,2.8,12,2.7
1967,2,68,9.2,3.4,25,2.2
1967,3,63,8.7,2.5,41,2.1
1967,4,45,11.5,3.8,54,2.2
1967,5,23,15.8,7.8,58,1.9
1967,6,14,20.7,11.4,64,1.6
1967,7,8,22,12.4,38,1.1
1967,8,1,24.2,12.9,14,-1.2
1967,9,35,20.9,11.3,41,-1
1967,10,174,13.6,8.2,33,2.5
1967,11,58,9.8,4.3,19,2.4
1967,12,137,6.7,2.4,17,3
1968,1,150,6.5,1.9,13,3.4
1968,2,85,10.6,3.5,25,3.1
1968,3,85,10.6,4.9,39,3.6
1968,4,31,12.1,4.4,52,3
1968,5,26,17.2,7.8,64,2.6
1968,6,35,18.8,10.2,68,2.6
1968,7,13,23.2,12.7,44,2.2
1968,8,50,20.5,12.7,59,2.9
1968,9,40,18.4,10.3,43,3
1968,10,88,12.7,7,34,3.3
1968,11,105,9.7,4.1,18,3
1968,12,157,4.7,-0.4,12,3.7
1969,1,111,1.2,-3.5,1,3.5
1969,2,48,7.3,1.3,19,2.5
1969,3,50,10.9,2.8,42,2
1969,4,56,12.3,5,54,2.5
1969,5,22,18.4,8.3,69,2.1
1969,6,12,21.3,12.2,61,1.7
1969,7,11,21.3,12,41,1.3
1969,8,17,20.3,11.8,29,1
1969,9,65,18.1,10.9,57,2
1969,10,41,13.7,6.1,35,1.4
1969,11,56,9.4,4.4,15,-1.4
1969,12,104,7.9,3.7,14,-2.5
1970,1,119,6.3,1.7,13,-2.3
1970,2,45,10.1,4.1,27,-2.9
1970,3,31,10.6,2.6,40,-3.4
1970,4,76,11.8,4,63,-1.9
1970,5,20,15.7,6.9,61,-1.8
1970,6,8,20.8,10.6,66,-1.8
1970,7,15,21.4,12,42,-1.9
1970,8,4,21.2,11.7,16,-2.3
1970,9,52,17.3,9.3,53,-1.4
1970,10,42,12.9,5.7,36,-1.8
1970,11,93,9.2,3.2,22,-2.3
1970,12,121,5.9,1.5,17,-2.8
1971,1,155,6,1.3,13,-1.8
1971,2,84,7.6,2.7,22,-1.4
1971,3,104,8,1.4,40,2
1971,4,20,12.9,4.3,48,1.2
1971,5,21,16.5,7.5,60,0.7
1971,6,40,16.7,9.7,61,1
1971,7,13,21.8,11.7,46,0.9
1971,8,12,23,13.5,25,-0.3
1971,9,41,17.9,9.7,45,0.3
1971,10,57,12.9,6.2,34,-0.1
1971,11,124,9,4.4,18,0
1971,12,153,4.7,0,14,0.8
1972,1,125,4.3,-0.6,11,1
1972,2,119,8,2.2,23,1.7
1972,3,103,9.9,4.1,35,2.8
1972,4,52,10.9,3.2,58,3
1972,5,8,17.9,8.4,60,2.1
1972,6,29,18.5,10.2,62,2
1972,7,34,22.4,12.2,65,2.3
1972,8,25,22.6,12.8,38,2.1
1972,9,56,16.8,9,55,2.7
1972,10,25,13.2,5.3,26,1.5
1972,11,62,9.5,4.1,18,-2
1972,12,197,4.8,0.6,14,-1.7
1973,1,88,6,0.7,19,-2.2
1973,2,35,8.7,2.8,24,-3
1973,3,33,10,3.5,37,-3.3
1973,4,12,13.2,4.4,47,-3.9
1973,5,23,16.9,7.6,63,-4.1
1973,6,24,18.5,10.1,57,-4.1
1973,7,4,21.4,11.9,23,-4.4
1973,8,11,20.1,11.2,20,-4.4
1973,9,17,19.6,10.8,23,-4.4
1973,10,74,12.7,7,35,-3.7
1973,11,154,7.5,2.1,20,-2.7
1973,12,140,8.2,3.9,16,-1.5
1974,1,182,6.3,1,19,2.7
1974,2,91,8,3.4,21,2.7
1974,3,79,9.7,3.2,39,3
1974,4,33,12.5,5.6,51,2.6
1974,5,37,14.6,6.7,66,2.7
1974,6,22,18.8,10.1,62,2.6
1974,7,34,20.3,11.8,64,3
1974,8,2,22,12.5,18,2.1
1974,9,7,22,11.2,15,1
1974,10,26,14.8,6.5,27,-2.2
1974,11,125,9.5,4.4,18,-2.2
1974,12,136,8.4,3.8,16,-2.1
1975,1,133,5.8,1.5,18,-1.6
1975,2,99,6.4,1.6,26,-1.1
1975,3,42,9,2.4,44,-1.5
1975,4,24,11.5,3.2,46,-1.7
1975,5,23,16.1,7.4,60,-1.7
1975,6,15,18.2,9.9,58,-1.9
1975,7,9,22,12.2,32,-2.1
1975,8,84,19.6,12.5,86,1.8
1975,9,4,20.6,10.1,13,0.7
1975,10,144,12.6,7.5,34,2.4
1975,11,155,9,3.9,21,3.7
1975,12,169,7,2.2,16,4.8
1976,1,143,7.5,2.8,13,4.9
1976,2,118,7.8,2.7,30,5.1
1976,3,50,7.9,1.9,42,4.4
1976,4,37,13.2,4.6,58,3.8
1976,5,35,15.6,7.5,67,3.6
1976,6,19,17.7,9.2,61,3.1
1976,7,15,20.9,12.4,44,2.7
1976,8,48,19.4,12.5,55,3.3
1976,9,17,19.6,11,25,2.6
1976,10,40,14.2,6.8,37,1.7
1976,11,32,10.3,3.6,23,-2.6
1976,12,61,8.4,3.8,14,-4.5
1977,1,54,5.9,0.9,13,-5.6
1977,2,45,10.5,4.8,28,-6.3
1977,3,91,9.4,3.1,43,-6
1977,4,25,14.1,5.1,52,-5.8
1977,5,31,15.1,7.3,63,-5.3
1977,6,8,19.7,10.4,57,-5.3
1977,7,14,20.6,11.7,35,-5
1977,8,44,23.6,13.2,53,-3.9
1977,9,38,17.5,10.1,42,-3.3
1977,10,53,13.4,6.3,37,-3.2
1977,11,135,8.3,2.7,22,-2.8
1977,12,106,6.5,1.8,21,-2.8
1978,1,85,6.7,3,14,-3.2
1978,2,65,9.2,4,28,-3.3
1978,3,49,11,4.5,42,-3.2
1978,4,37,13,5.7,54,-2.9
1978,5,33,16.5,7.4,66,-2.4
1978,6,9,21.5,11.8,66,-2.7
1978,7,13,22.4,12.7,34,-2.9
1978,8,36,21.5,13.3,45,-2.4
1978,9,52,17.2,11.1,51,-1.4
1978,10,19,14.8,7.3,22,-2.3
1978,11,109,7.2,1.7,25,-2.7
1978,12,59,5.5,0.2,19,-4
1979,1,35,4.1,-1.4,12,-5.3
1979,2,114,7.1,2,22,-4.2
1979,3,30,12,3.7,44,-4.7
1979,4,36,13.2,5.2,53,-4.5
1979,5,16,17.2,8.6,61,-4.7
1979,6,15,19.4,10.3,57,-5.3
1979,7,17,22.4,12.7,32,-5.3
1979,8,11,21.9,13.1,19,-5.2
1979,9,43,20.4,12.2,45,-4.4
1979,10,65,14.8,7.9,39,-4
1979,11,32,9.5,2.9,23,-5.2
1979,12,216,9.1,4.2,21,-4.5
1980,1,85,4.4,-0.8,14,-4.6
1980,2,88,8.9,4.2,24,-4
1980,3,62,9.5,3.4,41,-3.4
1980,4,32,14.7,5.9,58,-3.4
1980,5,33,16.1,8.3,64,-3
1980,6,63,17.6,10.8,76,-1.4
1980,7,18,21,12.5,60,-0.6
1980,8,15,20.7,12.2,32,-0.6
1980,9,38,18.4,11,42,1.8
1980,10,20,15,7.3,23,-1.1
1980,11,194,9.7,5.1,18,1.4
1980,12,151,8.2,4.3,14,2.4
1981,1,38,9.3,4.1,15,0.7
1981,2,113,8.7,4.1,25,1.4
1981,3,42,12.2,4.7,47,0.6
1981,4,62,12.9,5.3,59,1.3
1981,5,37,16.1,8.5,64,1.7
1981,6,53,17.5,10.6,69,2.9
