Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 25.3125 North,82.9792 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,28,25.4,11.3,52,0.1
1958,2,4,27.6,13.3,42,-0.2
1958,3,33,34.5,17,66,0.4
1958,4,2,40.6,24.3,19,-0.2
1958,5,1,42.5,28.2,12,-0.7
1958,6,43,41.6,29.7,48,-1.8
1958,7,310,34.2,27.1,136,-1.8
1958,8,383,32.3,26.5,111,-1.4
1958,9,168,32.8,25.5,113,-1.7
1958,10,53,32.7,21,91,-1.1
1958,11,0,29.9,14.2,50,-1
1958,12,1,25.7,11.3,39,-0.9
1959,1,74,23.6,10.2,72,2
1959,2,3,26.6,12,42,1.9
1959,3,5,34.2,17.1,53,1.8
1959,4,2,39.4,23.5,23,1.7
1959,5,21,41.5,27.2,33,2
1959,6,36,39.5,28.7,42,0.8
1959,7,236,33.6,27.2,150,-1.9
1959,8,374,32.5,26.7,127,-2.1
1959,9,128,32.5,25.6,118,-2.8
1959,10,127,31.5,22.4,115,2.2
1959,11,0,29.5,14.2,58,2.3
1959,12,0,25.6,10.7,42,2.4
1960,1,8,23.3,9.1,42,1.9
1960,2,0,29.9,13.7,41,1.6
1960,3,27,32.2,16.2,66,2.1
1960,4,1,39.5,22.2,24,1.7
1960,5,4,41.8,27.1,17,1.2
1960,6,58,40,29.1,64,-1.1
1960,7,433,33.2,26.9,132,0.8
1960,8,438,32.3,26.8,121,1.8
1960,9,143,32.5,26,107,1
1960,10,38,32,20.5,93,0.9
1960,11,0,28.9,12.6,48,0.6
1960,12,0,25.3,9.1,32,-0.2
1961,1,37,23.7,10.6,51,0.5
1961,2,16,25.4,11.5,48,0.7
1961,3,3,33.4,18.1,41,-0.3
1961,4,0,39.8,23,19,-0.2
1961,5,3,41.6,27.4,14,-0.7
1961,6,101,38.3,27.7,104,0.3
1961,7,260,33.8,26.7,143,-1.1
1961,8,425,32.4,26.6,120,-0.9
1961,9,173,32.3,25.7,116,-1.2
1961,10,73,31.8,20.1,99,0.9
1961,11,1,27.7,13,52,1
1961,12,5,22.6,7.9,37,1.2
1962,1,30,22.9,7.9,52,1.4
1962,2,10,26.8,12.2,42,1.6
1962,3,8,33.5,15.4,57,1.6
1962,4,5,38.9,22.8,27,1.7
1962,5,4,40.9,26.9,16,1.4
1962,6,67,39.9,29.4,72,0.9
1962,7,321,34.9,27.4,145,0.6
1962,8,378,32,26.2,113,0.7
1962,9,275,32.1,25,114,1.4
1962,10,8,31.7,19.2,76,0.6
1962,11,0,29.9,13.1,47,-0.4
1962,12,3,25.1,10.1,35,-1
1963,1,15,23.5,7.5,39,-1.2
1963,2,4,29.6,12.2,34,-1.4
1963,3,15,32,16.2,44,-1.3
1963,4,3,37.5,22.3,19,-1.2
1963,5,17,39.5,25.9,26,-0.9
1963,6,92,38,27.4,95,-0.8
1963,7,454,33.4,26.7,125,1.2
1963,8,455,32.2,26.5,113,2.3
1963,9,203,32.7,24.8,123,2
1963,10,46,32.4,21.3,92,2
1963,11,11,29.7,16,58,2.1
1963,12,1,25.6,10.3,36,1.8
1964,1,4,23.4,8.8,38,1
1964,2,4,27.3,12.6,37,0.7
1964,3,4,34.8,18.1,35,-1.3
1964,4,3,39.3,24.4,19,-1.4
1964,5,10,40,25.7,20,-1.3
1964,6,85,39.5,27.9,88,-1.4
1964,7,361,32.4,26,130,-1
1964,8,311,32.6,26.7,123,-0.9
1964,9,215,32.3,25.5,116,-0.7
1964,10,35,33.4,21.2,89,-0.7
1964,11,6,29,13.7,48,-0.6
1964,12,0,25.5,10,38,-0.6
1965,1,2,25.2,9.6,35,-1.3
1965,2,1,27.7,12.2,35,-1.6
1965,3,24,32,15.5,51,-1.3
1965,4,7,37.8,21.7,22,-1.2
1965,5,3,41.5,26.7,12,-1.4
1965,6,31,41,29.3,36,-2.6
1965,7,378,33.9,27.1,149,-2.1
1965,8,279,32.9,26.4,127,-2.1
1965,9,163,32.9,24.6,122,-2.4
1965,10,29,32.6,20.5,85,-2.4
1965,11,8,29.9,14.6,55,-2.1
1965,12,1,24.8,8.9,35,-2
1966,1,25,23.9,10.3,45,-1.7
1966,2,7,29.3,14.3,40,-1.7
1966,3,0,33.9,17.1,34,-2.2
1966,4,0,40,23.2,17,-2.2
1966,5,3,42.3,27.2,14,-2.3
1966,6,183,39.1,28.2,178,-0.7
1966,7,257,35.2,27.5,159,-1.6
1966,8,225,32.2,26.4,116,-2.4
1966,9,53,33.4,25.4,94,-3.9
1966,10,5,33.2,20.4,61,-5
1966,11,29,30.7,14.8,53,-4.9
1966,12,6,24.4,9.8,28,-5.1
1967,1,2,23.4,9.4,20,-5.6
1967,2,0,29.6,13.1,13,-6.3
1967,3,42,31.3,15.9,48,-5.3
1967,4,4,38,21.5,10,-5.2
1967,5,3,41.5,26.7,7,-5.3
1967,6,53,40.3,28.9,54,-5.7
1967,7,285,34.3,26.7,150,-5.7
1967,8,557,31.9,26.1,121,-4.2
1967,9,272,32.4,24.9,114,-3
1967,10,4,32.6,19.9,77,-3.5
1967,11,0,28.8,13.6,45,-3.5
1967,12,10,25.4,10.8,37,-3
1968,1,41,22,9.6,52,-2.1
1968,2,4,26.2,11.3,36,-2.1
1968,3,5,32.7,16.9,40,-2.2
1968,4,0,38.2,22.3,18,-2
1968,5,2,41.3,26.6,13,-2.3
1968,6,93,37.3,27.7,96,-2
1968,7,218,33.1,26.7,133,-2.8
1968,8,255,32.9,26.2,136,-3.5
1968,9,125,33.8,25.7,124,-4.2
1968,10,30,31.5,20.4,74,-4.3
1968,11,0,29.5,14.6,35,-4.6
1968,12,3,25.4,10.8,29,-4.6
1969,1,5,23.8,9.2,28,-4.9
1969,2,4,28.8,12.7,26,-5
1969,3,12,35.2,18.4,24,-5.2
1969,4,2,39.2,23.1,11,-5.1
1969,5,21,40.3,25.8,26,-4.2
1969,6,61,39.8,28.6,63,-4.4
1969,7,493,33.3,26.6,129,-2.5
1969,8,289,32,25.9,120,-2.1
1969,9,178,32.2,25.2,113,-2.2
1969,10,3,33.3,21,75,-2.7
1969,11,15,30.9,15.5,53,-2.3
1969,12,0,25.5,10.4,29,-2.3
1970,1,45,23.5,10.3,55,-1.3
1970,2,25,26.3,12,44,1.4
1970,3,10,32.4,16.7,52,1.7
1970,4,0,40.2,23.6,24,1.6
1970,5,27,41.9,27.3,40,2.2
1970,6,104,37.5,26.8,108,2.3
1970,7,359,33.8,26.6,136,2.2
1970,8,273,32.7,26.7,132,1.6
1970,9,520,32,25.4,111,5.1
1970,10,34,33.2,21.2,84,4.6
1970,11,0,29.2,13.7,48,4
1970,12,0,26.1,9.4,34,3.4
1971,1,30,23,9.3,46,3.4
1971,2,7,26.6,11,37,3.1
1971,3,6,32.9,15.9,47,2.8
1971,4,12,37.3,22.1,31,3.1
1971,5,35,38.6,25,45,3.9
1971,6,216,35.5,26.3,153,5.8
1971,7,328,32.2,25.4,132,5.5
1971,8,536,31.4,25.4,113,6.6
1971,9,181,33.1,24.6,117,5.6
1971,10,101,31.7,20.9,108,6.6
1971,11,0,28.5,13.6,54,6.2
1971,12,0,25.7,9.5,40,5.8
1972,1,22,23.9,9,44,5.4
1972,2,28,25.2,10.6,55,5.9
1972,3,2,33.3,16.5,56,5.7
1972,4,2,39,21.5,27,5.3
1972,5,1,42.9,27,15,4.3
1972,6,21,41.3,28.8,29,2.3
1972,7,203,35.3,27,161,0.7
1972,8,294,32.7,25.8,133,-3.8
1972,9,181,32.8,24.2,128,-4
1972,10,85,32.3,19.5,100,-2.5
1972,11,17,28.8,13.8,54,-1.5
1972,12,0,25.3,10.1,39,-1.2
1973,1,27,23.8,10.2,48,-0.8
1973,2,7,28,13.7,37,-0.6
1973,3,4,33,15.8,42,1.7
1973,4,0,41.2,23.8,19,1.5
1973,5,6,41.6,27.3,17,1.2
1973,6,79,38.2,28.4,83,0.9
1973,7,327,34.8,26.8,154,-0.3
1973,8,458,32.3,26.2,119,0.6
1973,9,224,32.1,25.6,107,0.9
1973,10,105,31,21.5,108,2.4
1973,11,3,27.8,14.7,51,2.6
1973,12,0,23.8,9.8,39,2.7
1974,1,3,22.6,9.1,39,2
1974,2,1,26.7,11.2,37,1.8
1974,3,6,33.5,18.1,51,2
1974,4,1,39.9,24.1,24,1.8
1974,5,4,41,26.8,18,1.4
1974,6,56,39.4,28.3,62,0.7
1974,7,466,33.1,26.6,151,1.6
1974,8,318,32.2,26.3,117,1.8
1974,9,137,33.3,25.4,109,0.9
1974,10,21,33.8,21.8,82,-1
1974,11,1,29.4,13,47,-1.1
1974,12,1,23.8,8.8,30,-1.1
1975,1,28,22.4,9,45,-0.8
1975,2,6,26.4,12.3,37,-0.7
1975,3,21,33.2,16.3,59,0.3
1975,4,2,40.5,22.8,20,-0.1
1975,5,4,42.6,27.2,15,-0.3
1975,6,140,39,27.7,141,0.6
1975,7,375,32.8,25.8,129,0.9
1975,8,205,32.6,25.7,120,-0.5
1975,9,256,31.6,25.6,127,0.5
1975,10,48,33.3,22,93,0.7
1975,11,0,29.3,13,51,-0.1
1975,12,0,25,9.2,37,-0.1
1976,1,22,24.2,9.7,46,0
1976,2,3,27.3,13.6,37,-0.2
1976,3,0,33.2,17.3,34,-0.9
1976,4,3,38.7,21.9,20,-0.9
1976,5,8,40.5,26.4,19,-1
1976,6,52,38.7,28,56,-1.7
1976,7,277,34.2,26.5,136,-2.1
1976,8,253,32,25.9,122,-2.7
1976,9,341,32.2,25,117,-0.9
1976,10,10,33.4,20.4,74,-1.4
1976,11,1,31.8,15.5,52,-1.6
