Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 29.3542 North,80.1042 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,88,16,6.5,60,0.5
1958,2,16,17.1,5.9,49,0
1958,3,44,22.5,11.1,78,-0.4
1958,4,18,28.7,16,64,-0.8
1958,5,16,29.3,16.7,33,-1.7
1958,6,114,29.6,18.7,116,-2.2
1958,7,458,24.3,18.9,107,-2.1
1958,8,479,24.7,18.2,88,-1
1958,9,187,23.6,17.5,94,-1.1
1958,10,220,22.4,13.2,88,1.6
1958,11,2,18.8,8.6,42,1.4
1958,12,44,15.9,6.2,49,1.6
1959,1,91,15,5.1,59,2
1959,2,49,16.3,5.4,60,2
1959,3,65,23.1,10.7,91,1.9
1959,4,20,27.1,15,88,1.8
1959,5,63,28.3,16.9,83,1.4
1959,6,156,28.7,18.6,128,1.1
1959,7,521,24.4,18.5,115,1.3
1959,8,260,24.8,18.9,101,0.7
1959,9,210,24,17.8,90,0.6
1959,10,180,22.6,14,87,1.2
1959,11,18,18.3,7.7,49,1.5
1959,12,0,16.7,5.6,32,0.8
1960,1,58,14.2,4.2,58,0.7
1960,2,1,20.9,8.3,39,-1.4
1960,3,80,20.7,9.6,88,-1.3
1960,4,18,26.2,13.7,49,-1.9
1960,5,37,29.6,16.9,50,-2.3
1960,6,105,29.5,18.7,107,-2.7
1960,7,494,25,18.3,102,-2.4
1960,8,289,24.5,18.9,98,-2.5
1960,9,159,24.9,17.3,92,-2.6
1960,10,273,22.5,12.5,93,-0.9
1960,11,1,18.8,6.1,44,-0.9
1960,12,10,16.5,5.5,35,-1.1
1961,1,130,15.2,5.1,55,1.7
