Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 29.9375 North,78.1458 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,56,21.2,9,52,0.2
1958,2,11,23.3,9.3,43,-0.5
1958,3,29,29.9,15.1,73,-0.7
1958,4,6,37.7,21.2,61,-1.1
1958,5,6,39.7,24.2,28,-1.7
1958,6,53,39.5,26.6,62,-2.5
1958,7,627,31.9,26,125,-1.4
1958,8,485,31.5,24.9,101,-0.8
1958,9,417,30.6,23.6,112,2.5
1958,10,154,29.9,18,97,3.6
1958,11,2,26.7,11.6,46,3.3
1958,12,46,22.1,8.4,48,3.5
1959,1,90,19.9,7.1,54,4.1
1959,2,27,22,8.5,51,3.7
1959,3,29,30.2,14.5,82,3.5
1959,4,7,35.8,20.1,82,3.4
1959,5,37,38.7,24.6,60,3.1
1959,6,72,39.1,27.1,82,2.3
1959,7,539,31.7,25.5,136,2.5
1959,8,367,31.4,25.4,111,2.1
1959,9,256,31.1,24.3,107,2.1
1959,10,95,30.9,19.1,97,2.4
1959,11,14,26.4,10.6,52,2.6
1959,12,0,22.7,7.6,31,1.8
1960,1,74,19.4,6.6,56,2.1
1960,2,0,26.8,11.6,40,1.1
1960,3,60,27.9,13.4,82,1.4
1960,4,6,34.6,18.6,60,1.2
1960,5,10,40.3,24.8,30,-0.7
1960,6,75,39.8,26.7,83,-1.5
1960,7,521,32.4,25.4,122,-0.9
1960,8,474,31.3,25.6,109,0.3
1960,9,150,32.2,23.8,117,-0.6
1960,10,173,30.2,17.3,112,1.6
1960,11,0,26.9,9,50,1.4
1960,12,22,22.5,7.8,39,1.2
1961,1,97,20.4,7.5,48,2.1
1961,2,83,21.1,8,63,3.1
1961,3,7,29.5,14.9,70,2.7
1961,4,8,35.6,19.1,81,3.3
1961,5,16,39.2,24.2,56,2.8
1961,6,121,38.9,26.3,125,2.8
1961,7,432,32.6,25.7,127,2.5
1961,8,584,31.1,25,109,3.1
1961,9,182,31.5,24.1,109,2.5
1961,10,179,30.1,18.1,95,3.9
1961,11,3,23.8,10.9,41,3.7
1961,12,44,19.6,5.4,43,3.9
1962,1,118,19.4,6.3,47,5.1
1962,2,36,23.7,10.2,50,4.9
1962,3,39,28.6,14.1,75,5
1962,4,8,36.4,20,76,5.6
1962,5,15,39.2,24.2,70,5.2
1962,6,99,39.4,26.4,115,4.5
1962,7,445,33.4,26.3,136,4
1962,8,333,32.2,25,107,3.3
1962,9,485,30.7,23.2,113,5
1962,10,2,30.4,17.5,64,3.7
1962,11,12,26.2,11.4,44,3.2
1962,12,30,20.8,7.1,38,2.9
1963,1,18,20.7,5.8,34,1.9
1963,2,26,25.6,10.4,44,1.3
1963,3,75,28.6,13.7,89,1.5
1963,4,12,34.7,19.1,44,0.9
1963,5,28,38.2,23.1,42,-1.5
1963,6,106,38.7,26.4,110,-1.5
1963,7,325,34.2,26.3,137,-1.9
1963,8,515,31,24.9,114,-1.4
1963,9,372,31.1,22.8,114,1.4
1963,10,19,31.6,18.7,76,0.6
1963,11,19,26.6,12.8,50,0.7
1963,12,41,22.5,6.6,48,0.8
1964,1,23,18.7,6.3,37,-0.6
1964,2,10,22.9,9.4,34,-1.3
1964,3,17,30.8,15.2,56,-2
1964,4,7,36.4,20.2,28,-2.8
1964,5,41,37.9,21.9,51,-2.6
1964,6,50,38.8,26.5,55,-3.4
1964,7,752,31.4,24.5,133,-1.6
1964,8,472,32,24.9,118,-1.2
1964,9,330,30.9,23.3,115,2.2
1964,10,1,31,17.8,68,1.1
1964,11,3,26.7,9.5,40,0.6
1964,12,26,21.6,7.6,39,-1.3
1965,1,27,22.5,8.5,39,-1.8
1965,2,54,22.6,9.3,58,-1.4
1965,3,35,28.5,12.9,63,-1.6
1965,4,21,33.3,17.7,46,-1.8
1965,5,26,38,23.2,38,-2
1965,6,26,39.8,27.2,33,-3.3
1965,7,412,32.9,25,140,-3.2
1965,8,291,31.7,24,123,-3.4
1965,9,135,31.8,22.8,126,-3.8
1965,10,56,31.1,18.3,87,-3.5
1965,11,4,27.6,11.9,47,-3.1
1965,12,1,22.1,6,29,-3.5
1966,1,6,22.4,6.1,29,-4.1
1966,2,42,25.8,11.2,51,-3.8
1966,3,20,29.4,13.9,56,-4.1
1966,4,4,35.3,19.8,26,-4.6
1966,5,44,40.1,23.2,55,-4.1
1966,6,174,38.4,25.3,167,-2.8
1966,7,341,34.4,24.7,146,-3
1966,8,540,31.6,24.7,118,-2.3
1966,9,155,31.4,22.1,125,-2.6
1966,10,82,31,17.1,97,-2.1
1966,11,11,26.3,10.4,47,-1.6
1966,12,13,21.9,5.8,35,-1.7
1967,1,13,20,5.9,32,-2.1
1967,2,19,26.1,10.5,40,-2.4
1967,3,93,27.9,12.7,93,-1.1
1967,4,4,34.9,18.3,58,-0.9
1967,5,5,39,22.9,26,-1.4
1967,6,81,39.9,26.3,89,-1.6
1967,7,486,33.4,25,129,-1.3
1967,8,588,30.8,24.3,114,0.8
1967,9,197,31.7,22.4,114,-0.2
1967,10,54,30.4,16.5,84,-0.1
1967,11,7,25.7,10.2,42,0.6
1967,12,85,21.6,6.9,48,1.9
1968,1,73,18.7,6.1,47,2.5
1968,2,31,21.3,7.3,48,2.5
1968,3,28,29.2,13.3,72,2.5
1968,4,6,35.3,18.8,76,3.1
1968,5,4,38.9,23.1,44,2.3
1968,6,117,39.4,25.9,126,2.2
1968,7,508,32.8,24.5,135,2.3
1968,8,352,31.7,24.2,119,1.8
1968,9,100,33.8,22.8,112,0.7
1968,10,66,30.4,16.8,87,0.7
1968,11,2,27.6,9.6,42,-0.1
1968,12,26,22,7.3,39,-1
1969,1,30,20.2,7.2,40,-1.2
1969,2,23,23.5,10.4,40,-1.4
1969,3,35,33.6,14.2,66,-1.6
1969,4,13,35,19.7,44,-1.8
1969,5,28,38.1,22.7,42,-1.6
1969,6,65,39.4,26.5,71,-2.2
1969,7,440,33.4,24.6,143,-2.1
1969,8,405,32.4,24.6,108,-1.8
1969,9,377,31.3,22.9,112,1.2
1969,10,6,31.6,18.3,69,-0.8
1969,11,1,28.6,11.2,40,-1.1
1969,12,0,23.4,6.9,24,-1.7
1970,1,85,20.7,7.2,51,-1
1970,2,43,23,8.5,51,-0.6
1970,3,48,28.4,13.7,71,0.2
1970,4,0,37.6,20.1,51,-0.4
1970,5,48,40.3,24.7,66,0.8
1970,6,171,37.6,24.8,154,1.8
1970,7,327,34.4,25,130,1.2
1970,8,434,32,24.5,118,1.1
1970,9,251,32.4,23.7,114,1.2
1970,10,52,32.2,18,82,1
1970,11,0,27.4,9.3,43,0.7
1970,12,0,23.2,7.1,27,-0.7
1971,1,45,19.7,6,46,-0.9
1971,2,37,24.1,9,48,-0.9
1971,3,17,29.7,14.1,56,-1.3
1971,4,18,37.1,19.7,50,-1.3
1971,5,62,37.8,22.7,75,0.9
1971,6,220,36.9,25.6,133,2.7
1971,7,435,32,24.7,123,2.8
1971,8,607,31.2,23.6,99,3.4
1971,9,255,31.9,21.8,117,3.3
1971,10,115,30.9,17.5,101,3.7
1971,11,11,27.1,10.7,49,3.7
