Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 29.8542 North,78.8542 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,81,18,8.2,58,0.3
1958,2,17,19.7,8,47,-0.5
1958,3,40,25.7,13.4,76,-0.7
1958,4,7,31.8,18.2,50,-1.1
1958,5,9,33.4,20.1,25,-1.7
1958,6,83,33.3,22.2,88,-2.4
1958,7,670,26.8,22,114,-1.6
1958,8,520,27.1,21.3,96,-0.8
1958,9,349,25.9,20.2,104,1.6
1958,10,217,25.2,15.6,91,2.8
1958,11,2,22.1,10.7,44,2.6
1958,12,49,18.6,8.1,50,2.8
1959,1,107,16.7,6.5,60,3.3
1959,2,42,18.5,7.3,56,3.1
1959,3,44,26.1,12.9,85,2.9
1959,4,8,30,17,76,2.8
1959,5,41,32.2,20.4,59,2.5
1959,6,106,32.5,22.3,111,1.8
1959,7,624,26.6,21.4,123,2
1959,8,322,26.9,21.7,103,1.4
1959,9,265,26.3,20.8,98,1.4
1959,10,138,26,16.6,91,1.8
1959,11,14,21.7,9.6,50,2.1
1959,12,0,19.3,7.4,32,1.3
1960,1,91,16.1,5.8,61,1.6
1960,2,0,23.3,10.5,41,-0.9
1960,3,78,23.7,11.8,88,0.3
1960,4,8,28.9,15.6,48,-0.9
1960,5,16,33.8,20.6,32,-1.4
1960,6,94,33.4,22.1,99,-1.9
1960,7,575,27.4,21.3,111,-1.4
1960,8,425,26.7,21.8,101,-1.2
1960,9,188,27.4,20.2,105,-1.5
1960,10,261,25.5,15,101,1.8
1960,11,0,22.3,8,47,1.6
1960,12,17,19,7.5,37,1.2
1961,1,126,17.2,6.7,54,2
1961,2,110,17.4,6.6,62,3.1
1961,3,8,25.4,13.4,69,2.4
1961,4,8,29.9,16.2,76,2.5
1961,5,21,32.7,20,40,1.9
1961,6,159,32.5,21.5,142,1.9
1961,7,494,27.7,21.7,116,1.7
1961,8,541,26.7,21.4,102,2.2
1961,9,197,26.7,20.4,97,1.7
1961,10,250,25.3,15.8,89,3.2
1961,11,2,19.2,9.9,41,3
1961,12,48,16,5,47,3.2
1962,1,145,16.2,5.6,53,4.4
1962,2,53,20,8.9,57,4.3
1962,3,57,24.5,12.5,82,4.3
1962,4,11,30.5,17,80,4.9
1962,5,23,32.7,19.9,59,4.3
1962,6,153,33,21.8,150,3.9
1962,7,456,28.5,22.2,127,3.3
1962,8,371,27.8,21.2,98,2.8
1962,9,428,26.1,19.7,102,3.7
1962,10,2,25.8,15.2,61,2.6
1962,11,7,21.6,10.6,37,2
1962,12,29,17.4,6.9,37,1.7
1963,1,27,17.8,5.1,40,0.7
1963,2,33,22.1,9,45,-2
1963,3,114,24.3,11.9,109,-1.3
1963,4,16,28.8,16.1,37,-1.6
1963,5,37,31.7,18.7,47,-1.6
1963,6,145,32.1,21.6,142,-1.5
1963,7,374,29.2,22.2,120,-1.9
1963,8,514,26.6,21.2,106,-1.2
1963,9,399,26.2,19.4,105,1.4
1963,10,37,26.9,16.2,77,0.8
1963,11,20,22,11.8,47,1
1963,12,44,19.2,6.3,49,1.1
1964,1,32,15.6,5.9,44,-0.5
1964,2,14,19.5,8.3,36,-1.2
1964,3,29,26.7,13.6,58,-1.9
1964,4,6,30.6,17.3,20,-2.6
1964,5,49,31.3,17.6,54,-2.3
1964,6,76,32.4,21.8,78,-3
1964,7,763,26.4,20.5,116,-1.8
1964,8,399,27.7,21.2,108,-1.7
1964,9,349,26.2,19.8,104,-0.8
1964,10,1,26.6,15.5,64,-1.5
1964,11,4,22.1,8.7,37,-1.8
1964,12,29,18.2,7.5,39,-1.9
1965,1,39,19.3,7.7,46,-2.4
1965,2,82,18.8,8.1,68,-1.8
1965,3,56,24.2,11.2,73,-1.8
1965,4,20,27.7,14.9,41,-2
1965,5,23,31.5,19.1,33,-2.2
1965,6,44,33.4,22.6,49,-3.4
1965,7,473,27.9,21,126,-3.2
1965,8,322,27.3,20.4,112,-3.3
1965,9,146,27,19.3,115,-3.7
1965,10,70,26.4,15.9,86,-3.5
1965,11,3,22.9,10.9,45,-3.1
1965,12,1,18.7,5.9,30,-3.5
1966,1,10,19.4,5.3,32,-4.2
1966,2,55,22.2,10,58,-3.9
1966,3,25,25.3,12.4,50,-4.4
1966,4,4,29.7,17,16,-4.9
1966,5,48,33.7,19,53,-4.4
1966,6,196,32,20.6,153,-3.4
1966,7,429,29.4,20.8,132,-3.3
1966,8,513,27.3,21.1,107,-2.4
1966,9,153,26.8,18.8,114,-2.8
1966,10,92,26.3,14.8,96,-2.5
1966,11,11,21.8,9.3,47,-1.9
1966,12,14,18.7,5.5,36,-2
1967,1,30,17,5.3,43,-2.3
1967,2,26,22.6,9.2,44,-2.6
1967,3,111,23.6,10.9,99,-1.4
1967,4,6,29.1,15.4,50,-1.3
1967,5,7,32.6,18.6,23,-1.8
1967,6,124,33.4,21.5,126,-1.9
1967,7,517,28.3,20.8,119,-1.7
1967,8,554,26.3,20.7,106,-0.9
1967,9,210,27,18.8,105,-1
1967,10,40,25.7,14.2,76,-1.3
1967,11,5,20.9,9,39,-1.3
1967,12,80,18.1,6.6,50,1
1968,1,114,15.5,5.3,54,1.9
1968,2,39,17.8,6.1,52,1.8
1968,3,39,24.9,11.4,76,1.8
1968,4,9,29.4,15.7,78,2.2
1968,5,5,32.5,18.9,29,1.2
1968,6,168,32.7,20.9,152,1.4
1968,7,535,27.7,20.3,123,1.3
1968,8,344,27.2,20.6,110,0.9
1968,9,148,29.1,19.2,109,-1.2
1968,10,67,25.6,14.5,86,-1.2
1968,11,2,22.8,8.6,43,-1.1
1968,12,27,18.5,7,40,-1.1
1969,1,51,16.9,6.5,53,-1.2
1969,2,29,20,9.3,44,-1.5
1969,3,45,29.5,12.6,71,-1.8
1969,4,15,29.2,16.6,37,-2
1969,5,31,31.5,18.4,41,-1.9
1969,6,92,32.9,21.8,94,-2.5
1969,7,518,28.3,20.3,129,-2.3
1969,8,418,27.7,20.8,101,-2
1969,9,467,26.3,19.3,101,1.5
1969,10,9,26.9,15.9,66,0.6
1969,11,1,23.9,10.2,38,-1.1
1969,12,1,20.1,6.5,23,-1.8
1970,1,110,17.4,6.3,57,-1.1
1970,2,49,19.3,7,55,-1
1970,3,50,24.1,12.1,72,-1
1970,4,1,31.8,16.9,39,-1.4
1970,5,65,33.6,20.3,77,-0.7
1970,6,206,31.1,20,144,1.3
1970,7,353,29.3,20.8,117,0.8
1970,8,419,27.5,20.8,110,0.8
1970,9,228,27.5,20,104,-0.1
1970,10,96,27.6,15.5,94,0.6
1970,11,0,22.8,8.4,45,0
1970,12,0,19.8,6.8,29,-0.8
1971,1,67,16.5,5.2,58,-0.7
1971,2,51,20.4,7.7,56,-0.6
1971,3,32,25.4,12.4,66,-0.9
1971,4,24,31,16.4,53,-0.9
1971,5,71,31,18.3,81,0.8
1971,6,291,30.2,20.8,117,2.7
1971,7,524,26.9,20.7,116,3.1
1971,8,543,26.7,19.9,95,3.4
1971,9,332,27.1,18.1,108,3.6
1971,10,209,26.2,15.2,94,4.5
1971,11,9,22.4,9.6,47,4.3
1971,12,1,20.6,6.6,32,3.3
1972,1,28,18.5,7.3,41,2.4
1972,2,62,17.9,6.4,61,2.3
1972,3,23,26.4,12.8,57,1.5
1972,4,16,29.1,14.8,41,1
1972,5,4,34.9,19.7,16,-2.2
1972,6,84,33.4,21.7,88,-2.8
1972,7,525,29.4,20.8,129,-2.6
1972,8,366,27.5,20.3,117,-2.5
1972,9,362,26.3,18.2,103,-1.5
1972,10,95,25.3,14.9,93,-1.3
1972,11,11,21.4,10.5,45,-0.8
1972,12,11,18.7,7.9,36,-1
1973,1,98,16.5,6.8,56,1.1
1973,2,49,21,8.6,57,1.1
1973,3,49,24.6,11.8,79,1.1
1973,4,2,32.5,17.2,64,1.1
1973,5,33,33.8,19.6,51,0.8
1973,6,254,32.1,21.2,150,2
1973,7,345,28.4,20.9,121,1.5
1973,8,430,26.8,20.3,106,1.5
1973,9,214,27.5,19.5,100,1.1
1973,10,245,25.4,14.9,95,2.7
1973,11,1,22.3,9,44,2.4
1973,12,14,17,5.5,36,1.9
1974,1,24,16.8,5.9,39,1.1
1974,2,22,18.8,7.3,40,-1.3
1974,3,26,26.6,13.9,56,-1.8
1974,4,4,32.3,17,23,-2.5
1974,5,25,32.8,19.2,34,-2.6
1974,6,112,31.2,20.6,113,-2.7
1974,7,485,27.6,20.4,118,-2.6
1974,8,296,27.8,20.5,105,-2.8
1974,9,96,27.8,18.5,97,-3.4
1974,10,67,26.7,15.8,84,-3.3
1974,11,0,21.4,8.6,41,-3
1974,12,44,16.5,5.7,47,-2.4
1975,1,129,15.1,5,57,-1.1
1975,2,47,18.5,7,57,-0.8
1975,3,52,23.8,11.5,84,1.5
1975,4,0,29.8,16.1,78,1.9
1975,5,15,33.6,19.6,35,1.1
1975,6,249,30.5,20.3,167,2
1975,7,463,26.7,19.7,118,1.9
1975,8,433,26.5,20.5,95,1.9
1975,9,398,25.2,19.4,113,2.6
1975,10,142,26.7,16,98,2.9
1975,11,0,21.3,8.2,46,2.6
1975,12,0,19.1,6.6,28,1.8
1976,1,17,17.7,6.9,35,0.8
1976,2,79,19.4,8.7,66,1.1
1976,3,28,23.7,12.3,61,0.6
1976,4,13,29.2,15.2,40,-1.5
1976,5,45,32.5,18.4,56,-1.2
1976,6,155,29.7,20.2,148,-1
1976,7,481,27.8,21.1,122,-1
1976,8,536,25.7,19.8,107,0.6
1976,9,147,27.5,17.6,95,-0.6
1976,10,37,27.1,14.4,73,-0.9
1976,11,1,23.7,10.5,41,-1.1
1976,12,5,18.6,7,28,-1.6
1977,1,85,16.6,6.8,56,-1.3
1977,2,5,20.4,7.3,32,-1.9
1977,3,5,27.6,12.8,43,-2.8
1977,4,31,29.5,16.1,45,-2.8
1977,5,57,30,17.3,63,-2.2
1977,6,135,30,20.8,134,-2.2
1977,7,656,26.3,20.5,122,-1.5
1977,8,277,27,20.7,104,-1.9
1977,9,257,25.7,19.2,109,-1.7
1977,10,70,26.4,15.3,88,-1.7
1977,11,1,23.6,11,42,-1.6
1977,12,49,18.5,7.4,52,-1.1
1978,1,17,16.3,5.3,36,-1.7
1978,2,63,18.4,7.7,62,-1.4
1978,3,132,21.8,10.2,110,1.3
1978,4,13,30.1,15.5,70,1.7
1978,5,12,35.9,21,30,0.9
1978,6,192,32.3,21.2,167,1.3
1978,7,437,26.5,20.5,117,1
1978,8,477,26.2,20.9,103,1.2
1978,9,354,25.8,19.5,102,1.8
1978,10,17,26.5,15.4,66,1
1978,11,19,19.8,10.6,43,1.1
1978,12,22,18.8,6.6,35,0.8
1979,1,76,16.8,6,59,0.8
1979,2,99,17.4,6.7,63,1.6
1979,3,55,22,11.3,81,1.6
1979,4,16,30.6,17.2,74,1.8
1979,5,50,31.4,18.5,67,1.9
1979,6,122,32.1,20.9,123,1.4
1979,7,378,28,20.6,128,0.7
1979,8,234,28.7,20.7,129,-1.6
1979,9,76,27,18.5,102,-2.4
1979,10,20,26.8,16.2,65,-2.8
1979,11,16,22.2,12.5,40,-2.7
1979,12,41,18.6,7.7,45,-2.4
1980,1,20,17,6.4,35,-3.1
1980,2,35,20.9,9.1,45,-3.3
1980,3,86,23.5,11.7,88,-2.9
1980,4,5,32.1,17.2,20,-3.4
1980,5,23,34.8,21.4,30,-3.6
1980,6,200,31.2,20.9,152,-2.6
1980,7,811,26.5,21,123,-1.1
1980,8,410,27.3,20.6,110,-1
1980,9,257,26.9,19.3,108,-0.9
1980,10,61,25.7,15.8,82,-1
1980,11,6,22.3,9.9,44,-0.8
1980,12,34,19,7.3,43,-0.7
1981,1,93,16,6.6,55,1.4
1981,2,25,20.8,8.8,48,0.9
1981,3,105,23.3,11.7,101,1.6
1981,4,6,30.5,16,72,1.9
1981,5,51,32.7,19.6,69,2
1981,6,183,32.3,21.6,168,2.1
1981,7,599,26.8,20.8,121,2.2
1981,8,257,27.5,21,113,1.3
1981,9,159,27.6,19.4,109,0.6
1981,10,1,25.9,14.6,65,-1.9
1981,11,37,19.7,9.6,51,-1.1
1981,12,12,17.6,6,30,-1.4
1982,1,93,17.2,7.6,58,-1
1982,2,40,17.8,7.7,50,-1
1982,3,159,21.4,10.3,99,1.9
1982,4,39,28.4,15.2,89,3.1
1982,5,70,29.4,17.6,105,4.3
1982,6,113,31.3,20.7,126,3.5
1982,7,388,29.2,21.5,138,2.7
1982,8,472,27.1,20.8,105,2.7
1982,9,89,27.4,18.5,106,1.4
1982,10,55,25.8,15.7,77,1
1982,11,9,21.4,10.7,40,0.9
1982,12,37,18.4,8.2,44,0.8
1983,1,149,16.1,6.1,59,2
1983,2,33,17.8,6.5,52,1.7
1983,3,46,22.8,11.4,77,1.7
1983,4,46,26.3,13.8,88,2.7
1983,5,63,30.4,18.3,95,3.4
1983,6,160,30.1,20.5,156,3.2
1983,7,393,27.6,20.8,128,2.4
1983,8,356,27.2,21.3,92,2
1983,9,398,27.1,19.8,92,2.8
1983,10,195,24.9,14.9,94,3.6
1983,11,2,21.7,8.8,45,3.3
1983,12,25,17.8,7.1,40,3
1984,1,32,15.8,5.8,45,2.2
1984,2,98,17.9,6.9,67,2.8
1984,3,14,27,13.9,69,1.9
1984,4,19,29.8,16.4,55,1.5
1984,5,20,35.4,21,35,0.7
1984,6,196,32.5,22,141,1.3
1984,7,339,25.9,21.1,120,0.8
1984,8,327,27.6,20.4,104,-1.1
1984,9,156,25.5,19,108,-1.6
1984,10,8,25.9,14.6,65,-2.1
1984,11,0,21,9.4,36,-2.4
1984,12,27,18.3,8,37,-2.4
