Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 30.2708 North,78.9792 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,85,18.2,8.6,53,0.3
1958,2,19,20.2,8.3,48,-0.5
1958,3,49,26.1,13.8,80,-0.7
1958,4,12,32.4,18,78,-1.1
1958,5,9,32.9,18.9,31,-1.7
1958,6,55,33,21.5,64,-2.3
1958,7,393,27,21.6,113,-1.4
1958,8,317,26.9,20.7,97,1.4
1958,9,235,26.4,20.1,103,2
1958,10,186,25.7,15.8,92,3.1
1958,11,2,22.2,11.1,42,2.9
1958,12,51,18.7,8.5,50,3.1
1959,1,111,16.9,6.8,56,3.6
1959,2,53,18.8,7.5,60,3.4
1959,3,59,26.4,13.3,91,3.2
1959,4,14,30.6,17.1,93,3.3
1959,5,37,31.8,19.3,70,2.9
1959,6,75,32.6,21.9,87,2.3
1959,7,391,26.6,21,118,2.7
1959,8,212,26.9,21.3,102,2.3
1959,9,185,26.7,20.8,98,2.4
1959,10,127,26.6,16.9,90,2.8
1959,11,14,21.8,10,48,2.9
1959,12,0,19.3,7.8,31,2.1
1960,1,101,16.3,6.2,59,2.4
1960,2,1,23.6,10.7,41,1.3
1960,3,82,24.1,12.1,94,1.3
1960,4,12,29.5,15.5,74,0.9
1960,5,15,33.5,19.5,35,-1.4
1960,6,65,33.3,21.5,73,-1.8
1960,7,360,27.5,20.9,110,-1.2
1960,8,254,26.8,21.4,100,-0.8
1960,9,122,27.8,20.3,104,-1.1
1960,10,189,26.1,15.3,102,1.4
1960,11,0,22.4,8.5,46,1.3
1960,12,19,19.1,8,38,1
1961,1,140,17.5,7.1,52,2
1961,2,117,18,7,63,3
1961,3,16,25.8,13.8,72,2.3
1961,4,12,30.6,16.2,85,2.3
1961,5,19,32.5,19,48,1.6
1961,6,98,32.6,21.1,104,1.6
1961,7,317,27.8,21.3,114,1.4
1961,8,295,26.8,21,102,1.9
1961,9,128,27.3,20.5,95,1.4
1961,10,188,25.9,16.3,90,2.6
1961,11,2,19.5,10.6,39,2.4
1961,12,55,16.1,5.5,48,2.8
1962,1,152,16.4,6.1,51,4.1
1962,2,60,20.5,9.3,59,4
1962,3,70,24.8,12.8,88,3.9
1962,4,18,31.2,16.9,89,4.3
1962,5,24,32.4,18.8,77,3.9
1962,6,97,32.9,21.3,110,3.5
1962,7,279,28.5,21.7,125,2.9
1962,8,224,27.8,20.8,97,2.3
1962,9,297,26.7,19.8,99,3.5
1962,10,2,26.4,15.5,62,2.5
1962,11,8,21.7,11.2,37,2.1
1962,12,34,17.4,7.2,40,1.9
1963,1,23,18,5.4,38,0.9
1963,2,49,22.5,9.2,55,-1.6
1963,3,172,24.6,12.2,112,1.1
1963,4,25,29.5,16,89,1.3
1963,5,37,31.5,17.7,62,1.1
1963,6,84,32.2,21.2,93,0.7
1963,7,237,29.2,21.7,119,-0.6
1963,8,323,26.6,20.8,103,0.2
1963,9,243,26.7,19.5,104,1
1963,10,31,27.6,16.5,75,-0.4
1963,11,19,22.2,12.3,45,0.7
1963,12,41,19.3,6.7,47,0.8
1964,1,39,15.8,6.5,47,-0.4
1964,2,19,20,8.7,40,-1.1
1964,3,39,27.1,13.9,67,-1.7
1964,4,11,31.3,17.2,34,-2.5
1964,5,48,31,16.6,58,-2.3
1964,6,52,32.2,21.2,57,-2.8
1964,7,442,26.6,20.1,115,-1.5
1964,8,245,27.7,20.8,106,-1.2
1964,9,206,26.8,20,103,-0.6
1964,10,1,27.3,15.8,65,-1.3
1964,11,4,22.4,9.3,38,-1.5
1964,12,26,18.3,8.1,38,-1.6
1965,1,41,19.5,8,45,-2
1965,2,100,19.2,8.4,67,-1.3
1965,3,77,24.6,11.5,89,-1.2
1965,4,30,28.4,14.7,75,-1.3
1965,5,25,31.2,17.9,42,-1.5
1965,6,30,33.2,21.9,39,-2.5
1965,7,290,28,20.5,125,-2.5
1965,8,205,27,19.8,110,-2.7
1965,9,79,27.4,19.3,100,-3.3
1965,10,80,27,16.2,89,-2.9
1965,11,3,23.1,11.4,41,-2.6
1965,12,1,18.9,6.4,29,-3.1
1966,1,10,19.6,5.5,30,-3.8
1966,2,64,22.6,10.1,62,-3.5
1966,3,42,25.6,12.8,66,-3.8
1966,4,9,30.1,16.9,27,-4.5
1966,5,40,33.3,17.7,48,-4.3
1966,6,129,32.1,20.1,127,-3.4
1966,7,255,29.3,20.1,129,-3.6
1966,8,326,27.2,20.6,105,-3
1966,9,99,27.1,18.7,105,-3.4
1966,10,84,26.7,14.9,93,-2.9
1966,11,11,22,9.4,45,-2.3
1966,12,16,18.7,6,36,-2.4
1967,1,31,17.2,5.6,42,-2.6
1967,2,37,22.9,9.4,48,-2.8
1967,3,127,24.1,11.1,101,-1.7
1967,4,11,29.8,15.3,72,-1.5
1967,5,7,32.1,17.4,28,-2
1967,6,80,33.4,20.9,87,-2.1
1967,7,311,28.5,20.5,118,-1.9
1967,8,309,26.3,20.2,105,-1.1
1967,9,124,27.6,18.8,105,-1.4
1967,10,36,26.1,14.3,76,-1.6
1967,11,4,21.1,9.4,38,-1.5
1967,12,70,18.1,7,49,-0.6
1968,1,105,15.8,5.5,52,1.4
1968,2,49,18.1,6.2,56,1.4
1968,3,48,25.4,11.8,80,1.2
1968,4,15,30.1,15.7,85,1.4
1968,5,4,32.1,17.7,38,0.6
1968,6,108,32.8,20.5,114,0.7
1968,7,336,27.8,20,122,0.8
1968,8,221,27,20.1,108,0.6
1968,9,94,29.4,19.1,101,-0.7
1968,10,57,26.1,14.7,82,-1
1968,11,2,22.9,8.9,39,-1
1968,12,31,18.6,7.5,41,-0.9
1969,1,52,17.2,6.9,52,-1.1
1969,2,32,20.4,9.5,45,-1.4
1969,3,58,29.8,12.9,78,-1.6
1969,4,34,29.7,16.4,64,-1.8
1969,5,32,31.3,17.3,45,-1.8
1969,6,55,32.7,21.1,61,-2.3
1969,7,309,28.4,19.9,127,-2.2
1969,8,289,27.7,20.3,102,-1.6
1969,9,314,26.7,19.3,102,2
1969,10,13,27.3,16.1,67,1.2
1969,11,1,24.1,10.7,37,0.7
1969,12,1,20.2,7,25,-1.5
1970,1,106,17.7,6.7,54,-0.9
1970,2,47,20,7.3,55,-1
1970,3,51,24.6,12.4,75,-1.1
1970,4,1,32.5,16.8,49,-1.8
1970,5,59,33.5,19.2,75,-1.3
1970,6,132,31.3,19.6,129,-0.6
1970,7,230,29.4,20.3,117,-1.2
1970,8,266,27.5,20.2,108,-1.4
1970,9,151,28.1,20.1,103,-1.3
1970,10,78,28.1,15.6,88,-1.1
1970,11,0,22.9,8.7,43,-1
1970,12,0,19.9,7.3,28,-1.5
1971,1,63,16.8,5.5,57,-1.4
1971,2,58,20.8,8,60,-1.3
1971,3,39,25.8,12.7,70,-1.6
1971,4,39,31.8,16.4,75,-1.6
1971,5,85,31,17.5,97,-0.6
1971,6,195,30.5,20.5,116,2.4
1971,7,319,27,20.3,117,2.8
1971,8,339,26.8,19.4,97,3.5
1971,9,206,27.6,18,109,3.5
1971,10,176,26.8,15.4,95,4.3
1971,11,9,22.6,10.1,46,4.1
1971,12,1,20.8,7,31,3.2
1972,1,32,18.9,7.9,42,2.4
1972,2,66,18.4,6.6,64,2.3
1972,3,31,26.8,13.1,64,1.5
1972,4,26,29.8,14.7,65,1.1
1972,5,7,34.5,18.4,23,-2
1972,6,55,33.2,21.1,62,-2.5
1972,7,312,29.4,20.1,128,-2.4
1972,8,219,27.5,19.8,115,-2.4
1972,9,270,26.6,18.3,104,-1
1972,10,102,25.6,15.2,96,-0.6
1972,11,13,21.3,11,45,1.6
1972,12,13,18.7,8.4,36,1.2
1973,1,97,16.7,7.3,54,1.6
1973,2,51,21.5,8.8,58,1.5
1973,3,61,25,12.2,87,1.4
1973,4,3,33.1,17,82,1.3
1973,5,35,33.6,18.5,60,0.9
1973,6,191,32.2,20.8,148,2.2
1973,7,225,28.5,20.4,121,1.6
1973,8,276,26.7,19.9,103,1.5
1973,9,131,28.1,19.6,99,1
1973,10,205,25.9,15.1,96,2.4
1973,11,1,22.4,9.4,43,2.2
1973,12,16,17.1,5.9,38,1.8
1974,1,30,16.9,6.3,42,1.1
1974,2,30,19.3,7.6,45,-1.1
1974,3,32,26.9,14.3,64,-1.6
1974,4,6,32.9,16.8,38,-2.3
1974,5,32,32.5,18,45,-2.4
1974,6,82,31.1,20,86,-2.3
1974,7,277,27.6,19.9,119,-2.4
1974,8,194,27.7,19.9,102,-2.7
1974,9,77,28,18.3,89,-3.2
1974,10,44,27.2,16,75,-3.1
1974,11,0,21.4,9,37,-3.1
1974,12,43,16.4,6.1,46,-2.6
1975,1,135,15.2,5.3,54,-1.3
1975,2,56,18.9,7.1,60,-1.1
1975,3,73,24.1,11.7,93,-0.7
1975,4,1,30.3,15.9,82,1.4
1975,5,15,33.2,18.3,46,0.7
1975,6,155,30.6,19.9,150,1.4
1975,7,264,26.7,19.1,116,0.9
1975,8,288,26.5,20,96,1
1975,9,251,25.8,19.5,114,1.8
1975,10,120,27.3,16.1,98,2.1
1975,11,0,21.3,8.5,45,1.9
1975,12,0,19.1,7,28,1.2
1976,1,24,17.9,7.2,37,-1.1
1976,2,92,19.8,8.9,65,0.5
1976,3,33,24.1,12.5,70,-0.5
1976,4,20,29.8,15.1,68,-0.8
1976,5,41,32.2,17.3,58,-0.8
1976,6,138,29.7,19.7,134,0.6
1976,7,286,27.9,20.5,120,-0.2
1976,8,335,25.6,19.3,105,1
1976,9,88,27.8,17.5,90,-0.7
1976,10,34,27.5,14.5,71,-0.9
1976,11,0,23.8,10.9,38,-1.1
1976,12,5,18.6,7.4,27,-1.5
1977,1,91,16.9,7.3,53,-1.1
1977,2,7,20.9,7.4,35,-1.8
1977,3,7,28,13.1,47,-2.6
1977,4,50,30.2,16,72,-2.6
1977,5,58,29.8,16.3,67,-2.2
1977,6,121,30,20.4,122,-1.7
1977,7,387,26.5,20.2,122,-1.1
1977,8,182,26.9,20.3,103,-1.3
1977,9,163,26.2,19.3,110,-1.2
1977,10,48,26.9,15.5,82,-1.3
1977,11,1,23.8,11.3,39,-1.3
1977,12,51,18.4,7.8,52,-0.9
1978,1,18,16.4,5.7,35,-1.5
1978,2,68,18.9,8,66,-1.3
1978,3,156,22.3,10.5,114,1.1
1978,4,22,30.8,15.3,82,1.4
1978,5,12,35.6,19.8,47,0.9
1978,6,123,32.5,20.9,128,1.2
