Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 30.7292 North,78.4375 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,85,15.9,7.1,47,0.2
1958,2,20,17.6,6.9,47,-0.6
1958,3,56,23.5,12.4,77,-0.8
1958,4,18,29.7,17.1,76,-1.4
1958,5,10,29.8,17.4,26,-2
1958,6,52,30.7,20.3,58,-2.6
1958,7,583,25.3,20.5,111,-1.6
1958,8,497,25.1,19.6,95,-1.1
1958,9,408,24.6,18.7,102,2.2
1958,10,167,23.3,14.3,89,3.3
1958,11,2,20.5,10.3,40,3
1958,12,69,17.2,7.8,49,3.4
1959,1,133,14.4,5.1,52,4.2
1959,2,53,16,6.1,59,3.8
1959,3,70,23.7,11.9,87,3.6
1959,4,22,27.7,16,92,3.5
1959,5,41,28.6,17.8,62,3
1959,6,68,30.4,20.6,75,2.2
1959,7,580,24.8,19.9,113,2.7
1959,8,381,25.2,20,99,2.2
1959,9,297,25.1,19.3,98,2.5
1959,10,119,24.3,15.5,89,2.9
1959,11,16,20.1,9.4,47,3
1959,12,1,17.7,7.1,30,2.1
1960,1,139,13.9,4.6,55,2.8
1960,2,0,20.8,9.4,36,1.8
1960,3,100,21.4,10.7,104,1.9
1960,4,17,26.5,14.5,81,1.5
1960,5,15,30.3,18.1,32,0.6
1960,6,72,31.1,20.3,78,-1.6
1960,7,522,25.6,19.9,110,-1
1960,8,448,25.1,20.3,96,-0.7
1960,9,176,26,19.1,103,-1
1960,10,134,23.6,13.8,99,0.8
1960,11,0,20.3,8.1,45,0
1960,12,33,17.5,7.1,42,0
1961,1,160,15.1,5.6,48,1.9
1961,2,134,15.4,5.7,64,3.1
1961,3,26,23.1,12.4,70,2.3
1961,4,23,27.5,15.1,85,2
1961,5,19,29.4,17.5,37,1.2
1961,6,96,30.5,20,101,1.1
1961,7,438,26,20.2,111,1
1961,8,498,25,19.8,98,1.3
1961,9,197,25.6,19.3,94,1
1961,10,151,23.7,14.8,90,2
1961,11,4,17.8,9.8,39,1.8
1961,12,74,14.7,5,47,2.5
1962,1,185,14,4.7,49,4.3
1962,2,66,17.9,7.9,57,4.2
1962,3,73,22.2,11.5,88,4
1962,4,24,28.3,16,88,4
1962,5,22,29.2,17.3,54,3.3
1962,6,88,30.5,20,97,2.7
1962,7,406,26.7,20.7,118,2.3
1962,8,338,26,19.7,93,1.7
1962,9,515,24.8,18.6,98,3.7
1962,10,2,23.8,14.1,60,2.5
1962,11,14,19.9,10.4,38,2.2
1962,12,44,15.9,6.5,45,2
1963,1,23,15.4,4,35,0.9
1963,2,59,19.6,7.8,57,0.6
1963,3,195,22,10.9,109,1.7
1963,4,35,26.6,15,99,2
1963,5,36,28.3,16.2,64,1.6
1963,6,73,30.1,20.1,82,1.1
1963,7,339,27.3,20.8,118,-0.5
1963,8,523,24.8,19.6,98,0.5
1963,9,337,25,18.2,101,1.2
1963,10,20,25,15,69,0.6
1963,11,23,20.6,11.5,44,0.7
1963,12,48,17.8,6.1,50,0.7
1964,1,48,13.3,4.8,52,-0.5
1964,2,23,17.2,7.2,39,-1.3
1964,3,41,24.3,12.5,59,-2.1
1964,4,19,28.3,16.2,31,-3
1964,5,58,28,15.1,62,-2.7
1964,6,49,29.8,19.8,51,-3.2
1964,7,625,24.6,19,114,-2
1964,8,457,25.9,19.6,103,-1.7
1964,9,298,25,18.8,102,-1
