Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 23.2292 North,87.8542 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,8,28.3,13.6,41,0.6
1958,2,26,29.5,15.6,53,0.9
1958,3,5,35.5,19,52,0.6
1958,4,32,38.9,24.9,51,-0.2
1958,5,62,36.5,28.9,71,-0.9
1958,6,89,37.1,27.3,92,-2.4
1958,7,254,32.7,26.2,116,-2.8
1958,8,308,32,25.8,119,-2.8
1958,9,181,32.6,25.5,97,-2.8
1958,10,89,31.7,24.1,95,-2.5
1958,11,6,28.6,17.8,49,-2.4
1958,12,0,27,14.5,38,-2.1
1959,1,28,26.4,12.9,47,-1.2
1959,2,8,28.9,14.3,45,-1.1
1959,3,13,34,18.7,60,-1.1
1959,4,36,38,24.7,56,-0.9
1959,5,102,35.8,27.9,109,0.4
1959,6,208,34.4,26,150,-0.2
1959,7,224,31.8,26,114,-0.8
1959,8,368,31.9,25.9,111,0.7
1959,9,355,31.2,25.1,93,2.4
1959,10,288,29.8,23.6,93,5.3
1959,11,0,27.6,16.2,50,4.5
1959,12,0,25.9,13.2,35,4.1
1960,1,0,26.1,11.6,34,3.5
1960,2,0,31.8,15.8,38,2.7
1960,3,21,32.5,18.2,59,2.6
1960,4,1,39.9,24.8,23,1.4
1960,5,68,36,28.4,77,1
1960,6,93,35.3,26.5,96,-2.8
1960,7,423,31.2,25.6,120,-1.7
1960,8,238,32.1,26.3,118,-1.4
1960,9,246,31.6,25.8,93,-0.7
1960,10,67,31.1,23,93,-1
1960,11,5,27.6,15.7,48,-1.2
1960,12,0,27,12.9,31,-1.2
1961,1,19,26.5,12.9,40,-0.8
1961,2,39,26.6,14,58,1.2
1961,3,6,34.4,21.4,56,0.9
1961,4,11,38.9,24.8,32,-0.6
1961,5,86,35.4,27.9,94,0.2
1961,6,240,34,25.7,131,0.6
1961,7,132,32.1,25.8,122,-1.4
