Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 23.8542 North,87.6042 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,9,28,13.1,41,0.6
1958,2,20,29.2,14.9,48,0.9
1958,3,3,35.7,18.3,34,0.6
1958,4,19,39.4,24.2,33,-0.1
1958,5,49,38.4,27.2,55,-0.7
1958,6,96,37.4,27.2,97,-2.2
1958,7,314,33,26.1,116,-2.6
1958,8,434,32,25.6,118,-1.1
1958,9,165,32.5,25.2,98,-1.2
1958,10,118,31.8,23.2,107,-0.9
1958,11,4,28.7,16.6,50,-0.8
1958,12,0,26.9,13.6,38,-0.6
1959,1,28,26.1,12.4,48,1.5
1959,2,4,28.6,13.8,42,1.4
1959,3,9,34.1,18.1,40,1.1
1959,4,20,38.4,24.1,34,1
1959,5,62,37.6,26.3,68,1
1959,6,201,34.6,25.9,151,0.6
1959,7,274,32.1,26,115,-0.7
1959,8,414,32,25.8,113,1.3
1959,9,281,31.2,24.7,96,2.6
1959,10,318,29.9,22.8,96,5.6
1959,11,0,28,15.4,49,4.8
1959,12,0,25.9,12.5,36,4.4
1960,1,1,26,11,33,3.7
1960,2,0,31.6,15.2,36,3.1
1960,3,14,32.6,17.6,40,2.8
1960,4,1,40.5,23.9,14,1.7
1960,5,43,37.7,26.7,50,1.1
1960,6,110,35.5,26.2,110,-2.6
1960,7,437,31.5,25.5,120,-2.1
1960,8,252,32.2,26.1,121,-2.2
1960,9,211,31.6,25.3,96,-1.5
1960,10,75,31.2,22.1,98,-1.8
1960,11,3,27.8,14.5,47,-1.8
1960,12,0,27,12.2,30,-1.7
1961,1,21,26.4,12.4,41,-1.3
1961,2,38,26.4,13.4,57,1.3
1961,3,3,34.7,20.5,35,1
1961,4,6,39.5,24,21,-0.5
1961,5,64,37.2,26.2,70,0.6
1961,6,245,34.1,25.4,135,0.8
1961,7,166,32.3,25.7,122,-1.1
1961,8,357,32.2,26,114,-0.8
1961,9,177,31.8,25,101,-0.8
1961,10,127,30.8,21.9,103,0.4
1961,11,1,27.4,14.6,50,-0.1
1961,12,0,24.6,9.9,35,0.1
1962,1,13,25.3,9.8,39,0.2
1962,2,8,29.3,14.3,38,0.6
1962,3,2,35.3,17.4,35,-0.2
1962,4,20,38.4,23.4,35,0
1962,5,52,36.6,25.4,59,-0.1
1962,6,191,34.5,25.7,126,-0.1
1962,7,237,33.1,26.2,126,-1.2
1962,8,359,31.9,25.5,117,-0.8
1962,9,133,32.4,25.2,110,-1.5
1962,10,105,30.5,21.5,104,-1.3
1962,11,0,28.6,14.7,49,-1.4
1962,12,0,26.4,11.9,35,-1.1
1963,1,1,25.9,10.1,36,-1.2
1963,2,1,31.6,14.6,36,-1.3
1963,3,14,34.6,17.9,38,-1.4
1963,4,44,37.7,22.2,55,-0.7
1963,5,50,35.6,24.5,56,-0.8
1963,6,301,34.3,25.5,145,1.1
1963,7,320,32.3,26,109,1.4
1963,8,162,32.3,25.9,125,-1.2
1963,9,212,32.8,25.4,114,-0.9
1963,10,204,31.2,22.1,111,1.6
1963,11,22,28.9,16.3,61,2
1963,12,0,26.9,13,41,2
1964,1,1,26,11.6,40,1.6
1964,2,4,29.9,14.9,43,1.3
1964,3,7,35.7,19.9,30,0.7
1964,4,49,37.7,23.6,59,1.2
1964,5,62,36.4,25.2,66,1
1964,6,170,35.4,26.2,161,-0.7
1964,7,399,31.4,25.1,127,-0.8
1964,8,230,32.2,25.9,126,-1.3
1964,9,133,32.3,25.4,112,-2
1964,10,152,30.7,23.1,102,-1
1964,11,10,28.3,16.4,58,-0.8
1964,12,0,26.7,12.8,41,-0.6
1965,1,0,26.7,12.3,37,-0.9
1965,2,11,29.4,14.1,43,-0.8
1965,3,23,33.6,16.6,46,-0.6
1965,4,16,37.7,23.1,28,-0.8
1965,5,29,37.8,26.5,35,-1.6
1965,6,216,35.6,26.4,155,-1.6
1965,7,295,31.9,25.4,125,-2
1965,8,430,31.5,25.3,119,1.5
1965,9,206,32.1,25.1,108,1.6
1965,10,68,31.1,21.9,95,0.9
1965,11,3,29.3,16,52,-0.3
1965,12,1,25.4,12.4,38,-1
1966,1,43,25.4,11.9,54,0.9
1966,2,1,31.1,15.4,34,-0.3
1966,3,4,35.1,18.3,25,-0.9
1966,4,7,39.8,24,19,-1.4
1966,5,30,38.4,26.8,36,-2.3
1966,6,209,35,26,162,-2.3
1966,7,152,32.8,25.7,131,-3.5
1966,8,313,32,25.5,125,-4.5
1966,9,106,31.9,24.8,113,-5.2
1966,10,68,30.4,20.9,96,-5.3
1966,11,22,28.7,16.9,55,-4.5
1966,12,3,25.5,12,35,-4.1
1967,1,18,25.8,12.3,40,-3.5
1967,2,1,30.7,14.8,33,-3.4
1967,3,48,32.2,17.8,66,-2.1
1967,4,37,37.3,21.1,46,-1.6
1967,5,28,37.2,25.7,34,-2.2
1967,6,171,35.8,25.9,163,-2.7
1967,7,274,32.6,25.8,126,-3.3
1967,8,341,31.9,25.4,117,-3.1
1967,9,160,31.6,24.7,105,-3.1
1967,10,67,30.9,21.2,94,-3.3
1967,11,0,28.2,13.9,46,-3.3
1967,12,1,27,13.1,32,-3.1
1968,1,12,25.7,11.5,37,-2.9
1968,2,5,28.5,13.3,32,-2.7
1968,3,11,34.3,18.5,33,-2.7
1968,4,11,37.9,23,23,-2.8
1968,5,32,37.9,26.2,38,-3.3
1968,6,417,32.8,24.6,119,-0.8
1968,7,410,31.6,25.7,123,3.6
1968,8,349,32.2,25.6,126,3.9
1968,9,93,33,25.7,110,2.1
1968,10,123,30.6,21.7,111,2
1968,11,14,28.3,16.1,53,2
1968,12,0,27.1,13.1,37,1.9
1969,1,7,26.1,10.5,38,1.7
1969,2,2,30.2,14.5,35,1.3
1969,3,20,35.4,19.6,43,1.2
1969,4,32,38.9,23.4,44,1.3
1969,5,79,37,25.2,83,1.8
1969,6,156,35.1,26.1,144,1
1969,7,279,32.1,25.8,117,-1.4
1969,8,440,31.1,25,118,1.1
1969,9,242,31.9,25,100,1.8
1969,10,67,30.9,21.6,97,1.1
1969,11,33,28.9,16.3,57,1.7
1969,12,0,26.3,12.4,34,1.5
1970,1,20,25.5,11.9,42,1.7
1970,2,6,29.1,14.5,37,1.6
1970,3,15,33.7,19.1,43,1.5
1970,4,6,39,23.8,20,0.8
1970,5,28,38,26.5,35,-1.4
1970,6,257,34.1,25.2,138,-0.8
1970,7,363,32.2,25.6,124,0.5
1970,8,248,32.1,25.8,123,-0.4
1970,9,302,31.4,25.1,104,2
1970,10,204,30.5,21.9,108,3.2
1970,11,8,28.1,15.4,55,3
1970,12,0,26.1,11.1,35,2.8
1971,1,36,25,11.9,51,3.4
1971,2,11,27.9,13.2,43,3.5
1971,3,1,34,17.2,41,3.1
1971,4,75,35,21.9,88,4.5
1971,5,56,35.1,24.3,64,4.2
1971,6,317,32.9,24.7,131,4.9
1971,7,470,31,24.9,118,6.3
1971,8,524,30.5,24.7,106,8.2
1971,9,219,31.9,24.7,107,7.8
1971,10,104,30.5,22,103,7
1971,11,21,27.4,14.9,55,6.8
1971,12,0,26.5,11.8,37,6.4
1972,1,5,26.2,11.3,35,5.8
1972,2,22,26.2,12.1,50,5.8
1972,3,2,34.3,18.4,39,5.3
1972,4,8,38.6,22.4,24,4.3
1972,5,13,38.5,26.8,22,2.6
1972,6,99,36.1,25.8,101,0.8
1972,7,190,33,25.9,130,-4.1
1972,8,398,31.5,25,123,-4.2
1972,9,117,32.8,24.7,117,-4.9
1972,10,59,31.4,21,91,-5
1972,11,2,28.5,15.2,45,-4.9
1972,12,0,26.4,11.8,34,-4.7
1973,1,4,26.5,11.5,32,-4.5
1973,2,9,30.1,15.3,35,-4.3
1973,3,17,32.9,17.1,34,-3.9
1973,4,13,38.8,24.1,22,-4
1973,5,81,35.3,24.6,84,-2.9
1973,6,352,34,24.7,136,-1.2
1973,7,265,32.5,25.8,123,-0.9
1973,8,258,32,25.3,119,-1
1973,9,335,31.4,25,98,3.6
1973,10,152,30.3,22.3,105,4
1973,11,19,27.3,17,57,4
1973,12,11,24.8,12.9,43,4.3
1974,1,2,24.9,10.7,36,3.8
1974,2,0,28.7,12.9,37,3.3
1974,3,53,33.2,18.6,75,4.4
1974,4,19,36.8,23.6,37,3.8
1974,5,61,36.1,25.3,68,3.6
1974,6,117,35.1,25.5,117,2.2
1974,7,381,31.4,25,123,1.8
1974,8,267,32,25.5,118,1.4
1974,9,263,31.8,24.3,98,2.5
1974,10,122,31.9,23.2,108,2.5
1974,11,0,28.6,16.9,53,2
1974,12,1,24.6,10.6,34,1.9
1975,1,10,25.6,11.3,41,1.7
1975,2,7,28.9,14.4,44,1.6
1975,3,7,34.8,18.6,33,1
1975,4,9,39,23.6,22,-0.6
1975,5,56,37.2,25.5,62,-1
1975,6,138,34.8,25.6,135,-1.8
1975,7,452,31.2,25.1,119,-1.2
1975,8,196,32,25.4,122,-2
1975,9,161,31.7,24.7,117,-2.3
1975,10,135,31.4,23.4,110,-1.6
1975,11,10,28,16.2,58,-1.3
1975,12,0,25.6,11,38,-1.1
1976,1,0,26.3,11.5,34,-1.3
1976,2,17,29.3,15.6,45,-0.8
1976,3,4,34.2,19.8,32,-1.1
