Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 22.6042 North,88.2708 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,8,28.8,13.8,43,0
1958,2,26,29.8,15.9,55,0.7
1958,3,7,34.8,19.3,52,-0.4
1958,4,43,37.7,25,60,-0.6
1958,5,70,36.9,27.2,78,-1.3
1958,6,102,36,27.4,104,-2.6
1958,7,267,32.2,26.3,113,-3.3
1958,8,275,32.1,25.9,117,-4.1
1958,9,217,32.7,25.7,99,-4
1958,10,95,32.3,24.5,95,-3.7
1958,11,12,29.4,18.4,54,-3.4
1958,12,0,27.7,14.4,39,-3.1
1959,1,31,27,13.1,49,-2
1959,2,10,29.2,14.6,47,-1.8
1959,3,17,33.4,19.1,64,-1.7
1959,4,53,36.8,24.8,73,-1.4
1959,5,136,36.4,26.4,137,-0.8
1959,6,268,33.4,26.2,145,-0.8
1959,7,245,31.5,26.2,110,-1.2
1959,8,393,31.8,25.8,109,1.2
1959,9,466,31.4,25.3,89,2.8
1959,10,339,30.4,23.9,92,5.6
1959,11,0,28.4,16.6,52,4.6
1959,12,0,26.5,13.1,37,4.1
1960,1,0,26.5,11.7,34,3.4
1960,2,0,32.1,16,38,2.5
1960,3,31,31.9,18.5,63,2.3
1960,4,1,38.5,25.1,22,1.1
1960,5,93,36.5,27,100,0.8
1960,6,104,34.4,26.8,106,-3
1960,7,508,30.9,25.7,114,-1.9
1960,8,308,32,26.3,113,-1.6
1960,9,312,31.7,26,91,-0.9
1960,10,91,31.8,23.5,101,-1.1
1960,11,8,28.3,16.2,52,-1.2
1960,12,0,27.6,12.8,33,-1.2
1961,1,22,27,13.1,42,-0.7
1961,2,30,27,14.2,54,1.2
1961,3,8,33.6,21.7,61,0.8
1961,4,15,37.7,25,36,-0.7
1961,5,107,36.1,26.4,113,0.1
1961,6,289,33.2,26,127,0.2
1961,7,134,31.5,25.8,118,-1.5
1961,8,360,32,26.1,105,-1.3
1961,9,219,31.8,25.6,92,-1.4
1961,10,106,31.6,23.3,101,-1.3
1961,11,0,28.1,16.2,51,-1.5
1961,12,0,25.4,10.6,37,-1.4
1962,1,12,26.1,10.4,39,-1.2
1962,2,9,30,15.3,41,-1.1
1962,3,3,34.5,18.4,49,-1.4
1962,4,51,36.5,24.3,70,-1.2
1962,5,94,35.6,25.7,101,-1.2
1962,6,228,33.3,26.1,109,-1.2
1962,7,231,32.6,26.4,119,-1.8
1962,8,252,31.9,25.8,118,-2.2
1962,9,220,32.6,25.9,105,-2.3
1962,10,145,31,23.1,108,-1.7
1962,11,0,29,16.3,50,-1.9
1962,12,0,27.1,12.8,37,-1.8
1963,1,1,26.7,11,35,-1.8
1963,2,0,32.1,15.9,39,-2.1
1963,3,15,33.9,18.9,53,-2.4
1963,4,69,36.1,23.1,84,-1.8
1963,5,104,34.7,24.9,110,-1.5
1963,6,334,33.4,26.1,137,-0.9
1963,7,283,31.7,26.3,111,-0.6
1963,8,198,32.4,26.2,121,-1.5
1963,9,334,32.9,25.9,111,-0.8
1963,10,164,31.7,23.6,104,1.1
