Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 26.5208 North,88.7292 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/25/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,17,24.5,12.4,38,0.6
1958,2,8,25.3,13.5,34,0
1958,3,18,30.8,16.7,33,-0.6
1958,4,88,33.4,21.9,92,0.2
1958,5,222,32.5,24.6,147,-1.2
1958,6,338,33.1,26,127,-2.6
1958,7,575,32.5,26.2,123,-2.7
1958,8,1081,31.3,26.2,98,-1.7
1958,9,360,32.2,25.4,102,-2.1
1958,10,92,32.1,22.9,97,-2.8
1958,11,10,29.1,15.6,52,-2.5
1958,12,0,25.8,12.8,31,-2.3
1959,1,27,23.2,11.5,42,-1.2
1959,2,2,24.8,12.9,31,-1.2
1959,3,44,30.2,16.5,59,-0.7
1959,4,76,32.9,21.9,81,-0.7
1959,5,263,31.9,23.8,138,-1
1959,6,626,31.3,25.1,114,-1
1959,7,619,31.5,26,124,-1.2
1959,8,626,31.9,25.8,117,-1.1
1959,9,442,31,24.2,100,-1
1959,10,331,29.2,23,92,1.9
1959,11,0,27.6,16,49,1.4
1959,12,0,25.7,12.5,32,1.1
1960,1,0,23,10,30,0.6
1960,2,3,27.6,14,29,-1.2
1960,3,71,28.9,15.9,80,1.1
1960,4,24,34.5,21.1,30,-1.6
1960,5,264,33.1,24.3,144,-1.8
1960,6,455,32,25.3,133,-2.5
1960,7,736,30.9,25.9,106,-2.4
1960,8,484,31.9,26.4,123,-2.4
1960,9,615,30.6,25.2,98,-0.9
1960,10,81,30.4,22.1,93,-1.7
1960,11,1,27.4,14.7,47,-2
1960,12,0,26.6,12.4,31,-2.1
1961,1,4,24.1,11.9,27,-2.2
1961,2,24,24.7,12.6,40,-1.6
1961,3,29,30.3,17.6,42,-1.7
1961,4,58,33.6,21.2,63,-2.2
1961,5,249,32,24.1,142,-2.6
1961,6,757,31.5,25,134,-2
1961,7,488,31.8,25.6,135,-2.3
1961,8,714,32.1,26.4,124,-1.9
1961,9,309,31.4,25.2,115,-2.8
1961,10,255,30.6,21.7,101,-1.6
1961,11,5,25.2,14.6,50,-1.6
1961,12,1,22.7,10,32,-1.3
1962,1,15,23.3,9.6,36,-0.8
1962,2,16,24.8,12.5,38,1.4
1962,3,31,30.3,15.4,51,1.3
1962,4,60,32.8,21,68,0.8
1962,5,321,31,23.2,137,1
1962,6,736,30.9,25,116,1.5
1962,7,568,32,25.8,131,1
1962,8,1017,30.9,25.8,103,1.5
1962,9,358,31.5,24.8,109,0.7
1962,10,74,30.2,20.7,91,-1.6
1962,11,0,27.9,14.6,46,-1.9
1962,12,3,24.9,11.8,30,-1.9
1963,1,3,23.5,9,29,-2.1
1963,2,0,27.4,12.2,21,-2.8
1963,3,47,29,16.3,56,-2.3
1963,4,97,30.8,20.3,99,-1.6
1963,5,303,30.3,22.8,131,-1.4
1963,6,797,31,24.8,116,1.4
1963,7,905,31.3,25.9,112,1.4
1963,8,616,31.5,26.1,113,1.2
1963,9,439,31.7,24.8,109,1
1963,10,161,29.9,21.9,103,0.8
1963,11,24,26,16.2,59,1.4
1963,12,0,25.2,12,37,1.4
1964,1,1,23.7,10.4,34,1
1964,2,5,25.9,13,34,0.6
1964,3,19,30.8,17.2,32,-1.3
1964,4,73,32.1,21.8,77,-1.5
1964,5,358,30.6,22.6,143,-0.7
1964,6,545,32,25.2,128,-0.9
1964,7,1079,30.4,25.5,121,0.4
1964,8,455,31.7,25.9,124,-0.3
1964,9,376,31.2,25.4,107,-0.8
1964,10,159,31.4,22.7,106,-0.9
1964,11,2,27.4,15.8,54,-1.2
1964,12,0,25.5,11.5,37,-1.2
1965,1,0,24.6,9.8,28,-1.6
1965,2,13,25.4,11.5,34,-1.6
1965,3,51,28.4,14.6,60,-1.2
1965,4,52,32.3,20.6,57,-1.9
1965,5,238,32.5,23.7,146,-2.4
1965,6,540,31.8,25.1,131,-2.8
1965,7,650,30.7,25.3,123,-2.8
1965,8,954,31,25.3,120,-2
1965,9,318,31.1,24.2,108,-2.8
1965,10,79,29.6,20.6,91,-3.4
1965,11,33,26,15,59,-2.1
1965,12,1,25.3,11,35,-1.7
1966,1,36,22.3,9.9,48,2.2
1966,2,10,26.8,14.2,39,2.3
1966,3,8,31.1,16.4,28,1.1
1966,4,45,33.3,20.8,53,-1.8
1966,5,182,33.2,24.3,153,-3
1966,6,368,31.5,25,135,-4.3
1966,7,721,31.6,25.7,123,-4
1966,8,966,31.4,26.2,113,-3.1
1966,9,255,30.8,24,116,-4.2
1966,10,63,29.3,19.9,85,-4.8
1966,11,16,28.4,16.1,51,-4.2
1966,12,3,25.3,12.2,34,-4
1967,1,3,24.2,10.9,29,-3.9
1967,2,4,27.5,12.8,25,-4.2
1967,3,105,28.6,15.6,103,-1.6
1967,4,97,31.3,19.3,102,-1
1967,5,217,31.6,22.8,141,-1.7
1967,6,502,31.3,24.7,138,-2.5
1967,7,695,31.8,25.4,126,-2.4
1967,8,472,31.8,25.6,134,-2.5
1967,9,428,31.2,24,113,-2.4
1967,10,107,29.3,20.1,103,-2.9
1967,11,2,24.8,14,49,-2.9
1967,12,0,25.4,12.1,32,-2.6
1968,1,18,21.7,10.6,36,-1.9
1968,2,3,24.7,12,32,-1.8
1968,3,50,29.5,16.9,65,-1.2
1968,4,63,31.7,20.3,69,-1.5
1968,5,181,31.7,23.3,145,-2.6
1968,6,706,29.9,24.4,118,-2.5
1968,7,868,30.4,25.4,118,-2.1
1968,8,535,32.1,25.6,129,-2.1
1968,9,463,31.9,25.3,102,-1.8
1968,10,450,28.7,20.6,101,3.3
1968,11,3,26.4,15.4,49,2.7
1968,12,0,24.7,12.1,33,2.4
1969,1,6,23.3,10.2,33,2.1
1969,2,2,26.9,12.7,30,1.4
1969,3,80,31.4,17,89,2.5
1969,4,76,32.7,20.6,80,2
1969,5,261,31.8,23.6,132,1.4
1969,6,650,31.6,25,128,1.2
1969,7,875,31.2,25.8,128,1.2
1969,8,616,31.3,25.2,116,1
1969,9,435,31.2,24.9,112,0.8
1969,10,49,29.9,20.8,83,-1.6
1969,11,23,27.9,16.1,51,-1.2
1969,12,0,25.6,12.1,30,-1.5
1970,1,15,22.8,10.6,34,-1.1
1970,2,18,24.9,12.8,36,-0.9
1970,3,23,30.2,16.3,35,-1.2
1970,4,41,33.4,20.8,47,-2.1
1970,5,168,33,24.6,147,-3.4
1970,6,727,31.6,25,128,-3.2
1970,7,839,31,25.8,120,-2.8
1970,8,727,31.7,25.9,123,-2.4
1970,9,385,31.4,25,109,-2.6
1970,10,120,30.6,21.3,104,-2.9
1970,11,4,26.9,14.8,52,-2.8
1970,12,0,26.4,10.7,33,-2.6
1971,1,7,23.5,10.7,33,-2.4
1971,2,5,25.6,11.6,31,-2.4
1971,3,17,29.9,15.9,31,-2.9
1971,4,122,30.6,20.5,118,-1.4
1971,5,212,30.1,22.9,133,-2.1
1971,6,721,30.2,25.4,119,-1.8
1971,7,682,30.8,24.8,127,-1.8
1971,8,667,31.1,24.5,114,-1.6
1971,9,496,31.8,24.3,107,-1.1
1971,10,304,29.9,22.1,97,2
1971,11,35,26.1,15.1,61,2.9
1971,12,0,25.6,11.2,39,3
1972,1,5,24.9,11,34,2.7
1972,2,22,24.7,12,43,3
1972,3,46,31.2,16.8,66,3.1
1972,4,55,33,19.6,64,2.2
1972,5,221,33.7,24.2,152,1
1972,6,511,31.9,24.3,139,-2.3
1972,7,714,32.7,25.8,124,-2.2
1972,8,404,32,25.1,139,-2.4
1972,9,535,31.4,24.1,105,-1.5
1972,10,105,30.8,20.7,102,-2.1
1972,11,12,26.3,14.8,52,-1.7
1972,12,0,25.2,12,35,-1.5
1973,1,15,24.1,12,39,-1
1973,2,26,26,14.1,46,1.2
1973,3,27,29.6,15.5,45,0.9
1973,4,50,34,21.2,57,-1
1973,5,361,31.3,23.4,139,0.8
1973,6,1115,30.5,25,114,2.9
1973,7,541,32.5,25.1,133,2.2
1973,8,556,31.9,25.5,133,1.8
1973,9,564,31.3,25.1,109,2.4
1973,10,469,29,22.3,101,5.6
1973,11,22,25.7,16.2,56,5.6
1973,12,2,24.7,12.6,38,5.3
1974,1,15,22.5,10.8,38,5.2
1974,2,0,26.3,13.2,34,4.4
1974,3,73,29.7,17.1,84,5.1
1974,4,111,32.7,21.4,115,5.1
1974,5,345,31.5,23.7,138,5.1
1974,6,649,31.4,24.7,117,4.8
1974,7,1224,30.6,25.1,130,4.9
1974,8,710,31.6,25.6,131,4.5
1974,9,475,31.2,24.1,108,4.2
1974,10,199,32.5,23.4,107,4.1
1974,11,1,28.5,14.7,54,3.3
1974,12,2,24.4,11.2,33,2.9
1975,1,10,23,10.8,34,2.6
1975,2,8,25.3,13.3,33,2.1
1975,3,13,30.6,16.1,26,1
1975,4,85,33.9,21,89,0.8
1975,5,347,32.4,23.3,146,1.1
1975,6,663,32.1,25.2,138,1.2
1975,7,986,30.7,25.1,114,1.4
1975,8,339,32.2,25.3,121,0.7
1975,9,719,30.5,24.9,105,2.6
1975,10,156,31.7,23.7,108,2.1
1975,11,0,28.5,14.9,55,1.5
1975,12,0,25.4,11,35,1.1
1976,1,6,23.7,10.3,32,0.8
1976,2,20,26.2,14.7,41,0.7
1976,3,15,30.8,17.5,27,-1.6
1976,4,92,33.1,21.1,95,-1.4
1976,5,340,30.9,23.5,150,-1
1976,6,814,31,24.7,126,1.2
1976,7,726,31.5,24.8,117,1
1976,8,872,31.2,25.2,129,1.2
1976,9,281,31.3,24.2,104,-1.2
1976,10,77,30.6,20.9,94,-2.1
1976,11,1,30.1,17.2,50,-2.4
1976,12,0,26.2,11.5,33,-2.7
1977,1,3,23.9,11.2,27,-3
1977,2,3,27.2,13.4,20,-3.6
1977,3,20,31.9,18.1,28,-4.2
1977,4,126,31.4,20.9,124,-2.8
1977,5,399,29.5,22,138,-1.3
1977,6,579,30.2,24.1,121,-1.2
1977,7,644,31.3,25.7,128,-1.4
1977,8,652,31.9,26,119,-1.2
1977,9,247,31.9,24.8,114,-2.6
1977,10,241,28.8,21.3,103,-1.5
1977,11,21,27.7,17.3,57,-0.9
1977,12,7,24,12.6,40,1.6
1978,1,7,22.1,9.3,35,1.6
1978,2,7,24.6,12.7,35,1.5
1978,3,61,28.8,15.3,76,2
1978,4,115,31.6,20.4,117,2.6
1978,5,455,31.1,24,135,4.3
1978,6,779,30.8,24.7,131,4.6
1978,7,821,31.2,25.2,120,4.1
1978,8,496,31.9,25.9,116,3.5
1978,9,518,30.8,24.9,110,3.6
1978,10,119,30.8,22.6,100,2.7
1978,11,30,27.5,17.4,60,3.3
1978,12,1,25.3,12.3,38,3.3
1979,1,3,24.4,11.1,33,2.9
1979,2,20,24.4,12.7,43,3.1
1979,3,6,29.7,17.4,25,1.7
1979,4,87,32.9,22.1,93,1.6
1979,5,143,34.6,23.8,141,-2.7
1979,6,543,32.8,25.4,145,-3.5
1979,7,945,31.6,25.5,120,-3
1979,8,812,32.2,26.1,128,-2.4
1979,9,396,31.3,24.1,112,-2.6
1979,10,208,30.2,22.3,99,-1.8
1979,11,18,29.6,18.3,53,-1.2
1979,12,11,23.8,14.2,41,1.4
1980,1,4,23.1,10.7,34,1.3
1980,2,14,25.8,13.9,38,1.5
1980,3,49,29.4,17,67,1.8
