Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 22.5625 North,88.3542 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/25/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,8,29.3,14.2,44,0
1958,2,26,30.1,16.3,55,0.5
1958,3,7,35.6,20.2,49,0
1958,4,46,37.5,25.1,62,-0.2
1958,5,73,36.9,27.2,80,-0.9
1958,6,105,36,27.6,108,-2.3
1958,7,281,32.5,26.6,113,-3
1958,8,287,32.2,26,116,-3.8
1958,9,222,32.7,25.7,95,-3.8
1958,10,100,32.5,24.7,96,-3.5
1958,11,11,30.2,19.5,55,-3.3
1958,12,0,28.3,15.1,39,-3
1959,1,29,27.4,13.5,49,-2
1959,2,11,29.5,15,47,-1.8
1959,3,19,34.1,20,65,-1.7
1959,4,55,36.7,24.9,73,-1.4
1959,5,144,36.4,26.4,143,-0.7
1959,6,277,33.5,26.5,143,-0.7
1959,7,265,31.8,26.5,110,-1.1
1959,8,422,31.9,25.9,108,1.3
1959,9,482,31.4,25.3,87,2.9
1959,10,356,30.7,24.2,91,5.6
1959,11,0,29.2,17.7,51,4.7
1959,12,0,27.1,13.8,37,4.1
1960,1,0,27,12.1,36,3.4
1960,2,0,32.4,16.3,39,2.6
1960,3,33,32.7,19.4,64,2.4
1960,4,2,38.3,25.2,20,1.1
1960,5,98,36.5,27,105,0.8
1960,6,109,34.4,27.1,109,-3
1960,7,544,31.2,26.1,116,-1.9
1960,8,328,32.1,26.4,111,-1.6
1960,9,321,31.7,26,88,-0.9
1960,10,96,32.1,23.8,102,-1.2
1960,11,9,29.2,17.3,53,-1.2
1960,12,0,28.2,13.5,33,-1.2
1961,1,19,27.5,13.5,42,-0.7
1961,2,30,27.3,14.6,54,1.1
1961,3,8,34.4,22.6,59,0.7
1961,4,17,37.5,25.1,37,-0.7
1961,5,109,36.1,26.4,114,0.1
1961,6,309,33.2,26.2,125,0.3
1961,7,142,31.8,26.2,119,-1.4
1961,8,379,32.1,26.2,104,-1
