Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 22.1458 North,88.3958 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/25/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,8,28,14.7,45,0
1958,2,24,29,17.3,53,0.2
1958,3,7,33.7,20.8,38,-0.5
1958,4,39,35.8,25.9,53,-0.6
1958,5,70,35.5,27.7,75,-1.3
1958,6,113,35,27.7,114,-2.6
1958,7,317,31.6,26.6,115,-3.4
1958,8,308,31.5,26.3,117,-4
1958,9,245,32,25.7,100,-3.9
1958,10,118,31.7,24.7,98,-3.7
1958,11,14,28.8,19.1,59,-3.5
1958,12,0,27,15.2,41,-3.2
1959,1,34,26.2,14.1,53,-2.1
1959,2,11,28.2,16,48,-1.9
1959,3,19,32.1,20.6,56,-1.7
1959,4,45,35.1,25.7,61,-1.5
1959,5,147,35.1,26.9,145,-0.7
1959,6,292,32.6,26.7,141,-0.7
1959,7,318,31,26.5,112,-0.9
1959,8,470,31.2,26.2,111,1.5
1959,9,527,30.8,25.4,91,3.1
1959,10,407,29.9,24.1,91,5.7
1959,11,0,27.8,17.3,53,4.7
1959,12,0,25.9,14,41,4.1
1960,1,0,25.9,12.7,38,3.3
1960,2,0,31.2,17.2,38,2.4
1960,3,32,30.8,19.9,55,2.2
1960,4,2,36.6,26,14,0.9
1960,5,100,35.2,27.6,103,0.7
1960,6,123,33.5,27.3,120,-3
1960,7,631,30.4,26.1,114,-1.9
1960,8,372,31.4,26.7,112,-1.6
1960,9,355,31.1,26.1,93,-0.9
1960,10,119,31.2,23.7,110,-1.2
1960,11,11,27.7,17,59,-1.3
1960,12,0,27.1,13.8,37,-1.2
1961,1,20,26.4,14,45,-0.7
1961,2,27,26.2,15.6,53,1.1
1961,3,8,32.3,23.2,49,0.7
1961,4,16,35.8,26,33,-0.6
1961,5,105,34.8,26.9,110,0.1
1961,6,354,32.4,26.5,124,0.4
1961,7,161,31,26.2,117,-1.1
1961,8,421,31.5,26.5,105,0.6
1961,9,233,31.2,25.7,92,-0.3
1961,10,131,31.1,23.5,102,-0.1
1961,11,0,27.6,16.9,54,-0.8
1961,12,0,24.9,11.5,40,-0.9
1962,1,11,25.4,11.4,42,-0.8
1962,2,8,29.2,16.6,40,-0.9
1962,3,4,33.3,19.9,34,-1.4
1962,4,44,34.7,25.2,56,-1.2
1962,5,104,34.4,26.2,108,-1.1
1962,6,249,32.4,26.5,106,-1.1
1962,7,293,32.1,26.8,120,-1.6
1962,8,284,31.3,26.2,118,-2.2
1962,9,245,32,26,104,-2.3
1962,10,190,30.4,23.4,108,-1.6
1962,11,0,28.4,17,51,-1.9
1962,12,0,26.4,13.6,42,-1.8
1963,1,1,26,12,38,-2
1963,2,0,31.2,17.4,38,-2.3
1963,3,13,32.8,20.3,36,-2.6
1963,4,56,34.3,24,66,-2.1
1963,5,116,33.5,25.4,118,-1.7
1963,6,356,32.5,26.5,134,-1.1
1963,7,344,31.2,26.6,113,-0.7
1963,8,245,31.8,26.6,121,-1.9
1963,9,373,32.2,25.9,111,-1.2
1963,10,207,31.1,23.8,103,1.2
1963,11,12,28.8,18.2,59,0.9
1963,12,0,26.8,14.6,42,0.7
1964,1,2,26.1,13.7,39,-0.2
1964,2,9,29.5,17.7,44,-0.7
1964,3,16,33.7,22.4,43,-1.1
1964,4,80,34,25.3,91,0.8
1964,5,87,34.5,26.2,92,-0.3
1964,6,154,33.4,27.1,141,-1.4
1964,7,525,30.3,25.7,129,-1.1
1964,8,278,31.5,26.5,123,-1.9
1964,9,190,31.9,26.1,107,-2.4
1964,10,214,30.6,24.6,98,-1.4
1964,11,38,28.2,18.9,71,-0.9
1964,12,0,26.8,14.6,44,-0.7
1965,1,1,26.4,14.1,39,-0.8
1965,2,20,29,16.5,50,-0.6
1965,3,34,31.5,19.3,66,1.1
1965,4,30,34.2,25,47,0.7
1965,5,52,35.2,27.2,60,-1.2
1965,6,354,33.3,26.9,138,-0.8
1965,7,315,30.9,26,118,-0.6
1965,8,514,30.7,25.7,118,1.6
1965,9,373,31.5,25.6,103,2
1965,10,147,31,23.5,104,1.9
1965,11,2,29.3,18.3,59,1.2
1965,12,4,25.6,14.9,46,1
1966,1,25,25.5,14,48,1.2
1966,2,1,30.8,17.8,37,0.6
1966,3,4,32.7,20.9,32,-1.2
1966,4,9,35.9,25.8,23,-1.9
1966,5,39,36.2,27.4,46,-3
1966,6,334,32.6,26.5,132,-2.5
1966,7,176,31.8,26.3,127,-3.3
1966,8,337,31.5,26.1,119,-3.3
1966,9,198,31.4,25.4,115,-3.6
