Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 25.9792 North,88.0625 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/25/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,14,25.7,11.6,35,0.6
1958,2,7,27.3,13,28,0.7
1958,3,6,32.9,16,16,-0.5
1958,4,38,36,22,42,0.1
1958,5,90,34.4,24.8,90,-1.2
1958,6,234,34.1,26.1,138,-2.4
1958,7,302,32.8,26.2,127,-3.6
1958,8,693,31.5,26.1,101,-1
1958,9,239,32.3,25.1,102,-1.4
1958,10,91,32.1,22.6,99,-1.6
1958,11,6,29.7,14.9,51,-1.3
1958,12,0,26.2,12,30,-1.2
1959,1,27,24.1,10.6,42,1.6
1959,2,1,26.6,12.1,25,1.4
1959,3,30,32.1,15.9,40,1.6
1959,4,34,35.3,21.9,39,1.4
1959,5,98,33.8,23.9,97,0.6
1959,6,398,32.2,25,120,0.7
1959,7,318,31.8,26,126,-1.3
1959,8,375,32.1,25.7,115,-1.2
1959,9,289,31.1,24.1,102,-1
1959,10,239,29.6,22.8,98,2
1959,11,0,28.4,14.7,51,1.7
1959,12,0,25.8,11.2,31,1.6
1960,1,0,24,9.3,29,1.2
1960,2,1,29.5,13.5,22,0.8
1960,3,50,30.7,15.3,58,1.6
1960,4,4,36.7,20.9,10,-1
1960,5,112,34.5,24.2,111,-1.3
1960,6,285,32.8,25.2,139,-2.1
1960,7,416,31.2,25.9,112,-2.3
1960,8,274,32.1,26.3,123,-2.9
1960,9,381,30.9,25,99,-1.4
1960,10,53,30.7,21.7,87,-2.1
1960,11,1,28.2,13.5,44,-2.3
1960,12,0,26.7,11.2,26,-2.4
1961,1,5,24.7,11.1,23,-2.4
1961,2,24,26,11.8,36,-1.8
1961,3,12,32.3,17.2,19,-2.1
1961,4,21,36,21.2,25,-2.3
1961,5,124,33.8,24.1,122,-2.3
1961,6,432,32.1,24.9,135,-1.8
1961,7,240,32.2,25.7,135,-3
1961,8,444,32.2,26.2,124,-2.4
1961,9,186,31.6,24.9,119,-3.4
1961,10,198,30.8,21.4,104,-1.8
1961,11,3,26.4,13.6,50,-1.6
1961,12,1,23,8.8,31,-1.2
1962,1,15,24,8.8,35,-0.7
1962,2,14,27,12.2,36,2.1
1962,3,20,32.4,14.8,34,1.9
1962,4,23,34.9,20.8,30,1.5
1962,5,141,32.7,23.1,138,1.5
1962,6,411,31.8,25,120,1.6
1962,7,296,32.4,25.8,130,-1.1
1962,8,648,31.2,25.7,104,1.9
1962,9,200,31.8,24.9,110,0.7
1962,10,60,30.5,20.4,87,-1.6
1962,11,0,28.9,13.6,44,-1.8
1962,12,2,25.2,10.5,27,-1.8
1963,1,1,24.3,8.3,26,-1.9
1963,2,0,29.4,11.7,14,-2.4
1963,3,29,31.2,15.8,36,-2
1963,4,48,33.2,20.1,50,-1.4
1963,5,147,32,22.8,141,-1
1963,6,475,31.8,24.7,123,1.5
1963,7,483,31.6,25.9,112,1.5
1963,8,349,31.8,26.1,117,1.1
1963,9,274,31.9,24.6,110,0.8
1963,10,156,30.4,21.6,108,1.3
1963,11,23,27.4,15.1,61,1.9
1963,12,0,25.9,11.1,36,2
1964,1,1,24.4,9.5,33,1.8
1964,2,3,27.9,12.4,26,1.3
