Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 22.3958 North,87.3958 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/25/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,11,29.2,14.4,48,0.6
1958,2,29,30.1,16.5,61,0.9
1958,3,6,35.9,19.9,58,-0.3
1958,4,30,38.6,24.9,58,-0.6
1958,5,52,38.2,27.5,66,-1.5
1958,6,98,37.1,27.5,103,-2.9
1958,7,262,32.3,26.2,114,-3.3
1958,8,260,31.8,25.7,119,-3.9
1958,9,225,32.4,25.5,100,-3.8
1958,10,93,31.7,23.9,95,-3.3
1958,11,17,29.1,17.7,59,-2.9
1958,12,0,27.6,14.6,41,-2.5
1959,1,25,27.3,13.7,50,-1.6
1959,2,10,29.4,15.1,51,-1.5
1959,3,12,34.4,19.6,66,-1.6
1959,4,44,37.7,24.8,71,-1.3
1959,5,115,37.6,26.6,125,-0.7
1959,6,219,34.5,26.3,155,-0.9
1959,7,228,31.5,26,110,-1.5
1959,8,323,31.8,25.9,110,-1.1
1959,9,402,31.1,25.1,91,1.7
1959,10,261,29.9,23.5,92,4.3
1959,11,0,28.1,16,52,3.5
1959,12,1,26.5,13.4,39,3.2
1960,1,0,27,12.4,39,2.6
1960,2,0,32.2,16.5,43,1.9
1960,3,28,32.9,19,67,1.8
1960,4,2,39.3,24.9,31,0.7
1960,5,69,37.6,27.1,81,-1.7
1960,6,118,35.4,26.8,119,-2.7
1960,7,447,30.9,25.6,114,-1.5
1960,8,249,31.9,26.3,111,-0.9
1960,9,280,31.4,25.8,92,1.5
1960,10,72,31.2,22.9,93,1
1960,11,5,28.1,15.6,50,0.6
1960,12,0,27.6,13,35,-0.1
1961,1,23,27.4,13.8,46,0.8
1961,2,39,27.1,14.8,62,1.4
1961,3,6,34.6,22.1,64,0.9
1961,4,10,38.6,24.9,39,-0.7
1961,5,103,37.2,26.7,113,0.3
1961,6,250,34,25.9,129,0.6
1961,7,152,31.6,25.7,117,-1.3
1961,8,320,31.9,26.1,103,-1.2
1961,9,269,31.6,25.5,90,-0.8
1961,10,92,31,22.7,95,-0.7
1961,11,0,27.7,15.5,51,-0.9
1961,12,0,25.3,10.9,38,-0.8
1962,1,10,26.5,11.1,41,-0.6
1962,2,9,30,15.7,45,-0.7
1962,3,11,35.6,19,57,-0.7
1962,4,48,37.4,24.3,76,0.3
1962,5,56,36.7,25.9,70,-0.6
1962,6,202,34.3,26.1,114,0
1962,7,225,32.7,26.4,120,-1.1
1962,8,208,31.7,25.7,117,-1.9
1962,9,217,32.2,25.7,106,-2.1
1962,10,126,30.4,22.5,108,-1.4
1962,11,0,28.8,15.7,51,-1.6
1962,12,0,27,12.9,39,-1.4
1963,1,0,27,11.5,40,-1.5
1963,2,0,32.3,16.4,45,-1.8
1963,3,15,34.9,19.4,63,-2.1
1963,4,58,37.1,23.1,80,-1.5
1963,5,88,35.8,25,98,-1.3
1963,6,277,34.2,25.9,142,-0.7
1963,7,254,31.7,26.1,110,-0.8
1963,8,193,32.1,26,118,-1
1963,9,330,32.6,25.7,108,0.7
1963,10,150,31.1,23,104,1.7
1963,11,14,29.2,16.9,58,1.5
1963,12,0,27.5,14,42,1.4
1964,1,1,27.1,13.2,45,1.1
1964,2,10,30.6,16.8,51,0.7
1964,3,13,35.9,21.5,61,-0.5
1964,4,70,36.8,24.5,92,0.6
1964,5,90,36.7,25.8,99,0.5
1964,6,125,35.2,26.6,125,-0.7
1964,7,416,30.7,25,129,0.5
1964,8,222,31.9,26,117,0
1964,9,183,32.2,25.8,107,-0.7
1964,10,118,30.6,23.9,101,0.4
1964,11,21,28.5,17.5,64,0.6
1964,12,0,27.3,13.8,43,0.6
1965,1,2,27.6,13.8,41,-0.2
1965,2,18,30,15.7,53,0.1
1965,3,33,33.6,18.2,72,0.4
1965,4,31,36.9,24,64,-0.1
1965,5,45,37.7,26.9,61,-0.9
1965,6,239,35.4,26.7,153,-0.8
1965,7,261,31.5,25.6,119,-1
1965,8,346,31.2,25.3,118,0.8
1965,9,308,31.9,25.4,106,1.3
1965,10,85,31,22.7,98,1
1965,11,1,29.6,16.9,55,-0.4
1965,12,1,25.9,13.8,46,-0.7
1966,1,34,26.6,13.5,53,0.6
1966,2,4,31.8,17,43,-0.4
1966,3,5,35.1,19.9,53,-1
1966,4,10,38.7,24.9,32,-1.7
1966,5,29,38.6,27.2,41,-2.8
1966,6,262,34.7,26.3,151,-2.3
1966,7,149,32.5,25.9,124,-3.3
1966,8,235,31.9,25.6,123,-4.1
